date,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,HUATAI FINANCIAL HOLDINGS (HONG KONG),SDICS INTERNATIONAL SECURITIES (HONG,MORGAN STANLEY HONG KONG SECURITIES LTD,FIRST SHANGHAI SECURITIES LTD,MERRILL LYNCH FAR EAST LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,75.06279072022653,0.0,0.0,0.0,24.937209279773466,0.0,0.0,0.0
2024-03-05,0.0,51.19299305345817,31.799773813014347,0.0,0.0,17.007233133527482,0.0,0.0,0.0
2024-03-06,0.0,51.197511732639114,31.79682970754923,0.0,0.0,17.00565855981166,0.0,0.0,0.0
2024-03-07,0.0,45.277423500433244,28.087194415507287,0.0,0.0,15.02166230175343,11.613719782306037,0.0,0.0
2024-03-08,0.0,41.732883305161764,25.85505053854606,0.0,0.0,13.829941691118874,10.690977269753411,0.0,7.891147195419894
2024-03-11,0.0,41.80798444713763,25.821725673142847,0.0,0.0,13.81211612374264,10.677197548920446,0.0,7.880976207056431
2024-03-12,0.0,42.03512838801712,25.720934379457915,0.0,0.0,13.75820256776034,10.635520684736091,0.0,7.850213980028531
2024-03-13,0.0,42.05665946570274,25.712788484161443,0.0,0.0,13.752415174783794,10.631225090725016,0.0,7.846911784627012
2024-03-14,0.0,42.07379873913493,25.70518280405273,0.0,0.0,13.748347297408065,10.628080441623515,0.0,7.844590717780764
2024-03-15,0.0,42.14143075296605,25.675170594705428,0.0,0.0,13.732295348646812,10.615671575380256,0.0,7.835431728301456
2024-03-18,0.0,42.15673365385642,25.66788493909231,0.0,0.0,13.728874479980355,10.613027092623105,0.0,7.833479834447809
2024-03-19,0.0,42.16702425555686,25.663318496062963,0.0,0.0,13.72643204565752,10.61113898288199,0.0,7.832086219840669
2024-03-20,0.0,42.095007214187724,25.599806911777495,0.0,0.0,13.692936484977986,10.57921142627952,0.0,8.033037962777275
2024-03-21,0.0,42.160394249348535,25.57089929269114,0.0,0.0,13.677474251475777,10.567265249685345,0.0,8.023966956799205
2024-03-22,0.0,42.16962070187877,25.566820276497698,0.0,0.0,13.675292449485998,10.565579581708615,0.0,8.022686990428927
2024-03-25,0.0,34.555108580286365,20.857565915998855,18.265607422038805,0.0,11.156772639329517,8.619762219439473,0.0,6.545183222906985
2024-03-26,0.0,34.57412437496657,20.851505501161522,18.260300131692503,0.0,11.153530905816009,8.617257644597935,0.0,6.54328144176546
