date,ABN AMRO CLEARING HONG KONG LTD,MIRAE ASSET SECURITIES (HK) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BNP PARIBAS,CGS INTERNATIONAL SECURITIES HK LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,MERRILL LYNCH FAR EAST LTD
2024-03-01,95.77139081598943,0.0,0.0,4.228609184010571,0.0,0.0,0.0,0.0
2024-03-04,93.78923026098447,0.0,0.0,6.210769739015527,0.0,0.0,0.0,0.0
2024-03-05,91.80706970597952,0.0,0.0,8.192930294020483,0.0,0.0,0.0,0.0
2024-03-06,89.82490915097456,0.0,0.0,10.175090849025437,0.0,0.0,0.0,0.0
2024-03-07,85.85591539986781,0.0,0.0,14.144084600132187,0.0,0.0,0.0,0.0
2024-03-08,85.86058804096464,0.0,0.0,14.139411959035348,0.0,0.0,0.0,0.0
2024-03-12,89.13115295672283,0.0,0.0,10.86884704327717,0.0,0.0,0.0,0.0
2024-03-13,97.05979517674265,0.0,0.0,2.9402048232573508,0.0,0.0,0.0,0.0
2024-03-14,96.64530719939691,0.0,0.0,3.354692800603091,0.0,0.0,0.0,0.0
2024-03-20,97.71341463414635,0.0,0.0,2.2865853658536586,0.0,0.0,0.0,0.0
2024-04-29,93.97260273972603,0.0,0.0,6.027397260273973,0.0,0.0,0.0,0.0
2024-05-06,91.91780821917808,0.0,0.0,8.082191780821917,0.0,0.0,0.0,0.0
2024-05-08,89.86301369863014,0.0,0.0,10.136986301369863,0.0,0.0,0.0,0.0
2024-05-09,87.8082191780822,0.0,0.0,12.191780821917808,0.0,0.0,0.0,0.0
2024-05-10,85.75342465753425,0.0,0.0,14.246575342465754,0.0,0.0,0.0,0.0
2024-05-20,81.25984251968504,0.0,0.0,18.740157480314963,0.0,0.0,0.0,0.0
2024-05-22,83.62204724409449,0.0,0.0,16.37795275590551,0.0,0.0,0.0,0.0
2024-05-23,85.70769940064545,0.0,0.0,14.29230059935454,0.0,0.0,0.0,0.0
