date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,ZHONGRONG PT SECURITIES LTD,FULBRIGHT SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GF SECURITIES (HONG KONG) BROKERAGE LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,VALUABLE CAPITAL LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,0.0,56.94823267464514,43.05176732535486,0.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,0.0,40.63893385237192,30.720265345236797,28.640800802391286,0.0,0.0
2024-03-19,0.0,0.0,0.0,0.0,40.64296993713315,30.71338477887356,28.643645283993287,0.0,0.0
2024-03-21,0.0,0.0,0.0,0.0,40.64296993713315,30.70444636454826,28.652583698318583,0.0,0.0
2024-03-28,0.0,0.0,0.0,30.0131385930101,28.445021545350464,21.488596658957302,20.053243202682133,0.0,0.0
2024-04-02,45.62877413362993,0.0,0.0,16.318965097632994,15.466336929790506,11.682426528767548,10.903497310179022,0.0,0.0
2024-04-03,45.701663548351114,0.0,0.0,16.185289324546627,15.491043538023973,11.70108855176451,10.920915037313776,0.0,0.0
2024-04-05,45.416960830872284,0.0,0.0,16.71155878938759,15.394540657178243,11.624057530161712,10.852882192400173,0.0,0.0
2024-04-08,45.41713168244236,0.0,0.0,16.71162165568259,15.394598569055079,11.623725073558461,10.852923019261516,0.0,0.0
2024-04-10,39.65765827300925,0.0,12.681936458774807,14.592374204579917,13.442366496644256,10.149031049698642,9.47663351729313,0.0,0.0
2024-04-23,39.65791880927449,0.0,12.682019774444589,14.592470071124787,13.4424548080604,10.14909772510916,9.47603881198657,0.0,0.0
2024-05-02,39.65401112470223,0.0,12.680770154330734,14.600885683871967,13.44113025864268,10.148097685929255,9.47510509252313,0.0,0.0
2024-05-13,39.656225384738484,0.0,12.68147824215805,14.601700989984684,13.44188080459578,10.148664350599805,9.470050227923196,0.0,0.0
2024-05-20,37.75746319585559,0.0,12.074281991084252,13.886926381966202,12.798276054733238,9.662740641279791,9.016618941280306,0.0,4.803692793800614
2024-05-21,37.758053619325906,0.0,12.074470799835456,13.885579808985362,12.798476184771715,9.662891740119047,9.016759936543101,0.0,4.8037679104194115
2024-05-22,37.7634863817654,0.0,12.076208117444551,13.87318936131482,12.800317674838983,9.664282071194682,9.01805729988717,0.0,4.804459093554401
2024-05-24,36.404672263523814,0.0,15.267039628384376,13.34384765215012,12.339733813520844,9.316539736489347,8.696582921969421,0.0,4.631583983962079
2024-05-28,36.4035745668251,0.0,15.269594550186694,13.343445300017681,12.339361738063824,9.316258818291864,8.696320697101843,0.0,4.631444329512996
2024-05-29,36.4007208651856,0.0,15.276839631230496,13.341796292646382,12.33839444687769,9.315528510255357,8.695638986447705,0.0,4.631081267356775
2024-05-30,36.42279382127431,0.0,15.287913434768832,13.287437694813987,12.34587629977395,9.321177333873756,8.700911916569668,0.0,4.633889498925491
2024-05-31,36.42213453945099,0.0,15.29125687189829,13.285387101198086,12.345652829496592,9.321008613077149,8.700754423075317,0.0,4.633805621803574
2024-06-03,36.42576088486356,0.0,15.28282290266691,13.286709851859953,12.346882016145575,9.32193665305207,8.70162070785755,0.0,4.634266983554383
2024-06-04,36.42587078539112,0.0,15.286489544629186,13.282827696320384,12.34691926804682,9.3219647783604,8.701646961604437,0.0,4.634280965647659
2024-06-05,34.846018112569475,0.0,14.623488198486262,12.703553733048572,11.811412141212122,8.917655131027317,8.324241565004979,4.3403468900019035,4.43328422864937
2024-06-06,34.8453141058831,0.0,14.62521309098255,12.703297078565415,11.811173510987683,8.917474964420654,8.324073387346866,4.34025920040644,4.433194661407297
2024-06-07,34.845615819551114,0.0,14.626494213477828,12.70138671847192,11.811275779903175,8.917552177789222,8.324145462653947,4.340296781227767,4.433233046925024
2024-06-11,34.841392303604515,0.0,14.65300290907488,12.683686357769744,11.809844176229864,8.916471312293186,8.32313652192277,4.339770708944718,4.432695710160319
2024-06-12,34.84450956164472,0.0,14.654602525466304,12.675585557739133,11.810900802537764,8.917269068641334,8.323881192629857,4.340158988064484,4.433092303276399
2024-06-13,34.85124876722992,0.0,14.657436842276352,12.662160343901064,11.81318512479272,8.918993739479527,8.306150301316759,4.356875182379017,4.433949698624641
2024-06-14,34.852757901755254,0.0,14.650565832421494,12.642500965847574,11.813696661284428,8.919379951218263,8.311706235410437,4.375250753816358,4.43414169824619
2024-06-17,34.85124876722992,0.0,14.63723004026439,12.618860053875434,11.81318512479272,8.918993739479527,8.311346336119835,4.415186239613534,4.433949698624641
2024-06-18,34.854770284441464,0.0,14.634089883446158,12.605700228310567,11.814378778857114,8.919894952235865,8.312186149618894,4.424581999481077,4.434397723608857
2024-06-19,34.85718545043854,0.0,14.623555201768495,12.592137817188483,11.815197423928375,8.920513031965276,8.312762119828598,4.443943961808898,4.434704993073328
2024-06-21,34.85718545043854,0.0,14.612006490849033,12.592137817188483,11.815197423928375,8.920513031965276,8.312762119828598,4.45549267272836,4.434704993073328
2024-06-24,34.83777296188359,0.0,14.582804185956471,12.570697217987222,11.80861736355337,8.91554506467533,8.308132618122539,4.544195348367385,4.432235239454092
2024-06-25,34.81738026933729,0.0,14.541201724606886,12.556672768391675,11.80248712144405,8.910916711659869,8.298051449262962,4.643355635101268,4.4299343201959935
2024-06-26,34.81025220534206,0.0,14.543991708168685,12.554102076215298,11.800070831566588,8.909092404831338,8.296352612609875,4.6571107690206475,4.429027392245505
2024-06-27,34.805735929233535,0.0,14.555078755924104,12.552473309180332,11.798539892415064,8.907936540721556,8.2952762452549,4.656506556273873,4.428452770996637
2024-06-28,34.80413042456873,0.0,14.55902012409169,12.55189429385672,11.797995654221866,8.907525639090315,8.294893604165665,4.656291762855542,4.428248497149472
2024-07-05,34.80102018073751,0.0,14.566655490278135,12.550772603663015,11.796941335589086,8.906729625044498,8.294152337501385,4.655875656992384,4.427852770193983
