date,THE HONGKONG AND SHANGHAI BANKING,GF SECURITIES (HONG KONG) BROKERAGE LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,3.276875,0.0,0.0,0.936875,0.0,0.0,0.6575,0.0,0.0,4.87125
2024-03-07,0.0,3.3225,0.0,2.2468749999999997,0.936875,0.0,0.6006250000000001,0.6575,0.0,0.0,7.764374999999999
2024-03-13,0.0,3.3225,0.0,2.243125,0.9400000000000001,0.0,0.6006250000000001,0.6575,0.0,0.0,7.76375
2024-03-14,0.0,3.36375,0.0,2.243125,0.89875,0.0,0.6006250000000001,0.6575,0.0,0.0,7.76375
2024-03-15,0.0,3.37,0.0,2.2425,0.899375,0.0,0.6006250000000001,0.645,0.53125,0.0,8.28875
2024-03-18,0.0,3.408125,0.0,2.2425,0.899375,0.0,0.6006250000000001,0.645,0.53125,0.0,8.326875000000001
2024-03-20,0.0,3.4831250000000002,0.0,2.2425,0.886875,0.0,0.6006250000000001,0.645,0.531875,0.0,8.39
2024-03-21,0.0,3.4924999999999997,0.0,2.230625,0.886875,0.0,0.59125,0.645,0.531875,0.0,8.378125
2024-03-22,0.0,3.559375,0.0,2.230625,0.886875,0.975625,0.59125,0.645,0.531875,0.0,9.420625000000001
2024-03-25,0.0,3.559375,0.0,2.2275,0.886875,0.9406249999999999,0.589375,0.645,0.531875,0.0,9.380625
2024-03-26,0.0,3.559375,0.0,2.2275,0.8875,0.9406249999999999,0.5875,0.645,0.533125,0.0,9.380625
2024-03-27,0.0,3.559375,0.0,2.2275,0.886875,0.935625,0.5875,0.645,0.533125,0.0,9.375
2024-04-02,0.0,3.56,0.0,2.2275,0.886875,0.935625,0.586875,0.645,0.533125,0.0,9.375
2024-04-05,3.353125,3.56,0.0,2.2275,0.886875,0.935625,0.586875,0.645,0.534375,0.0,12.729375000000001
2024-04-09,3.353125,3.56,0.0,2.2225,0.8862500000000001,0.935625,0.586875,0.645,0.539375,0.1275,12.85625
2024-04-12,3.345625,3.56,0.0,2.2225,0.89125,0.935625,0.586875,0.645,0.539375,0.1275,12.85375
2024-04-16,3.345625,3.56,0.0,2.2225,0.891875,0.935625,0.5862499999999999,0.645,0.539375,0.1275,12.85375
2024-04-17,3.341875,3.56,0.0,2.2225,0.8956250000000001,0.935625,0.5862499999999999,0.645,0.539375,0.1275,12.85375
2024-04-18,3.341875,3.56,4.37375,2.2225,0.896875,0.935625,0.5862499999999999,0.645,0.539375,0.1275,17.22875
2024-04-22,3.341875,3.56,4.37375,2.2225,0.8975000000000001,0.935625,0.5862499999999999,0.645,0.539375,0.1275,17.229375
2024-04-23,3.341875,3.591875,4.37375,2.2225,0.9043749999999999,0.935625,0.5862499999999999,0.645,0.539375,0.1275,17.268125
