date,SDICS INTERNATIONAL SECURITIES (HONG,TRADEGO MARKETS LIMITED,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,CMB WING LUNG BANK LTD,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD
2024-03-01,0.0,0.0,67.96375728508293,0.0,0.0,19.211873135047338,12.82436957986973,0.0,0.0,0.0
2024-03-04,0.0,0.3705979213761536,53.266173066421715,0.0,13.082822552380883,14.569364747434241,9.725387876113608,0.0,8.985653836273395,0.0
2024-03-05,0.0,0.37068117814834456,53.25567406640529,0.0,13.085761677276167,14.57263783185209,9.727572735650496,0.0,8.987672510667615,0.0
2024-03-06,0.0,0.371070204889787,53.23285358141313,0.0,13.08075415333914,14.587931691222739,9.749026292104404,0.0,8.9783640770308,0.0
2024-03-07,0.0,0.27611411855089374,39.53537426616833,25.720874522302527,9.67763599960817,10.85491060000079,7.254270932837116,0.0,6.680819560532167,0.0
2024-03-08,0.0,0.2763144875014131,39.45242185845482,25.73953950278785,9.704196200423207,10.876743008010168,7.265117282486648,0.0,6.685667660335895,0.0
2024-03-11,0.0,0.2760679208232462,39.51481662456759,25.716571062695788,9.695536750667047,10.867037246951421,7.258634322251615,0.0,6.671336072043298,0.0
2024-03-12,0.0,0.08094060744990889,39.62825835050117,25.73953950278785,9.732106754716279,10.876743008010168,7.265117282486648,0.0,6.677294494047974,0.0
2024-03-13,0.0,0.1394321309954274,39.49918669586571,25.717288205956816,9.846393826012168,10.867340289783609,7.25883673962195,0.0,6.671522111764321,0.0
2024-03-14,0.0,0.13188874622409938,37.480950401647725,24.391907646804654,9.413931847453176,10.279408880706306,6.866128128426614,5.125196678268502,6.310587670468924,0.0
2024-03-15,0.0,0.13171155924549585,37.45430440323399,24.351235452120772,9.525093491992902,10.265598927593949,6.856903774320515,5.118311192279969,6.296841199212409,0.0
2024-03-19,0.0,0.13194791453715105,37.36053938354634,24.394933540507395,9.55538098406636,10.218046501756975,6.877125305676311,5.153885541821119,6.308140828088354,0.0
2024-03-20,0.0,0.13194791453715105,37.36581730012782,24.394933540507395,9.550103067484873,10.218046501756975,6.877125305676311,5.153885541821119,6.308140828088354,0.0
2024-03-21,0.0,0.1321187559214388,37.260939451156624,24.426519217554944,9.615315697668185,10.199567957135073,6.888671933743817,5.160558606291399,6.316308380528519,0.0
2024-03-22,0.0,0.13227254193785265,37.18526583616309,24.359715415890566,9.88840754249515,10.047422285599287,6.896690336639638,5.166565488092525,6.323660553181893,0.0
2024-03-25,0.0,0.13235307265367732,37.20525806198797,24.371899137085098,9.894427843655896,9.992656985352639,6.900889208162736,5.175005140758783,6.327510550343201,0.0
2024-03-26,0.0,0.1320978128030138,37.29202033241609,24.359240239693857,9.875345172410466,9.973384866627542,6.887579959549139,5.16502448059784,6.315307135902051,0.0
2024-03-27,0.0,0.13238811660170746,37.1542105964362,24.412773147051073,9.89704765299004,9.995302803428913,6.902716399613026,5.176375359126761,6.3291859247522755,0.0
2024-03-28,0.0,0.12613922562788812,35.64267093478078,23.260458561116863,9.43493972415029,9.50332925880509,6.576899224238087,4.916907014975078,6.0304401323652055,4.508215923940721
2024-04-02,0.0,0.12609469026544767,35.64269621946241,23.25224610422731,9.431608575904159,9.499973964598828,6.574577150440442,4.91517102654715,6.028310994219372,4.5293212743348805
2024-04-03,0.0,0.1260533641496833,35.6940414089461,23.24462544222908,9.415912135914317,9.47669191677319,6.572422406764487,4.916081201837649,6.026335283128871,4.527836840256624
2024-04-05,0.0,0.12690438993439812,35.44263404122315,23.399019109015573,9.41856780388292,9.548286298664113,6.616794891179517,4.949271207441526,5.940116572215219,4.55840568644358
2024-04-08,0.0,0.13719254174850026,35.30499086586666,23.445069100294678,9.458387282236135,9.57045008827038,6.623351043302596,4.997365363320371,5.9205962215103405,4.542597493450342
2024-04-09,0.0,0.13718905631973424,35.2888507006496,23.444473469386303,9.458146988305478,9.57020694734146,6.630804388787155,5.0074005556703,5.920445806508771,4.5424820870312
