date,ABN AMRO CLEARING HONG KONG LTD,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,MERRILL LYNCH FAR EAST LTD,PHILLIP SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,84.4789356984479,15.521064301552107,0.0,0.0,0.0,0.0,0.0
2024-03-07,83.451536643026,16.548463356973993,0.0,0.0,0.0,0.0,0.0
2024-03-13,82.9683698296837,17.0316301703163,0.0,0.0,0.0,0.0,0.0
2024-04-05,78.75862068965517,16.091954022988507,5.149425287356322,0.0,0.0,0.0,0.0
2024-04-26,78.39080459770115,16.45977011494253,5.149425287356322,0.0,0.0,0.0,0.0
2024-05-22,5.410821643286573,71.7434869739479,22.84569138276553,0.0,0.0,0.0,0.0
2024-06-11,5.01002004008016,71.7434869739479,23.246492985971944,0.0,0.0,0.0,0.0
2024-06-13,3.8539553752535496,72.61663286004057,23.52941176470588,0.0,0.0,0.0,0.0
2024-06-18,3.067484662576687,73.21063394683026,23.721881390593047,0.0,0.0,0.0,0.0
2024-06-19,2.658486707566462,73.21063394683026,24.130879345603272,0.0,0.0,0.0,0.0
2024-06-20,77.95275590551181,16.581750810560443,5.465493283927744,0.0,0.0,0.0,0.0
2024-06-21,77.85016286644951,16.65891112145184,5.490926012098651,0.0,0.0,0.0,0.0
2024-06-24,77.75709632387156,16.65891112145184,5.583992554676594,0.0,0.0,0.0,0.0
2024-06-25,77.11583924349881,16.926713947990542,5.957446808510639,0.0,0.0,0.0,0.0
2024-06-27,76.45390070921985,16.926713947990542,6.619385342789598,0.0,0.0,0.0,0.0
2024-06-28,76.31954350927246,17.023300047551118,6.657156443176415,0.0,0.0,0.0,0.0
2024-07-02,76.0,17.25301204819277,6.746987951807229,0.0,0.0,0.0,0.0
2024-07-08,75.48005908419498,17.626784835056622,6.8931560807484,0.0,0.0,0.0,0.0
2024-07-11,75.18463810930575,17.626784835056622,6.8931560807484,0.0,0.0,0.29542097488921715,0.0
2024-07-12,75.08616445100935,17.626784835056622,6.9916297390448054,0.0,0.0,0.29542097488921715,0.0
2024-07-16,74.71264367816092,17.891054472763617,7.0964517741129445,0.0,0.0,0.29985007496251875,0.0
2024-07-17,74.43153107630116,18.089944416371907,7.17534108135422,0.0,0.0,0.30318342597271347,0.0
2024-07-18,73.76715810879512,18.200305033045247,7.727503812913065,0.0,0.0,0.3050330452465684,0.0
2024-07-19,73.35375191424195,18.27462991322103,8.065339458907605,0.0,0.0,0.3062787136294028,0.0
2024-07-23,73.25165900969883,18.27462991322103,8.16743236345074,0.0,0.0,0.3062787136294028,0.0
2024-07-25,72.63910158244002,18.27462991322103,8.779989790709546,0.0,0.0,0.3062787136294028,0.0
2024-07-30,72.72264631043257,18.21882951653944,8.753180661577609,0.0,0.0,0.3053435114503817,0.0
2024-08-07,73.30677290836654,17.828685258964143,8.565737051792828,0.0,0.0,0.29880478087649404,0.0
2024-08-08,72.96431838975298,16.37694419030192,7.868252516010979,2.516010978956999,0.0,0.2744739249771272,0.0
2024-08-16,71.93732193732194,16.999050332383668,8.167141500474834,2.611585944919278,0.0,0.2849002849002849,0.0
