date,NANYANG COMMERCIAL BANK LTD,CITIBANK N.A.,OCBC BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,CMB WING LUNG BANK LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-04,62.625774701890926,0.0,0.0,0.0,37.374225298109074,0.0,0.0,0.0
2024-03-06,62.790592427589885,0.0,0.0,0.0,37.20940757241012,0.0,0.0,0.0
2024-03-08,33.74076106860754,46.26462378497641,0.0,0.0,19.994615146416052,0.0,0.0,0.0
2024-03-13,33.76177615318282,46.293439228104916,0.0,0.0,19.944784618712262,0.0,0.0,0.0
2024-03-15,33.766862821835225,46.29108495236389,0.0,0.0,19.942052225800886,0.0,0.0,0.0
2024-03-27,23.473567444736716,32.55321496040397,30.11018535586504,0.0,13.863032238994277,0.0,0.0,0.0
2024-03-28,23.6501093152304,33.174087736503644,29.208508515297627,0.0,13.967294432968336,0.0,0.0,0.0
2024-04-02,20.49205571422834,29.890702822447672,24.661538173346457,11.199676648975444,12.104648367818934,0.0,0.0,1.6513782731831486
2024-04-05,20.49205571422834,29.890702822447672,23.98641802638683,11.199676648975444,12.779768514778564,0.0,0.0,1.6513782731831486
2024-04-18,20.492393907460777,29.891196127441006,23.986813889269502,11.199861484255077,12.77832906466036,0.0,0.0,1.6514055269132757
2024-04-24,19.209906180960658,28.020497548399238,22.48563279008954,13.83219682950029,8.645352299894647,6.258359722595405,0.0,1.548054628560221
2024-05-10,19.202866296357318,28.010228832487215,22.477392444791437,13.82712772252116,8.642184024007554,6.2927133692953925,0.0,1.547487310539921
2024-05-17,19.202812343839646,28.010150134737476,22.477329292140453,13.827088873719044,8.6424407036149,6.29269568924055,0.0,1.5474829627079265
2024-06-14,19.202577771200392,28.011029529316783,22.477054719522595,13.826919968421619,8.64233513157216,6.292618820591862,0.0,1.5474640593745883
2024-06-21,18.172224256123048,26.50804055146443,21.271002458477746,13.085008347913925,8.17861299554484,5.954975510506555,5.365704164066154,1.4644317159032991
2024-06-24,18.176006347715667,26.513557533639727,21.275429482843663,13.087731663418097,8.180315168213072,5.956214888938996,5.3460084146845706,1.4647365005462034
2024-06-25,18.176006347715667,26.52974502259429,21.275429482843663,13.087731663418097,8.180315168213072,5.956214888938996,5.329820925730003,1.4647365005462034
2024-06-26,18.178949063087313,26.55023032715048,21.27887399822178,13.089850581535153,8.181639570214804,5.95717920666508,5.298303610132536,1.4649736429928502
2024-07-10,18.177364502660314,26.547916087523205,21.277019234145396,13.088709610230662,8.189642878871641,5.956659951652337,5.297841785733244,1.464845949183201
2024-07-19,18.172633507777995,26.54945109130771,21.278249474023347,13.089466401035624,8.190116405033596,5.957004366465862,5.2981481075991095,1.464930646756762
2024-08-12,18.172843658990615,26.54975811336584,21.278495539070963,13.089617769698595,8.18905470099605,5.957073254208008,5.298209376223109,1.4649475874468214
