date,CHINA INDUSTRIAL SECURITIES,GF SECURITIES (HONG KONG) BROKERAGE LTD,GET NICE SECURITIES LTD,NANYANG COMMERCIAL BANK LTD,CHEER UNION SECURITIES LTD,CHINA SECURITIES (INTERNATIONAL),CHINA CONSTRUCTION BANK (ASIA),STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-03-07,0.0,0.0,0.0,0.0,7.027881825965062,0.0,3.62073008241198,0.0,0.0,10.648611908377042
2024-03-19,0.0,0.0,0.0,0.0,7.027881825965062,4.291289221519834,3.62073008241198,0.0,2.158512164514834,17.098413294411714
2024-03-20,0.0,17.465801589251573,0.0,0.0,6.9918044038605185,4.291289221519834,3.62073008241198,0.0,2.158512164514834,34.52813746155874
2024-04-11,0.0,17.465801589251573,0.0,0.0,6.943460658240432,4.291289221519834,3.62073008241198,0.0,2.158512164514834,34.47979371593865
2024-04-18,0.0,17.826575810297008,0.0,0.0,6.451003846513413,4.291289221519834,3.686751764863295,2.6102014892637184,2.214432168776877,37.08025430123414
2024-04-24,0.0,17.826575810297008,0.0,0.0,6.451003846513413,4.295979286393425,3.686751764863295,2.6102014892637184,2.214432168776877,37.084944366107734
2024-04-30,0.0,17.826575810297008,0.0,0.0,6.447396104302959,4.297061609056561,3.686751764863295,2.6102014892637184,2.214432168776877,37.082418946560416
2024-05-03,0.0,17.826575810297008,16.01981851130147,0.0,6.447396104302959,4.297061609056561,3.686751764863295,2.6102014892637184,2.214432168776877,53.10223745786189
2024-05-07,0.0,17.826575810297008,16.01981851130147,0.0,6.4470353300819125,4.297061609056561,3.6899987328527035,2.6102014892637184,2.214432168776877,53.10512365163025
2024-05-08,0.0,17.826575810297008,16.01981851130147,0.0,6.4470353300819125,4.297061609056561,3.6936064750631576,2.6102014892637184,2.214432168776877,53.1087313938407
2024-05-09,0.0,17.826575810297008,16.01981851130147,0.0,6.336277644220965,4.297061609056561,3.805446483587242,2.6102014892637184,2.214432168776877,53.10981371650384
2024-05-14,0.0,17.826575810297008,16.01981851130147,0.0,6.335556095778874,4.297061609056561,3.805446483587242,2.6102014892637184,2.214432168776877,53.10909216806174
2024-05-16,0.0,17.826575810297008,16.01981851130147,0.0,6.337720741105146,4.296700834835516,3.805446483587242,2.6102014892637184,2.214432168776877,53.110896039166974
2024-05-20,0.0,17.826575810297008,16.01909696285938,0.0,6.337720741105146,4.296700834835516,3.805446483587242,2.6102014892637184,2.214432168776877,53.11017449072488
2024-05-28,0.0,17.826575810297008,16.018736188638336,0.0,6.337720741105146,4.296700834835516,3.805446483587242,2.6102014892637184,2.214432168776877,53.10981371650384
2024-06-14,0.0,17.826575810297008,16.008995284670107,0.0,6.337720741105146,4.296700834835516,3.805446483587242,2.6102014892637184,2.2234515243030124,53.10909216806174
2024-06-17,0.0,17.826575810297008,16.008995284670107,0.0,6.332669902010511,4.296700834835516,3.805446483587242,2.6102014892637184,2.2234515243030124,53.104041328967114
