date,CITIBANK N.A.,CHINA MERCHANTS BANK CO LTD,FOSUN INTERNATIONAL SECURITIES LTD,MERRILL LYNCH FAR EAST LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-25,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-28,96.85264663805437,0.0,0.0,0.0,1.859799713876967,1.2875536480686696,0.0
2024-04-02,96.85320936885392,0.0,0.0,0.0,1.859467191131772,1.2873234400143037,0.0
2024-04-12,96.61137863385053,0.0,0.0,0.0,1.8548243267344393,1.2841091492776886,0.24968789013732834
2024-04-16,84.73091364205257,0.0,12.3279098873592,0.0,1.6113892365456821,1.1107634543178975,0.2190237797246558
2024-05-16,84.73330204911622,0.0,12.325981542311904,0.0,1.6111371812920383,1.11058970749257,0.21898951978726733
2024-05-21,84.73330204911622,0.0,12.325981542311904,0.0,1.5954950727358048,1.1262318160488034,0.21898951978726733
2024-07-15,84.72005004691898,0.0,12.339693462621208,0.0,1.595245542696278,1.1260556771973727,0.21895527056615577
2024-07-16,84.72005004691898,0.0,12.370972786987801,0.0,1.579605880512981,1.1104160150140758,0.21895527056615577
2024-10-03,84.50858034321372,0.0,12.714508580343214,0.0,1.5132605304212168,1.0452418096723868,0.21840873634945399
2024-10-04,84.50858034321372,0.0,12.714508580343214,0.0,1.5288611544461779,1.0452418096723868,0.20280811232449297
2024-10-16,84.50858034321372,0.0,12.730109204368176,0.0,1.5132605304212168,1.0452418096723868,0.20280811232449297
2024-11-11,84.51582722594729,0.0,12.724154062061437,0.0,1.5125526274754406,1.0447528457820054,0.20271323873382194
2024-11-13,84.48947778643804,0.0,12.766952455183164,0.0,1.4964925954793453,1.044427123928293,0.20265003897116132
2025-03-14,84.49189526184539,0.0,12.764962593516211,0.0,1.4962593516209477,1.0442643391521198,0.20261845386533667
2025-03-20,84.37354085603113,0.0,12.747081712062258,0.0,1.4785992217898831,1.0428015564202335,0.35797665369649806
2025-03-24,84.32104526364908,0.0,12.739150723285114,0.0,1.4776792658267226,1.0421527453725308,0.4199720018665422
2025-03-26,84.05954411536672,0.0,12.699643355559001,0.0,1.4730966041246705,1.038920762908978,0.7287951620406264
2025-03-27,82.44866920152091,0.0,12.456273764258555,1.9163498098859315,1.4448669201520912,0.988593155893536,0.7452471482889734
2025-03-31,81.9253438113949,0.0,13.011938945141303,1.8890735983073899,1.4205833459271573,0.9823182711198428,0.7707420281094152
2025-04-01,81.90058921287203,0.0,13.008007251850733,1.8885027949841366,1.4050460794681976,0.982021453391751,0.815833207433147
2025-04-09,81.8882175226586,0.0,13.006042296072506,1.8882175226586102,1.404833836858006,0.9818731117824773,0.8308157099697886
2025-04-15,45.20890668001001,44.78358769076808,7.180385288966725,1.0424485030439496,0.7839212742890501,0.5420732215828539,0.45867734133933785
2025-04-16,45.1908651441907,44.7574595765961,7.226204367394566,1.0501750291715286,0.775129188198033,0.5417569594932489,0.45840973495582593
2025-04-22,45.18709892491041,44.75372947745645,7.225602133511126,1.0417534794566214,0.7917326443870323,0.5417118093174431,0.4583715309609134
2025-04-24,45.17956836930256,44.74627114407133,7.224397966836096,1.0415798683443045,0.8082659778351804,0.5416215315390385,0.458295142071494
2025-04-25,45.17956836930256,44.74627114407133,7.216065327889343,1.0415798683443045,0.8165986167819349,0.5416215315390385,0.458295142071494
