date,UOB KAY HIAN (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CMB WING LUNG BANK LTD,MIB SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,BOCI SECURITIES LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,55.07323474128454,44.92676525871547,0.0
2024-03-07,0.0,0.0,29.35571332298964,0.0,0.0,27.413920102810035,24.339022364317394,18.89134420988293,0.0
2024-03-08,0.0,27.187837806757287,21.540283815175144,0.0,0.0,20.126957841716692,17.859196393661307,13.285724142689576,0.0
2024-03-12,0.0,27.19565642506298,21.546478322386207,0.0,0.0,20.10398812878884,17.86433230188766,13.289544821874316,0.0
2024-03-13,0.0,27.217667649226236,21.56756632277082,0.0,0.0,20.123664333087692,17.881816507000735,13.209285187914519,0.0
2024-03-14,0.0,19.259671742358712,15.260275440191245,14.85781021850236,14.408519716213137,14.238632954365618,12.652398568478459,9.322691359890472,0.0
2024-03-18,0.0,19.261741863246197,15.261270117188971,14.85877866249401,14.409458875089342,14.223265839291436,12.653223261969181,9.332261380720864,0.0
2024-03-19,0.0,19.262399680942572,15.261145775473112,14.858657600090927,14.409341473534468,14.223149954750633,12.653120169403525,9.332185345804763,0.0
2024-03-20,0.0,19.26189220842775,15.258162182020646,14.855752694117266,14.410597380550467,14.22036929216456,12.650646451699355,9.342579791019956,0.0
2024-03-22,0.0,19.268514329261645,15.23179846732727,14.860231565219465,14.41494204147086,14.22465660108769,12.654460503803163,9.345396491829908,0.0
2024-03-26,0.0,19.268514329261645,15.23179846732727,14.860231565219465,14.423905278144511,14.22465660108769,12.654460503803163,9.336433255156255,0.0
2024-03-27,0.0,19.269172156095124,15.231674353598027,14.86011047914017,14.423787747396046,14.224540693883315,12.654357391075663,9.336357178811651,0.0
2024-03-28,0.0,19.268514329261645,15.23179846732727,14.860231565219465,14.423905278144511,14.22465660108769,12.654460503803163,9.336433255156255,0.0
2024-04-02,18.49889080732387,15.703772681627786,12.414388172953911,12.11154962339702,11.755930166546193,11.59353631494444,10.313777795216083,7.6081544379906925,0.0
2024-04-03,18.50577323375752,15.709615197340632,12.41900688843307,12.116055669199909,11.747680938313271,11.61047260376913,10.31761498835744,7.573780480829027,0.0
2024-04-05,18.511922586299043,15.714835404079352,12.423133646640249,12.12008175861436,11.718355245424778,11.614330691097468,10.32104346719751,7.576297200647239,0.0
