date,KINGSTON SECURITIES LTD,JIN YI FINANCIAL GROUP LTD,THE HONGKONG AND SHANGHAI BANKING,CEPA ALLIANCE SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-01,96.11960704647932,0.0,0.0,0.0,0.0,0.0,2.4491730825988554,1.4312198709218338
2024-03-04,96.12351604059214,0.0,0.0,0.0,0.0,0.0,2.44916892708662,1.427315032321243
2024-03-05,96.1274250214402,0.0,0.0,0.0,0.0,0.0,2.449164771588486,1.4234102069713095
2024-03-06,96.13072096112207,0.0,0.0,0.0,0.0,0.0,2.4491190620396788,1.4201599768382618
2024-03-07,96.13175208670637,0.0,0.0,0.0,0.0,0.0,2.4491107513959314,1.4191371618976971
2024-03-08,96.13269883902618,0.0,0.0,0.0,0.0,0.0,2.4490484233655723,1.4182527376082499
2024-03-11,89.72890625940637,0.0,6.658952082999982,0.0,0.0,0.0,2.285858872031407,1.3262827855622374
2024-03-12,89.73036826250824,0.0,6.65819213307397,0.0,0.0,0.0,2.2858154351969624,1.325624169220836
2024-03-13,89.72550165648177,0.0,6.656915690543023,0.0,0.0,0.0,2.2855946568105656,1.33198799616465
2024-03-14,87.90944709354916,0.0,6.521695574912136,0.0,0.0,2.0259986248049326,2.208143621435124,1.334715085298639
2024-03-15,85.68759995234825,0.0,6.35623638184165,2.523148761278734,0.0,1.9745978665555486,2.152121739151648,1.3062952988241745
2024-03-18,85.68954400110461,0.0,6.3561787237993235,2.521311653974646,0.0,1.9745799547850402,2.1521022170447166,1.306283449291667
2024-03-19,85.69261210848761,0.0,6.355823188984999,2.51890297601109,0.0,1.9744695060471902,2.151981838544458,1.306210381924656
2024-03-20,85.72773304932156,0.0,6.358091607029341,2.5099720021659175,0.0,1.9751742019020535,2.1225037965485347,1.3065253430325972
2024-03-21,85.7298502758101,0.0,6.358091607029341,2.5093670803120487,0.0,1.9751742019020535,2.120991491913862,1.3065253430325972
2024-03-22,85.73630981049962,0.0,6.358043530535848,2.503298933020467,0.0,1.9751592666894875,2.120975454108816,1.3062130051457548
2024-03-25,85.74271330918613,0.0,6.358047376628571,2.497251270853183,0.0,1.9750999697336111,2.1209767371242942,1.3059113364742017
2024-03-26,85.74846002682027,0.0,6.358047376628571,2.4918070120419,0.0,1.9750999697336111,2.1209767371242942,1.3056088776513526
