date,BOCI SECURITIES LTD,LONG BRIDGE HK LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,SHANGHAI COMMERCIAL BANK LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,EAST ASIA SECURITIES CO LTD
2024-03-01,0.0,0.0,50.94486150660109,0.0,49.055138493398914,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,32.16269193074159,36.88337144723947,30.953936622018947,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,32.17902646194054,36.867036916040504,30.953936622018947,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,32.1953609931395,36.850702384841554,30.953936622018947,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,29.205296051657236,33.41133260270727,28.06492698675987,0.0,0.0,9.318444358875626,0.0,0.0
2024-03-11,0.0,31.464484425130973,20.01177760630305,22.89526052877391,19.240141331275638,0.0,0.0,6.388336108516428,0.0,0.0
2024-03-12,0.0,31.464484425130973,20.02193071518499,22.88510741989197,19.240141331275638,0.0,0.0,6.388336108516428,0.0,0.0
2024-03-13,0.0,31.464484425130973,20.143768021768267,22.773423222190633,19.229988222393697,0.0,0.0,6.388336108516428,0.0,0.0
2024-03-14,0.0,27.323511789377225,17.252317343953756,20.001409790998483,16.68840094455997,0.0,8.634969865717407,5.544003101540197,4.555387163852958,0.0
2024-03-15,21.97054090852828,21.310393200478607,13.498645321890773,15.527224216418423,13.072299927108691,0.0,6.73900785300711,4.326718103175586,3.555170469392527,0.0
2024-03-19,21.972051825158857,21.31185871867521,13.492696613759525,15.528292025417434,13.073198910681375,0.0,6.739471295353891,4.3270156520782335,3.5554149588754713,0.0
2024-03-20,21.982634063106328,21.322122992665573,13.4716737075312,15.55641177360983,13.079495259457005,0.0,6.742717177416026,4.329099640847105,3.5158453853669274,0.0
2024-03-21,21.997769240302393,21.33680340397406,13.4258685504193,15.553352336101128,13.088500571460045,0.0,6.747359579185084,4.332080252268628,3.5182660662893652,0.0
2024-03-22,22.005344647087995,21.34415119290319,13.368505151798999,15.58625819604386,13.093007879221997,0.0,6.749683178136537,4.3335720976362335,3.519477657171194,0.0
2024-03-26,22.00686035458941,21.34562135801959,13.362538055681833,15.587331762890717,13.093909713325344,0.0,6.750148089983607,4.333870590018046,3.5197200754914517,0.0
2024-03-27,22.00382914835884,21.342681230286082,13.367584468533492,15.592071734549112,13.092106169336509,0.0,6.749218330326029,4.333273646368507,3.519235272241429,0.0
2024-04-02,22.005344647087995,21.34415119290319,13.327180560912447,15.634470218744834,13.08612044740757,0.0,6.749683178136537,4.3335720976362335,3.519477657171194,0.0
2024-04-03,22.005344647087995,21.34415119290319,13.334067992726872,15.634470218744834,13.079233015593145,0.0,6.749683178136537,4.3335720976362335,3.519477657171194,0.0
2024-04-09,22.022028921575384,21.360334155856687,13.302821852469638,15.646324147723355,13.054686315325126,0.0,6.754800733378365,4.336857776981294,3.5221460966901477,0.0
2024-04-11,22.022028921575384,21.360334155856687,13.295929198660067,15.646324147723355,13.061578969134697,0.0,6.754800733378365,4.336857776981294,3.5221460966901477,0.0
2024-04-15,22.02354692842175,21.361806551229733,13.289952575272967,15.647402669019522,13.062479320613212,0.0,6.755266350501819,4.337156722179332,3.522388882761663,0.0
2024-04-17,22.02354692842175,21.361806551229733,13.29684570420205,15.647402669019522,13.062479320613212,0.0,6.748373221572736,4.337156722179332,3.522388882761663,0.0
