date,THE HONGKONG AND SHANGHAI BANKING,CHANGJIANG SECURITIES BROKERAGE (HK) LTD,BOCI SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,1.1061222232311516,0.0,0.0,1.4072158524951073,0.09600553481470511,2.609343610540964
2024-03-04,1.1061222232311516,0.0,0.0,1.3976535482306944,0.09600553481470511,2.5997813062765514
2024-03-05,1.1070784536575928,0.0,0.0,1.3966973178042532,0.09600553481470511,2.5997813062765514
2024-03-06,1.107269699742881,0.0,0.0,1.3966973178042532,0.09581428872941686,2.5997813062765514
2024-03-19,1.107269699742881,0.0,0.0,1.3966973178042532,0.09772674958229942,2.601693767129434
2024-03-20,1.1036360241224044,0.0,0.0,1.3966973178042532,0.09810924175287594,2.5984425836795335
2024-03-21,1.099811102416639,0.0,0.0,1.3968885638895414,0.09810924175287594,2.5948089080590564
2024-04-03,0.6391444170333554,0.0,0.0,1.3968885638895414,0.09810924175287594,2.134142222675773
2024-04-11,0.6391444170333554,0.0,0.0,1.4028650040547996,0.09810924175287594,2.1401186628410307
2024-04-23,0.6391444170333554,0.0,1.4001125903953309,1.4028650040547996,0.09619678089999337,3.538318792383479
2024-04-26,0.6391444170333554,0.0,1.4001125903953309,1.4030562501400878,0.09619678089999337,3.5385100384687673
2024-05-09,0.6391444170333554,0.0,1.4001125903953309,1.403247496225376,0.10040419477633503,3.5429086984303977
2024-05-17,0.6402918935450851,0.0,1.3997300982247545,1.403247496225376,0.10040419477633503,3.5436736827715505
2024-05-31,0.6416306161421028,0.0,1.3997300982247545,1.403247496225376,0.10040419477633503,3.545012405368568
2024-06-11,0.6416306161421028,0.0,1.3997300982247545,1.4414967132830276,0.10040419477633503,3.5832616224262197
2024-06-20,0.6414393700568146,0.0,1.3997300982247545,1.4414967132830276,0.10040419477633503,3.5830703763409315
2024-06-26,0.642395600483256,0.0,1.3997300982247545,1.4414967132830276,0.10040419477633503,3.584026606767373
2024-07-05,5.1366786047573,0.0,1.3997300982247545,1.4414967132830276,0.10040419477633503,8.078309611041416
2024-07-23,5.141459756889506,0.0,1.3997300982247545,1.4414967132830276,0.09849173392345245,8.08117830232074
2024-08-27,5.141459756889506,0.0,1.3997300982247545,1.4414967132830276,0.09753550349701116,8.0802220718943
2024-09-10,5.141459756889506,0.0,1.3997300982247545,1.4414967132830276,0.09887422609402897,8.081560794491317
2024-09-12,5.141459756889506,0.0,1.3997300982247545,1.4414967132830276,0.09849173392345245,8.08117830232074
2024-09-23,5.141459756889506,0.0,1.3997300982247545,1.4416879593683156,0.09791799566758769,8.080795810150164
2024-09-25,5.141459756889506,0.0,1.3997300982247545,1.4416879593683156,0.10748029993200053,8.090358114414578
2024-09-26,5.141459756889506,0.0,1.3997300982247545,1.4414967132830276,0.1026991477997941,8.085385716197083
2024-09-27,5.142415987315948,0.0,1.3997300982247545,1.4414967132830276,0.09791799566758769,8.081560794491317
2024-10-03,5.142415987315948,0.0,1.3997300982247545,1.4416879593683156,0.09791799566758769,8.081752040576605
2024-10-04,5.142415987315948,0.0,1.3997300982247545,1.4416879593683156,0.09600553481470511,8.079839579723723
2024-10-07,5.071846181844581,0.0,1.5033854764509897,1.4414967132830276,0.08586949229442749,8.102597863873024
2024-10-08,5.072037427929868,0.0,1.5054891833891606,1.4414967132830276,0.08586949229442749,8.104892816896484
2024-10-09,5.072419920100446,0.0,1.5060629216450254,1.4414967132830276,0.08586949229442749,8.105849047322925
2024-10-18,5.072419920100446,0.0,1.50663665990089,1.4414967132830276,0.08586949229442749,8.10642278557879
2024-10-31,5.072419920100446,0.0,1.5039592147068546,1.441879205453604,0.09198936702365171,8.110247707284556
