date,CHINA SECURITIES DEPOSITORY AND CLEARING,SPDB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,MORGAN STANLEY HONG KONG SECURITIES LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,SOOCHOW SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,7.57026267888659,4.1776732782305395,3.195560856584382,2.6294123654789057,1.829949055327584,2.468880443457875,0.0002956388987495959,0.0,21.872034316864625
2024-03-04,0.0,0.0,7.563462984215348,4.157569833115566,3.2062038569393674,2.629708004377655,1.837340027796324,2.4818885550028575,0.0002956388987495959,5.397272427242247,27.273741327588112
2024-03-05,0.0,0.0,7.640329097890243,4.157569833115566,3.2342895523205786,2.6205431985164176,1.8361574722013256,2.490166444167846,0.0002956388987495959,5.395794232748499,27.375145469859223
2024-03-06,0.0,0.0,7.666936598777707,4.153135249634323,3.277748470436769,2.6208388374151674,1.8266970274413385,2.384032079516741,0.009164805861237472,5.405550316407235,27.34410338549052
2024-03-07,0.0,0.0,7.674623210145197,4.143379165975586,3.4261591976090666,2.631481837770153,1.7581679307111822,2.365111189996767,0.01064300035498545,5.400524455128493,27.41008998769143
2024-03-08,0.0,0.0,7.658954348511468,4.063852302211945,3.5654051189201263,2.644785588213885,2.0338444041005093,2.3296345221468155,0.018033972823725347,5.404959038609737,27.71946929553821
2024-03-11,0.0,0.0,7.685561849398932,4.037244801324482,3.7247544853461587,2.68469683954508,2.0486263490379892,2.276715159270638,0.0002956388987495959,5.404959038609737,27.862854161431766
2024-03-12,0.0,0.0,7.608400096825287,3.5178072562214413,4.687354739674843,2.7006613400775583,2.415216218376298,2.043456068157207,0.062379807636164734,5.326910369339844,28.362185896308638
2024-03-13,0.0,0.0,7.602191679951545,3.5169203395251927,4.794967298819695,2.7849184262211932,2.3653862819920537,2.066515902259675,0.047597862698684934,5.326319091542344,28.504816883010385
2024-03-14,0.0,0.0,7.6489026259539825,3.515737783930194,4.938352164713249,2.7849184262211932,2.470876153843884,2.1481122383145634,0.004730222379993534,5.318928119073604,28.830557734430663
2024-03-15,0.0,0.0,7.6400334589914936,3.4557230874840266,5.06192922439058,2.783440231727445,2.5616058102172934,2.1555032107833036,0.0002956388987495959,5.317154285681107,28.975684948173996
2024-03-18,0.0,0.0,7.650972098245229,3.432958892280307,5.307309510352745,2.7722059535749604,2.5273856076870276,2.188023489645759,0.0002956388987495959,5.317449924579856,29.196601115264638
2024-03-19,0.0,0.0,7.694726655260169,3.304947249121732,5.544116268251171,2.5238692786253,2.5229510242057835,2.0845498750834004,0.04020689022994504,5.317449924579856,29.032817165357354
2024-03-20,0.0,0.0,7.798495908721277,3.2833656095130115,5.752541691869636,2.556685196386505,2.46737091124086,2.162007266555795,0.01212119484873343,5.316267368984858,29.348855148120677
