date,BOCI SECURITIES LTD,LUK FOOK SECURITIES (HK) LTD,KGI ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,REALINK FINANCIAL TRADE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD
2024-03-15,0.0,79.66930993757381,0.0,0.0,20.330690062426186,0.0,0.0,0.0,0.0
2024-03-25,0.0,79.6727395411606,0.0,0.0,20.327260458839405,0.0,0.0,0.0,0.0
2024-04-02,0.0,79.68073745152043,0.0,0.0,20.319262548479568,0.0,0.0,0.0,0.0
2024-04-03,0.0,60.264422055009994,0.0,18.484036900055266,15.367937763040429,0.0,0.0,5.883603281894316,0.0
2024-04-12,0.0,60.26867321345066,0.0,18.47978574161459,15.367937763040429,0.0,0.0,5.883603281894316,0.0
2024-04-17,0.0,60.35126421177669,0.0,18.44137111827592,15.335991854742915,0.0,0.0,5.87137281520448,0.0
2024-04-18,0.0,57.43028449559374,0.0,17.4117741740775,14.546698321999116,0.0,0.0,5.56919238662428,5.042050621705364
2024-04-23,0.0,57.5388694708931,0.0,17.383793338957858,14.483146518822066,0.0,0.0,5.560242657988831,5.033948013338154
2024-04-29,0.0,57.57867694283879,0.0,17.365125240847785,14.470937700706488,0.0,0.0,5.555555555555555,5.029704560051381
2024-05-02,0.0,57.638944582564754,0.0,17.347020611115564,14.455850509262971,0.0,0.0,5.549763413264897,5.008420883791804
2024-05-06,38.79763846454251,33.09365739358159,0.0,9.937745514690679,8.281454595575568,3.9558016126438633,0.0,3.179343456387402,2.7543589625783924
2024-05-10,38.79674722043554,33.095194339796016,0.0,9.93751722870532,8.281264357254434,3.955710741523477,0.0,3.1792704217587064,2.7542956905265092
2024-05-13,38.77218357554469,33.13589090157724,0.0,9.931813485777258,8.276511238147714,3.9534403195812384,0.0,3.177445645935211,2.7527148334366465
2024-05-21,38.77663482733284,33.18561719324026,0.0,9.875551065393093,8.277461425422484,3.953894195444526,0.0,3.177810433504776,2.753030859662013
2024-05-22,38.82388100875882,33.2260511735902,0.0,9.887583622612015,8.165704958734683,3.958711694521713,0.0,3.1816823375250007,2.7563852042575694
2024-05-29,38.82388100875882,33.22835007701326,0.0,9.887583622612015,8.163406055311615,3.958711694521713,0.0,3.1816823375250007,2.7563852042575694
2024-05-30,38.84441990983531,33.25972950593431,0.0,9.89281442635017,8.101021253105161,3.9608059619100198,0.0,3.1833655350078205,2.7578434078572087
2024-06-05,38.843526462267405,33.298065643903676,0.0,9.892586885019664,8.064033856981853,3.9607148607309615,0.0,3.1832923154771486,2.757779975619293
2024-06-18,38.83816663983626,33.30726950762367,0.0,9.891221856817607,8.062921141595567,3.9601683416507596,0.0,3.1828530690154775,2.757399443460663
2024-06-21,38.81495782481785,33.34712358362638,0.0,9.88531108506286,8.058102921234687,3.957801834103289,0.0,3.1809510675952097,2.7557516835597236
2024-06-26,38.81138969962999,33.353250752648634,0.0,9.884402362512352,8.057362167628066,3.9574380070323807,0.0,3.180658653735665,2.7554983568129066
2024-07-02,38.78999471713715,33.38999012334336,0.0,9.878953533775869,8.052920504398557,3.955256448538025,0.0,3.178905298941131,2.7539793738659073
2024-07-03,37.453150296067946,32.2392495176421,0.0,9.538488833691867,7.775387549621876,3.8189439134195293,3.44636401942738,3.0693486505067527,2.659067219622541
2024-07-09,37.43239648905045,32.2767975884387,0.0,9.533203298164732,7.771078996364926,3.816827732955049,3.444454295593581,3.0676478411206665,2.657593758311907
2024-07-10,37.41166566979021,32.31430406947121,0.0,9.527923617110831,7.766775215436078,3.8147138964577656,3.442546687047252,3.0659489156199466,2.6561219290667024
2024-07-11,37.37027284193755,32.389192538337284,0.0,9.517381779557876,7.758181938881635,3.8104932398043854,3.43873780177469,3.0625567037684496,2.6531831559381294
2024-07-12,37.32484639526146,32.47137868540865,0.0,9.505812668523186,7.74875127083057,3.805861291605888,3.434557750961411,3.0588339300711667,2.6499580073376654
2024-07-16,37.29929103076618,32.51761379950085,0.0,9.499304282527552,7.743445899684167,3.8032555160456742,3.432206197407072,3.056739624975153,2.6481436490933588
2024-07-17,37.26801279929383,32.574202802604,0.0,9.49133840891537,7.73695244400309,3.800066203243959,3.4293280370738164,3.054176321306411,2.6459229835595277
