date,GET NICE SECURITIES LTD,CORNERSTONE SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,YUANTA SECURITIES (HONG KONG) CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,I WIN SECURITIES LTD,BOCI SECURITIES LTD,TFI SECURITIES AND FUTURES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.5459677419354838,0.0,0.0,0.4991935483870968,0.0,0.0,0.0,1.0451612903225806
2024-03-05,0.0,0.0,0.5455645161290322,0.0,0.0,0.4991935483870968,0.0,0.0,0.04233870967741935,1.0870967741935484
2024-03-06,82.17177419354839,0.0,0.5455645161290322,0.0,0.0,0.4991935483870968,0.0,0.0,0.04233870967741935,83.25887096774194
2024-03-11,82.17177419354839,0.0,0.5419354838709678,0.0,0.0,0.4991935483870968,0.0,0.0,0.04233870967741935,83.25524193548387
2024-03-13,82.17177419354839,0.0,0.5419354838709678,0.0,0.0,0.5,0.0,0.0,0.04233870967741935,83.25604838709677
2024-03-14,82.17338709677419,0.0,0.5387096774193548,0.0,0.0,0.5016129032258064,0.0,0.0,0.04233870967741935,83.25604838709677
2024-03-15,82.17338709677419,0.0,0.5403225806451614,0.0,0.0,0.5,0.0,0.0,0.04395161290322581,83.25766129032259
2024-03-18,82.17338709677419,0.0,0.5403225806451614,0.0,0.0,0.5008064516129033,0.0,0.0,0.04395161290322581,83.25846774193548
2024-03-19,82.17338709677419,0.0,0.542741935483871,0.0,0.0,0.5008064516129033,0.0,0.0,0.04395161290322581,83.2608870967742
2024-03-20,82.17338709677419,0.0,0.5370967741935484,0.0,0.0,0.4862903225806452,0.0,0.0,0.04395161290322581,83.24072580645161
2024-03-22,82.1741935483871,0.0,0.5451612903225806,0.0,0.0,0.4866935483870968,0.0,0.0,0.04395161290322581,83.25
2024-03-25,82.1741935483871,0.0,0.5419354838709678,0.0,0.0,0.4963709677419355,0.0,0.0,0.04395161290322581,83.25645161290322
2024-03-26,82.1741935483871,0.0,0.5419354838709678,0.0,0.0,0.4971774193548387,0.0,0.23669354838709677,0.04395161290322581,83.49395161290323
2024-03-27,82.175,0.0,0.542741935483871,0.0,0.0,0.4971774193548387,0.0,0.23669354838709677,0.04395161290322581,83.49556451612902
2024-03-28,82.1883064516129,0.0,0.5435483870967742,0.0,0.0,0.4875,0.0,0.23669354838709677,0.04395161290322581,83.5
2024-04-02,82.1858870967742,0.0,0.5423387096774194,0.0,0.059274193548387095,0.4834677419354839,0.0,0.23669354838709677,0.04395161290322581,83.5516129032258
2024-04-03,82.18870967741935,0.0,0.5423387096774194,0.0,0.059274193548387095,0.4834677419354839,0.0,0.23588709677419356,0.04395161290322581,83.55362903225807
2024-04-05,82.19153225806451,0.0,0.5419354838709678,0.0,0.059274193548387095,0.4834677419354839,0.0,0.23588709677419356,0.04395161290322581,83.55604838709677
2024-04-09,82.19193548387096,0.0,0.5419354838709678,0.0,0.059274193548387095,0.4834677419354839,0.0,0.23588709677419356,0.04395161290322581,83.55645161290323
