date,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,PRUDENTIAL BROKERAGE LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CORE PACIFIC - YAMAICHI INTERNATIONAL,VICTORY SECURITIES CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,RIFA SECURITIES LTD,DBS BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-04-15,1412.9813660732766,82.3947377031394,0.0,55.54959419338732,42.53161761103501,0.0,0.0,25.702162771925636,0.0,0.0,1619.1594783527637
2024-04-24,1412.9813660732766,80.06250153610063,0.0,55.54959419338732,42.53161761103501,0.0,0.0,25.702162771925636,0.0,0.0,1616.827242185725
2024-04-25,1412.9813660732766,80.06250153610063,0.0,55.52388360328388,42.53161761103501,0.0,0.0,25.702162771925636,0.0,0.0,1616.8015315956216
2024-04-26,1412.9727958765754,80.06250153610063,0.0,55.52388360328388,42.53161761103501,0.0,0.0,25.702162771925636,0.0,0.0,1616.7929613989206
2024-05-02,1412.9727958765754,80.06250153610063,0.0,55.26677770224939,42.53161761103501,0.0,0.0,25.702162771925636,0.0,0.0,1616.535855497886
2024-05-08,1412.8099621392535,80.05821643775005,0.0,55.41247104616893,42.53161761103501,0.0,0.0,25.702162771925636,0.0,0.0,1616.5144300061331
2024-05-09,1412.8099621392535,80.05821643775005,0.0,55.41247104616893,42.53161761103501,0.0,0.0,25.75358395213253,0.0,0.0,1616.5658511863403
2024-05-13,1412.8099621392535,80.09249722455465,0.0,55.41247104616893,42.53161761103501,0.0,0.0,25.75358395213253,0.0,0.0,1616.6001319731447
2024-05-14,1412.8099621392535,80.09249722455465,0.0,55.223926718743655,42.53161761103501,0.0,0.0,25.75358395213253,0.0,0.0,1616.4115876457192
2024-05-17,1412.8099621392535,80.09249722455465,0.0,55.52388360328388,42.53161761103501,0.0,0.0,25.75358395213253,0.0,0.0,1616.7115445302595
2024-05-20,1412.8099621392535,80.09249722455465,0.0,55.65672165215169,42.50162192258099,0.0,0.0,25.75358395213253,0.0,0.0,1616.8143868906732
2024-05-21,1412.8099621392535,80.20819488002017,0.0,55.77670440596778,41.94884423535686,30.39057432215045,0.0,25.496478051098055,0.0,17.21025756010432,1663.841015593951
2024-05-22,1412.8099621392535,81.02236356662935,0.0,56.72371114144477,41.6874532359718,30.39057432215045,0.0,25.239372150063577,0.0,17.223112855156042,1665.0965494106697
2024-05-23,1412.8099621392535,81.0652145501351,0.0,58.29205713775508,41.43034733493733,29.233597767495294,0.0,25.239372150063577,0.0,17.265963838661786,1665.3365149183016
2024-05-24,1412.8099621392535,81.0652145501351,0.0,58.269774626332094,41.43034733493733,27.776664328299923,0.0,25.239372150063577,0.0,17.265963838661786,1663.8572989676834
2024-05-27,1412.8099621392535,81.10806553364084,0.0,58.321195806538995,41.43034733493733,27.776664328299923,0.0,25.239372150063577,0.0,17.265963838661786,1663.951571131396
2024-05-28,1412.8099621392535,81.10806553364084,0.0,58.38118718344704,41.43034733493733,27.776664328299923,0.0,25.239372150063577,0.0,17.265963838661786,1664.011562508304
2024-05-29,1412.8099621392535,81.13377612374428,0.0,58.44117856035508,41.43034733493733,27.776664328299923,0.0,25.239372150063577,0.0,16.931726167316967,1663.7630268039707
2024-06-03,1412.8099621392535,81.13377612374428,0.0,58.2012130527229,41.43034733493733,27.768094131598776,0.0,25.239372150063577,0.0,17.068986437682575,1663.6517513700028
2024-06-04,1412.8099621392535,81.146631418796,0.0,58.2012130527229,41.43034733493733,27.768094131598776,0.0,25.239372150063577,0.0,17.068986437682575,1663.6646066650546
2024-06-05,1412.8099621392535,81.01807846827877,0.0,58.278344823033244,41.43034733493733,27.768094131598776,0.0,25.239372150063577,0.0,17.124692716240045,1663.6688917634053
2024-06-11,1412.8099621392535,80.9966529765259,0.0,57.46417613642406,41.361785761328136,27.768094131598776,0.0,25.239372150063577,0.0,17.124692716240045,1662.7647360114343
2024-06-12,1412.8099621392535,80.9966529765259,0.0,57.73413733251027,41.361785761328136,27.768094131598776,0.0,25.239372150063577,0.0,15.98057145663662,1661.890575947917
2024-06-13,1412.8099621392535,80.9966529765259,0.0,57.84126479127464,41.361785761328136,27.768094131598776,0.0,25.239372150063577,0.0,15.98057145663662,1661.997703406681
2024-06-14,1412.8099621392535,80.87238512435924,0.0,58.52688052736658,41.361785761328136,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1661.3592237524454
2024-06-17,1412.8099621392535,80.8726136058033,0.0,58.52688052736658,41.370355958029286,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1661.3680224305906
2024-06-18,1412.8099621392535,80.78691163879179,0.0,58.44117856035508,41.370355958029286,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1661.1966184965677
2024-06-19,1412.8099621392535,80.82976262229754,0.0,58.05551970880336,41.370355958029286,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.8538106285216
2024-06-20,1412.8099621392535,80.82976262229754,0.0,58.006669587606815,41.370355958029286,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.8049605073252
2024-06-21,1412.8099621392535,80.65835868827456,0.0,58.006669587606815,41.370355958029286,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.6335565733023
2024-06-24,1412.8099621392535,80.65835868827456,0.0,58.00495554826658,41.370355958029286,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.6318425339618
2024-06-25,1412.8099621392535,80.65835868827456,0.0,58.03066613837004,41.370355958029286,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.6575531240655
2024-06-26,1412.8099621392535,80.65835868827456,0.0,58.1035128103298,41.370355958029286,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.730399796025
2024-06-28,1412.8099621392535,80.65835868827456,0.0,58.06494692517463,41.370355958029286,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.69183391087
2024-07-04,1412.8013919425523,80.65835868827456,0.0,58.06494692517463,41.370355958029286,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.683263714169
2024-07-05,1412.8013919425523,80.65835868827456,0.0,58.06494692517463,41.36607085967871,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.6789786158186
2024-07-10,1412.8013919425523,80.65835868827456,0.0,57.90211318785279,41.36607085967871,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.5161448784966
2024-07-11,1412.8013919425523,80.65835868827456,0.0,57.89268597148153,41.36607085967871,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.506717662125
2024-07-12,1412.8013919425523,80.6155077047688,0.0,57.89268597148153,41.36607085967871,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.4638666786193
2024-07-18,1412.8013919425523,80.6155077047688,0.0,57.89268597148153,41.35750066297756,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.4552964819184
2024-07-19,1412.8013919425523,80.6155077047688,0.0,57.89268597148153,41.074684171839635,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.1724799907804
