date,YUANTA SECURITIES (HONG KONG) CO LTD,SDICS INTERNATIONAL SECURITIES (HONG,THE HONGKONG AND SHANGHAI BANKING,FUBON SECURITIES (HONG KONG) LTD,FULBRIGHT SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,KGI ASIA LTD
2024-03-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,70.16745916890635,0.0,0.0,29.832540831093652
2024-03-11,0.0,0.0,0.0,0.0,49.53298307063631,0.0,28.911266783420896,21.55575014594279
2024-03-12,0.0,0.0,29.347964446774938,0.0,23.026023494108493,23.92155534479274,13.439762092465802,10.26469462185803
2024-03-13,0.0,0.0,29.2943040284318,0.0,22.9839222418832,23.877816683818548,13.415188556620688,10.428768489245764
2024-03-14,0.0,0.0,29.22503558973741,0.0,22.929575143989236,23.821355909754285,13.315908252446313,10.708125104072758
2024-03-27,0.0,0.0,28.929344978377237,0.0,22.968368229231352,23.861657741976945,13.338436588042132,10.902192462372335
2024-03-28,80.15625119585391,0.0,5.672754013470367,0.0,4.557168497209909,4.734406635581066,2.6464876570420537,2.2329320008426867
2024-04-03,80.17778234870575,0.0,5.647416322134649,0.0,4.558392619970407,4.7356783671230565,2.6471985427111586,2.2335317993549753
2024-04-10,80.15091073765123,0.0,5.647037102743756,0.0,4.55808652763115,4.735360370190759,2.6470207854923387,2.261584476290765
2024-04-18,80.15952297198758,0.0,5.636898854540182,0.0,4.558576295107778,4.735869185783743,2.6473052085024835,2.2618274840782253
2024-04-19,51.77602587602968,35.40876497715282,3.6409425871362298,0.0,2.944440728468864,3.0589563961641764,1.7099271289959135,1.460942306052318
2024-04-24,51.79422402989145,35.42121039261698,3.607074461433145,0.0,2.945475635735441,3.060031553212482,1.7105281314185488,1.4614557956919512
2024-05-07,50.337749196472345,34.4251514213248,3.505642047418907,2.8120410348817075,2.8626476521861175,2.973982210255819,1.6624273784498638,1.4203590590104365
2024-05-10,50.30041470019655,34.39961897881298,3.5030419832115705,2.8099554005969005,2.8605244839909663,2.97177646745791,1.735362378473011,1.4193056072601022
2024-05-22,50.298295084630965,34.398169408898454,3.5071082807851393,2.809836991529277,2.8604039439863125,2.971651239391791,1.735289251817271,1.4192457989607987
2024-05-24,50.29956683253327,34.39903913618674,3.5071969549159783,2.809908035772304,2.860476266770006,2.969197963415065,1.7353331270711376,1.4192816833355006
2024-05-28,50.30041470019655,34.38444825379477,3.5072560734944087,2.8099554005969005,2.8605244839909663,2.969248013288207,1.735362378473011,1.4327906961651862
2024-06-18,50.29702340103543,34.38297278462723,3.5070196111381686,2.80976595087865,2.8603316248596697,2.959777450355675,1.735245378781986,1.4478637983231917
2024-06-21,50.29702340103543,34.38297278462723,3.5070196111381686,2.80976595087865,2.8603316248596697,2.959777450355675,1.714176347956561,1.4689328291486166
2024-06-25,50.28812341604723,34.376888767702546,3.5063990491290884,2.80926876688858,2.8598254933472824,2.959253722049398,1.7138730269500215,1.4863677578858592
2024-06-27,50.28728080393958,34.376888767702546,3.5063990491290884,2.80926876688858,2.8598254933472824,2.959253722049398,1.7138730269500215,1.4872103699935044
2024-07-04,50.28685708079327,34.37659910631628,3.5013138739885896,2.8092450958492687,2.8598013963144626,2.959228787229344,1.7138585857700697,1.4930960737387236
2024-07-12,50.2843148918609,34.37486124050295,3.4977666198173876,2.8175287020991684,2.8596568226449093,2.9590791871328586,1.7137719438007502,1.4930205921410664
2024-07-15,50.26737353208749,34.40202477023273,3.496588182309843,2.816579444512248,2.858693371613209,2.9580822395714756,1.7081408832149636,1.4925175764580452
2024-07-22,50.193618754969826,34.35154841765972,3.6381827620458216,2.812446819818189,2.854498955281978,2.9537419949765193,1.7056346144112702,1.4903276808366719
2024-08-13,50.19696967301434,34.3492372836128,3.637937989148016,2.812257601518,2.854306907760793,2.953543270493785,1.7055198612076865,1.490227413244586
2024-08-15,50.19865832801994,34.35039281176232,3.634696313815312,2.812352207485388,2.854402928291091,2.953642629392549,1.7055772358792964,1.4902775453540993
2024-08-16,50.187262111065955,34.34259450515461,3.6338711565474933,2.828530210443152,2.853754915054714,2.952972086526858,1.7051900317415911,1.4958249834656265
2024-08-28,50.188518590970766,34.341728245203775,3.633779495533095,2.828458863403817,2.8536829317457055,2.9528976005571357,1.7051470199116945,1.4957872526740161
2024-09-03,50.18767463274752,34.341150762847924,3.633718390759079,2.8284113007105183,2.8536349448904574,2.9528479453315515,1.7067999228425539,1.495762099870396
2024-09-12,50.18936257757856,34.34230574698189,3.630477336693146,2.8285064276967753,2.85373092021488,2.9529472574527573,1.7068573270583989,1.495812406323592
2024-09-16,50.19566047498111,34.34086202895303,3.630324714862132,2.8283875199637163,2.85361095206803,2.9528231183449973,1.7025816670411784,1.4957495237858058
2024-09-23,50.19017461164742,34.33710893009809,3.629927958149416,2.8280784066411218,2.853299082086792,2.952500405506427,1.7023955925827203,1.5065150132880174
2024-09-24,50.19355038563072,34.33941843230415,3.6234461400548192,2.8282686222277733,2.85349099400745,2.9526989896741798,1.702510095128193,1.5066163409727023
2024-09-25,50.19397238930829,34.33970714192427,3.6234766042795026,2.8274516481806704,2.8535149848127257,2.9527238145734507,1.7025244090293958,1.5066290078916924
2024-09-30,15.682558371674258,10.729066381566936,1.132115683418465,0.8834063813830577,0.8915495862069871,0.9225463013432347,0.5314097857680421,0.47072977562843865
2024-10-02,50.19606602914165,34.33826364236835,3.627527875542475,2.8273327937832913,2.850872882461832,2.95259969425124,1.7007714070245608,1.5065656754266006
