date,CHINA MERCHANTS SECURITIES (HK) CO LTD,SOOCHOW SECURITIES INTERNATIONAL
2024-12-05,100.0,0.0
2024-12-06,80.0,20.0
2024-12-16,83.33333333333334,16.666666666666664
2025-04-10,79.59183673469387,20.408163265306122
