date,BANK OF CHINA (HONG KONG) LTD,KGI ASIA LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL
2024-03-14,91.70355373732413,0.0,0.0,0.0,0.0,0.0,8.296446262675875
2024-03-15,53.50322032772906,41.93590097535916,0.0,0.0,0.0,0.0,4.56087869691177
2024-03-20,53.48452931168799,41.921250930127755,0.0,0.0,0.0,0.0,4.594219758184251
2024-03-21,53.50322032772906,41.93590097535916,0.0,0.0,0.0,0.0,4.56087869691177
2024-04-03,39.766130477583175,31.168750211038414,0.0,13.571393321056307,0.0,12.103864665286583,3.3898613250355196
2024-04-16,39.43285360162933,31.213340581764648,0.0,13.590808711643357,0.0,12.12118059258527,3.6418165123773902
2024-05-07,39.412350416351444,31.19711114750774,0.0,13.583742145477329,0.0,12.114878162282173,3.691918128381312
2024-05-21,33.3809680040339,26.422929818496492,15.292270632454844,11.504984025137013,0.0,10.260904412849472,3.1379431070282795
2024-05-22,33.417759467079314,26.4520523486116,15.2760602313232,11.517664460124633,0.0,10.27221366204417,3.064249830817082
2024-06-04,33.252833400233826,26.321504010739172,15.200668566201871,11.460821538009348,0.0,10.221517390837045,3.5426550939787367
2024-07-26,33.23096617499742,26.304194861475533,15.19067253250212,11.453284845934139,0.0,10.214795671206332,3.60608591388445
2024-07-31,33.20912769084843,26.286908462413006,15.180689637043512,11.445758059675663,0.0,10.208082786237052,3.669433363782336
2024-08-01,33.12206003482623,26.21798947347723,15.140888920933099,11.41574958324321,0.0,10.181319245533656,3.921992741986581
2024-08-12,33.10759312602506,26.206538094478937,15.134275749561588,11.410763461971039,0.0,10.176872293355988,3.963957274607393
2024-08-20,33.16586645007325,26.20081615542324,15.130971329756923,11.408272034340536,0.0,10.174650273689359,3.919423756716688
2024-09-26,33.129698735662515,26.172243899140895,15.114470851753866,11.395831197750931,0.0,10.16355471416638,4.024200601525406
2024-10-02,32.98353446221975,26.229450864588273,15.147507874299729,11.420740063956144,0.0,10.185770085748446,4.032996649187652
2024-10-03,32.97632653774795,26.223718916698168,15.144197674393196,11.41824427831233,0.0,10.18354417931779,4.053968413530565
2024-10-07,32.97272375674914,26.22085388210667,15.1425431169166,11.416996794500612,0.0,10.182431590884757,4.064450858842219
2024-10-09,32.95832050164791,26.209400001310467,15.135928500756796,11.412009583903934,0.0,10.177983667175566,4.106357745205318
2024-10-15,32.84194160510622,26.203676812584753,15.132623359267694,11.409517612146278,0.0,10.175761162220413,4.23647944867464
2024-10-17,32.91518613766793,26.175098320213063,15.116119279923046,11.39707406025944,0.0,10.164663181016072,4.231859020920448
2024-10-21,32.90800805144902,26.169390100555884,15.112822783071023,11.394588606283707,0.0,10.1624464890492,4.252743969591169
2024-10-24,32.979930106152096,26.22658457745694,15.145852593481383,11.419492034767709,0.0,10.184657010912444,4.043483677229424
2024-11-07,32.473374217701675,26.01338388600935,16.811149336333546,11.326660900366573,0.0,10.101864075733632,3.2735675838552267
2024-11-08,32.46985483937392,26.010564624331582,16.299953831247795,11.325433346844378,0.0,10.100769262448765,3.7934240957535588
2024-11-11,32.50508298777696,26.038784769914784,16.14404655734717,11.359419855875325,0.0,10.111728085650244,3.840937743435514
2024-11-12,32.413648353027476,25.965539401624145,15.882254933993433,11.327466563958533,0.0,10.08328446763071,4.327806279765705
2024-11-14,32.39612371080513,25.951500969937346,14.98699181013882,11.32134229813517,0.0,10.077832876659004,5.266208334324537
2024-11-18,32.38211763485163,25.940281149413856,14.980512363786502,11.359681453347486,0.0,10.073475846355715,5.263931552244807
2024-12-03,32.36812366438275,25.929071026207808,14.97403851763501,11.354772353560168,0.0,10.069122581844033,5.304871856370232
2024-12-05,32.403131293248336,25.957114520626174,14.990233635661616,11.367053067157544,0.0,10.080012805509831,5.2024546777965
2024-12-09,32.43821472885507,25.98521874140593,15.006463823161925,11.37936037384068,0.0,10.090926611245969,5.099815721490426
