date,BNP PARIBAS,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,HANG SENG BANK LTD,CHEER UNION SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,27.23273846122327,4.095712520670748,4.492968488268979,1.8817685569949254,0.0,0.0,1.4161130215879094,3.089671970965616,0.7587394516032678,0.6265866509161946,43.594299122230915
2024-03-04,27.243447788884694,4.107795436010487,4.45928066842967,1.904304707378098,0.0,0.0,1.41634583305881,3.0887640062291037,0.7587394516032678,0.6269358681225454,43.605613759716675
2024-03-05,27.241724984000033,4.108074809775567,4.455298009159269,1.9057481384976815,0.0,0.0,1.41634583305881,3.086720945885069,0.7605553810762921,0.6269358681225454,43.601403969575266
2024-03-06,27.237790470141814,4.11366228507718,4.450944853714076,1.9182733956321307,0.0,0.0,1.4157405232344682,3.070885412289326,0.7605553810762921,0.62460775341354,43.592460074578824
2024-03-07,27.239480681420552,4.120926002969277,4.449960061192168,1.9203919800173257,0.0,0.0,1.4166717691180706,3.0576928709169815,0.7605553810762921,0.6278671140061476,43.593545860716816
2024-03-08,27.237711314241707,4.134242819104789,4.443813838360393,1.921742286548549,0.0,0.0,1.4164389576471699,3.057809276652432,0.7605553810762921,0.6278671140061476,43.60018098763748
2024-03-11,27.23250564975237,4.133870320751347,4.425410114866852,1.926864138908361,0.0,0.0,1.416019896999549,3.0114870809422625,0.7605553810762921,0.6283327369479487,43.53504532024498
2024-03-12,27.2395291062065,4.147210418033949,4.42471168045415,1.8924778846563504,0.0,1.4827390083302272,1.4162061461762694,3.0336292910355245,0.7632699628269924,0.6099406307468056,45.00971412846677
2024-03-13,27.23193263087904,4.145697143473096,4.436652580796639,1.8415620159704014,0.0,1.4827390083302272,1.4140642806439845,3.041077721548634,0.7632466816799024,0.6098242250113554,44.966796288333285
2024-03-14,27.234332917144027,4.140179511612752,4.441074299220012,1.8292695703068524,0.0,1.4773377822053346,1.4198845674164982,3.0311211432160716,0.7634794931508029,0.6109650012187681,44.947644285491116
