date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,GRANSING SECURITIES CO LTD,ZHESHANG INTERNATIONAL FINANCIAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,TIGER FAITH SECURITIES LTD,ASTRUM CAPITAL MANAGEMENT LTD,SBI CHINA CAPITAL FINANCIAL SERVICES LTD
2024-03-04,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,67.41751054267107,32.58248945732893,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,67.62404657325737,32.37595342674261,0.0,0.0,0.0
2024-03-08,0.0,80.86151320557076,0.0,12.989033792918473,6.14945300151077,0.0,0.0,0.0
2024-03-11,0.0,80.77700973389193,0.0,13.046385163538574,6.176605102569497,0.0,0.0,0.0
2024-03-12,0.0,80.73481317769979,0.0,13.075023399163557,6.190163423136654,0.0,0.0,0.0
2024-03-13,0.0,80.64309878134644,0.0,13.153423104354767,6.203478114298786,0.0,0.0,0.0
2024-03-20,45.85178620229195,35.21940150699528,0.0,5.089245043250055,2.425810661272332,0.0,0.0,11.413756586190376
2024-03-22,45.76300527053991,35.33138727833977,0.0,5.092837189708586,2.421113663650219,0.0,0.0,11.391656597761521
2024-03-25,45.75685269304724,35.340081607935495,0.0,5.0921524865235135,2.4207881585976967,0.0,0.0,11.390125053896051
2024-03-26,45.76177462267846,35.34388303623744,0.0,5.095389410574736,2.4076026744696666,0.0,0.0,11.391350256039697
2024-03-27,45.74578222153537,35.358413747804626,0.0,5.100329312190404,2.4081054060090814,0.0,0.0,11.38736931246052
2024-04-05,45.768082392698815,35.375650280668474,0.0,5.054067584946475,2.409279310140255,0.0,0.0,11.392920431545978
2024-04-10,45.752085583260374,35.398237711766704,0.0,5.0523010928450205,2.4084372215056997,0.0,0.0,11.388938390622195
2024-04-11,45.72135389682509,35.44163073039087,0.0,5.048907461036054,2.4068194736687034,0.0,0.0,11.38128843807928
2024-04-12,45.71275642149718,35.43496626138864,0.0,5.066762130810361,2.4063668936534595,0.0,0.0,11.379148292650362
2024-04-17,45.708458896225686,35.44103611772344,0.0,5.066285796850076,2.4061406674674335,0.0,0.0,11.378078521733357
2024-04-18,45.789634232299825,35.36943648969745,0.0,5.032230186126953,2.410413821322101,0.0,0.0,11.398285270553671
2024-04-19,45.801958684692714,35.35204093027745,0.0,5.033584629821443,2.411062593274228,0.0,0.0,11.401353161934171
2024-04-23,47.00382812330343,34.55334538826896,0.0911514488006262,5.1573822572290675,2.474330246637756,0.0,0.0,10.719962535760164
2024-04-24,47.44150597450192,33.75993607134096,0.4014554566854402,5.079950579049036,2.4973700625153685,0.0,0.0,10.819781855907276
2024-04-25,47.32934950383017,33.680124201922204,0.6994955104876238,5.033174888746421,2.463653086850881,0.0,0.0,10.79420280816269
2024-04-26,47.28923429444478,33.6515777450482,0.7836602110683735,5.056698260900704,2.433775585026108,0.0,0.0,10.78505390351183
2024-04-29,47.24131686102281,33.61747913338317,0.8841945594700905,5.051574388504229,2.431309478706149,0.0,0.0,10.774125578913548
2024-04-30,47.2288611225764,33.60861548276681,0.9117153220778834,5.048854785919001,2.430668434870768,0.0,0.0,10.771284851789142
2024-05-02,46.92994002468328,33.39589969839288,0.9776482905062618,5.016899553888467,2.4249366192957416,0.0,0.0,11.254675813233359
2024-05-03,47.28660616453219,32.84802879201007,1.0267601254206806,5.055027840371551,2.4433660650382154,0.0,0.0,11.340211012627293
2024-05-06,47.28069394015926,32.802245291148566,1.0669190582245458,5.05439581237826,2.456952747249615,0.0,0.0,11.338793150839754
2024-05-07,47.258044102622684,32.772645840715455,1.1524981753176782,5.0512802257989975,2.4321703586256063,0.0,0.0,11.333361296919582
2024-05-08,47.25345113137636,32.769460693660164,1.1690471697426335,5.05078929594198,2.4249918926162253,0.0,0.0,11.332259816662637
2024-05-09,47.25213901785182,32.768550765357816,1.1717914651696733,5.050649047795313,2.4249245564834556,0.0,0.0,11.33194514734192
2024-05-10,47.25148298841483,32.76809582015625,1.1731635557321747,5.050578926642702,2.424890889819372,0.0,0.0,11.331787819234671
2024-05-13,47.25082697719367,32.76764088758706,1.1745356081961127,5.05050880743713,2.424857224090104,0.0,0.0,11.331630495495922
2024-05-14,47.59675829851015,32.26633110172894,1.1901271038405448,5.089582195685101,2.4426100152515837,0.0,0.0,11.414591284983674
2024-05-16,47.58943735524596,32.26136815912982,1.1941389156286826,5.088799357865362,2.453420626025341,0.0,0.0,11.412835586104828
2024-05-17,47.5721422568199,32.24964363434701,9.601357399625112,5.086949970886739,2.4679045869574323,0.0,0.0,3.02200215136381
2024-05-20,47.50507654850411,32.20417910215098,9.728798559706787,5.0797785489835015,2.464425412774219,0.0,0.0,3.017741827880396
2024-05-21,47.63606364818831,32.292976601803346,9.479891206624234,5.093785166960214,2.471220643108765,0.0,0.0,3.026062733315127
2024-05-23,47.63539691501197,32.292524616538095,9.481158161847587,5.093713872329551,2.471186054927823,0.0,0.0,3.026020379344973
2024-05-24,47.61540359470986,32.27897093944427,9.519150333960166,5.091575961037273,2.470148859532759,0.0,0.0,3.0247503113156693
2024-05-27,47.66007847901614,32.30925650216931,9.420253538947133,5.110356750813034,2.4724664627911133,0.0,0.0,3.0275882662632663
2024-05-28,47.65941107343293,32.30880406107254,9.421521968006493,5.1102851881816544,2.4724318397276552,0.0,0.0,3.0275458695787227
2024-05-31,47.65473975767409,32.305637328161666,9.430399976826,5.10978430587543,2.4721895054319636,0.0,0.0,3.0272491260308563
2024-06-03,47.650736501510174,32.30292347970879,9.436608223371785,5.109355056327058,2.4733819183688137,0.0,0.0,3.026994820713376
2024-06-04,47.65006935753934,32.302471215961745,9.437876174829373,5.109283521747092,2.4733472892747943,0.0,0.0,3.0269524406476593
2024-06-06,47.64673391788015,32.300210087173554,9.445615372223688,5.107525906255626,2.4731741583486313,0.0,0.0,3.026740558118355
2024-06-07,47.680777327465854,32.32328846403769,8.494098757460874,5.063542135064447,3.4093901632726893,0.0,0.0,3.028903152698443
2024-06-11,47.67877342736627,32.32192999958718,8.497944514491081,5.063329327447679,3.4092468753971414,0.0,0.0,3.0287758557106517
2024-06-12,47.61340518570688,31.08287586856713,8.494687678062126,5.05638743462441,3.4045727519328084,0.0,1.3234477179589543,3.0246233631476915
2024-06-14,47.150998014606834,30.781008261241432,8.417731435343075,5.007281309983436,4.337137065477632,0.0,1.3105947889786946,2.995249124368901
