date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),HAITONG INTERNATIONAL SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,25.83061986208132,0.0,29.836492994910646,9.888908922253464,4.156512606304428,4.546446970685566,15.986872932126126,4.555403570918199,3.465493262412428,1.7332488783078193
2024-03-04,19.900688183531575,23.144630522376332,22.89519121748894,7.5684046833103995,3.2187948421898995,3.455167719596496,12.328323572709138,3.5050691717230325,2.6475339014869474,1.3361961855872435
2024-03-05,19.82157337554118,23.15770577884864,22.896212025184834,7.647023756194195,3.2714128530431488,3.4553217721119465,12.27811922283205,3.510386875113148,2.6476519447457307,1.3145923963851265
2024-03-06,19.818763759239495,23.176916962371426,22.91350394593738,7.639024825390956,3.2756052989268576,3.4285970313608685,12.271896062523425,3.5138989141610786,2.6496515326058754,1.3121416674826443
2024-03-07,20.061447488207666,23.083186320085918,22.7994455946168,7.600143107201175,3.2875920144789523,3.4142240389818896,12.295891652626874,3.5008828853262037,2.6428303431090563,1.3143565553654666
2024-03-08,20.13775022601912,23.094006418390215,22.724364664875097,7.502499355335352,3.2276781174515157,3.377228823146334,12.488629571929508,3.499093181089826,2.6337769900346686,1.3149726517283666
2024-03-11,20.186877988204508,23.012903834490146,22.801459668813767,7.537452544757288,3.213327471232915,3.365827830466122,12.46065575141655,3.488073487439388,2.6235532197107543,1.3098682034685605
2024-03-12,20.21770871522713,23.00654076288831,22.742121417871257,7.56067504710411,3.215102096901256,3.3650424777894745,12.4728724134604,3.4881450098376683,2.62360701525691,1.3081850436634819
2024-03-13,20.288671840299134,22.99691391188783,22.689904663171337,7.584839710429484,3.2222968798590554,3.3516782570470123,12.447155724232966,3.4918094970082207,2.6225091938121303,1.3042203222528317
2024-03-14,20.3531007863656,23.010858830756614,22.515626063220758,7.683511534348593,3.2037421320221875,3.3511470686196967,12.459830630511428,3.494781396877212,2.6240994366629957,1.3033021206149118
2024-03-15,20.384201642044356,23.001664405768494,22.4661844290885,7.700044105761456,3.2196308465880668,3.344837758470095,12.467776410677132,3.4961866883058335,2.6159662480416883,1.3035074652543843
2024-03-18,20.347366277025323,23.007366836797686,22.47602848383023,7.6771616689430004,3.2204290376458196,3.274712338300974,12.580291386305317,3.49619856606291,2.616614782288645,1.303830622800096
