date,INNOVAX SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-05-09,0.0,0.0,0.0,79.38718662952647,0.0,0.0,20.61281337047354
2024-05-10,96.99229430773056,0.0,0.0,2.361421824509073,0.0,0.0,0.6462838677603778
2024-05-22,96.9907983088784,0.0,0.0,2.3625963690624223,0.0,0.0,0.6466053220591892
2024-05-24,97.00688168476908,0.0,0.0,2.346405770665782,0.0,0.0,0.6467125445651273
2024-06-28,93.90048154093098,0.0,3.2905296950240768,2.182985553772071,0.0,0.0,0.6260032102728732
2024-10-03,91.96667190693287,0.0,3.2227637163967935,2.106587014620343,2.090866216003773,0.0,0.6131111460462192
2024-10-04,91.89443920829406,0.0,3.298774740810556,2.1049324536600693,2.0892240025133524,0.0,0.6126295947219604
2024-10-08,91.72154280338664,0.0,3.4336782690498593,2.100972091564754,2.085293195359047,0.0,0.658513640639699
2024-10-09,91.70716413230913,0.0,3.370434237341276,2.100642733970842,2.1633484872237028,0.0,0.65841040915504
2024-10-14,91.70716413230913,0.0,3.448816428907352,2.100642733970842,2.084966295657627,0.0,0.65841040915504
2024-10-15,91.70716413230913,0.0,3.480169305533783,2.100642733970842,2.0536134190311963,0.0,0.65841040915504
2024-11-04,91.70716413230913,0.0,3.5271986204734285,2.0536134190311963,2.0536134190311963,0.0,0.65841040915504
2024-11-05,91.75750921496353,0.0,3.4663947925652887,2.054740804642773,2.054740804642773,0.0,0.6666143831856325
2024-11-11,91.75031367628608,0.0,3.3955457967377667,2.093789209535759,2.0545796737766624,0.0,0.705771643663739
2024-11-12,91.7719036787199,0.0,3.3728135540042357,2.094281904463095,2.055063142207232,0.0,0.7059377206055377
2024-11-18,78.80910683012259,14.125016839552742,2.89640307153442,1.7984642327899771,1.7647851273070188,0.0,0.6062238986932508
2024-12-27,78.40772014475272,14.05307599517491,2.640396729660903,1.82951347004423,1.742393780994505,0.6768529687709423,0.650046910601796
2025-01-17,78.39195979899498,14.050251256281406,2.6398659966499163,1.829145728643216,1.742043551088777,0.6968174204355109,0.6499162479061977
2025-01-24,78.3132530120482,14.036144578313253,2.737617135207497,1.8273092369477912,1.7402945113788488,0.6961178045515395,0.6492637215528783
2025-02-04,78.25040128410915,14.024879614767254,2.815676832530765,1.8258426966292134,1.7388978063135367,0.6955591225254146,0.6487426431246656
2025-02-11,78.25040128410915,14.018191546281432,2.815676832530765,1.8258426966292134,1.7322097378277155,0.7089352594970572,0.6487426431246656
2025-02-12,78.26086956521739,14.013377926421406,2.816053511705686,1.8260869565217392,1.725752508361204,0.7090301003344481,0.6488294314381271
2025-02-26,78.25563507457696,14.012440639422113,2.8225536753394422,1.8259648184067956,1.7256370811316968,0.7089826767440305,0.6487860343789713
2025-03-03,78.25563507457696,13.691391880141795,2.9830780549796003,1.9864891980469535,1.7256370811316968,0.7089826767440305,0.6487860343789713
2025-03-04,78.25563507457696,13.3569660892248,3.3175038458965953,1.9864891980469535,1.7256370811316968,0.7089826767440305,0.6487860343789713
2025-03-06,78.25563507457696,12.821884823757609,3.651929636813591,2.187144672597151,1.7256370811316968,0.7089826767440305,0.6487860343789713
2025-03-14,78.27134064757827,12.824458121487826,3.639282847203639,2.1875836232271872,1.725983409151726,0.7091249665507091,0.6422263848006422
2025-03-18,78.27657723957985,12.825316116946544,3.6395263263531143,2.187729979260052,1.72609888271894,0.7024821034321269,0.642269351709373
2025-03-19,78.28181453231635,12.826174227217985,3.639769838083768,2.1878763548775595,1.7262143717382576,0.6958383513983675,0.6423123243677238
2025-04-11,78.25563507457696,12.821884823757609,3.638552605176911,2.187144672597151,1.7256370811316968,0.6956056451073507,0.6755400976523309
2025-04-29,78.25040128410915,12.821027287319422,3.6383092562867843,2.1936864633493847,1.725521669341894,0.6955591225254146,0.6754949170679507
