date,GET NICE SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,SHANGHAI COMMERCIAL BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,HANG SENG BANK LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4227465728408612,0.4227465728408612
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41798961755501834,0.41798961755501834
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4194167041407712,0.4194167041407712
2024-03-12,0.0,0.0,0.0,1.1145574776461513,0.0,0.0,0.0,0.0,0.0,0.4194167041407712,1.5339741817869226
2024-03-18,0.0,0.0,0.0,1.1145574776461513,0.0,0.0,0.0,0.0,0.0,0.4201302474336476,1.534687725079799
2024-03-19,0.0,9.547614432353074,0.0,1.1145574776461513,0.0,1.242802019055421,0.0,0.0,0.0,0.4201302474336476,12.325104176488292
2024-03-20,0.0,9.547614432353074,8.04744757501099,1.1145574776461513,0.0,1.242802019055421,0.0,0.0,0.0,0.4201302474336476,20.372551751499284
2024-03-25,0.0,9.547614432353074,8.04744757501099,1.1145574776461513,0.0,1.242802019055421,0.0,0.0,0.0,0.4220330295479848,20.37445453361362
2024-04-03,0.0,9.547614432353074,7.325762277467312,1.8362427751898276,0.0,1.242802019055421,0.0,0.0,0.0,0.4220330295479848,20.37445453361362
2024-04-10,0.0,9.547614432353074,7.318626844538549,1.833388602018322,0.0,1.242802019055421,0.0,0.0,0.0,0.4220330295479848,20.36446492751335
2024-04-11,0.0,9.547614432353074,7.318626844538549,1.833388602018322,0.0,1.2426281523397233,0.0,0.0,0.6901956806379823,0.42227087731227686,21.054724589199925
2024-04-22,0.0,9.547614432353074,7.318626844538549,1.833388602018322,0.0,1.2426281523397233,0.0,0.0,0.6901956806379823,0.4223455615102646,21.054799273397915
2024-04-24,0.0,9.547614432353074,7.306594958610184,1.833388602018322,0.0,1.2426281523397233,0.0,0.0,0.6890064418165216,0.42353480033172536,21.04276738746955
2024-04-25,32.822717590615085,9.547614432353074,7.306594958610184,1.833388602018322,0.0,1.2426281523397233,0.0,0.0,0.6890064418165216,0.42353480033172536,53.86548497808463
2024-04-26,32.822717590615085,9.547614432353074,7.308735588488813,1.8324372109611533,0.0,1.2426281523397233,0.0,0.0,0.6890064418165216,0.42353480033172536,53.8666742169061
2024-04-29,32.822717590615085,9.547614432353074,7.308735588488813,1.8324372109611533,0.0,1.2426281523397233,0.0,0.0,0.6890064418165216,0.42377264809601745,53.866912064670394
2024-05-02,32.822717590615085,9.547427840781985,7.308735588488813,1.8324372109611533,0.0,1.2426281523397233,0.0,0.0,0.6890064418165216,0.42377264809601745,53.866725473099294
2024-05-06,32.822717590615085,9.547427840781985,7.308735588488813,1.8324372109611533,0.0,1.2426281523397233,0.0,0.0,0.6890064418165216,0.4240104958603096,53.86696332086359
2024-05-08,32.822717590615085,9.547427840781985,7.308735588488813,1.8314858199039847,0.0,1.2426281523397233,0.0,0.0,0.6890064418165216,0.42496188691747816,53.86696332086359
2024-05-14,32.822717590615085,9.54705453871593,7.3111140661317355,1.8312479721396928,0.0,1.2426281523397233,0.0,0.0,0.6890064418165216,0.42496188691747816,53.86873064867616
2024-05-17,32.822717590615085,9.547276331756132,7.3111140661317355,1.8312479721396928,0.0,1.2426281523397233,0.0,0.0,0.6890064418165216,0.42496188691747816,53.86895244171637
2024-05-20,32.822717590615085,9.547276331756132,7.3111140661317355,1.8307722766111083,0.0,1.252142062911409,0.0,0.0,0.6890064418165216,0.424724039153186,53.87775280899518
2024-05-22,32.822717590615085,9.54489785411321,7.314681782596116,1.8293451900253554,0.0,1.252142062911409,0.0,0.0,0.6890064418165216,0.424724039153186,53.87751496123089
2024-05-24,32.822717590615085,9.54489785411321,7.314681782596116,1.829107342261063,0.0,1.252142062911409,0.0,0.0,0.6890064418165216,0.4256754302103546,53.87822850452376
2024-05-27,32.822717590615085,9.54489785411321,7.314443934831824,1.8279181034396026,0.0,1.252142062911409,0.0,0.0,0.6890064418165216,0.4223455615102646,53.87347154923792
2024-05-29,32.822717590615085,9.54489785411321,7.314443934831824,1.8264910168538497,0.0,1.252142062911409,0.0,0.0,0.6890064418165216,0.424724039153186,53.874422940295084
2024-06-04,32.822717590615085,9.54489785411321,7.314443934831824,1.8240850677941525,0.0,1.252142062911409,0.0,0.0,0.6890064418165216,0.428053907853276,53.87534685993548
2024-06-05,32.822717590615085,9.54489785411321,7.314443934831824,1.8240850677941525,1.6128846966983623,1.252142062911409,0.0,0.0,0.6890064418165216,0.42829175561756816,55.48846940439813
2024-06-06,32.822717590615085,9.54489785411321,7.314556080052688,1.8240850677941525,1.6128846966983623,1.252142062911409,0.0,0.0,0.6890064418165216,0.43637857960350096,55.496668373604926
2024-06-07,32.822717590615085,9.54489785411321,7.320740121924284,1.8240850677941525,1.6128846966983623,1.252142062911409,0.8667749311634082,0.0,0.6890064418165216,0.44636818570377107,56.37961695274021
2024-06-11,32.822717590615085,9.54489785411321,7.320702898749172,1.8240850677941525,1.6128846966983623,1.252142062911409,0.9072090510930725,0.0,0.6890064418165216,0.4468438812323553,56.420489545023344
2024-06-12,32.822717590615085,9.54489785411321,7.31594594346333,1.8240266761680188,1.6128846966983623,1.252142062911409,0.9072090510930725,0.0,0.6890064418165216,0.45041159769673744,56.41924191457575
2024-06-13,32.822717590615085,9.54489785411321,7.31594594346333,1.8240266761680188,1.6128846966983623,1.252142062911409,0.9143444840218368,0.0,0.6890064418165216,0.4499359021681531,56.42590165197593
