date,CITIBANK N.A.,MIRAE ASSET SECURITIES (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,ABN AMRO CLEARING HONG KONG LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,CHINA MERCHANTS BANK CO LTD
2024-03-19,0.0,63.897763578274756,0.0,0.0,0.0,36.102236421725244,0.0,0.0,0.0,0.0
2024-03-21,2.7356272707843554,64.11626415900834,0.0,0.0,0.36332549690104726,32.699294721094255,0.0,0.04274417610600555,0.04274417610600555,0.0
2024-03-22,5.221485127327199,64.19858763107212,0.34239246736571793,0.0,0.36379199657607536,29.574149368713886,0.17119623368285897,0.08559811684142948,0.04279905842071474,0.0
2024-03-25,7.307171853856563,67.65899864682002,0.8570139828597204,0.0,0.38340099233198016,23.45511953089761,0.18042399639152007,0.11276499774470004,0.04510599909788002,0.0
2024-03-26,11.909871244635193,64.37768240343348,0.8154506437768241,0.0,0.3648068669527897,21.931330472103006,0.17167381974248927,0.38626609442060084,0.04291845493562232,0.0
2024-03-27,12.559038213825676,64.405324173465,0.8158007728638901,0.0,0.36496350364963503,21.146414770287677,0.17174753112924002,0.49377415199656505,0.042936882782310004,0.0
2024-03-28,12.73747841105354,64.76683937823834,0.885146804835924,0.0,0.36701208981001726,20.487910189982728,0.17271157167530224,0.5397236614853195,0.04317789291882556,0.0
2024-04-02,12.780656303972366,64.76683937823834,0.885146804835924,0.0,0.36701208981001726,20.358376511226254,0.17271157167530224,0.582901554404145,0.08635578583765112,0.0
2024-04-03,13.428324697754748,64.76683937823834,0.885146804835924,0.0,0.36701208981001726,19.71070811744387,0.17271157167530224,0.582901554404145,0.08635578583765112,0.0
2024-04-05,13.197749891821722,64.90696668109044,0.9519688446559932,0.0,0.3678061445261791,19.580268282128948,0.17308524448290782,0.6490696668109044,0.17308524448290782,0.0
2024-04-08,12.843243243243244,64.86486486486487,1.4486486486486487,0.0,0.3675675675675676,19.48108108108108,0.17297297297297298,0.6486486486486486,0.17297297297297298,0.0
2024-04-09,12.932525951557095,64.87889273356402,1.448961937716263,0.0,0.3676470588235294,19.377162629757784,0.17301038062283738,0.6487889273356401,0.17301038062283738,0.0
2024-04-10,11.351351351351353,64.86486486486487,1.4486486486486487,1.9891891891891893,0.3675675675675676,19.048648648648648,0.17297297297297298,0.5837837837837837,0.17297297297297298,0.0
2024-04-11,11.394594594594594,64.86486486486487,1.4486486486486487,1.9891891891891893,0.3675675675675676,19.005405405405405,0.17297297297297298,0.5837837837837837,0.17297297297297298,0.0
2024-04-12,11.399524118537746,64.89292667099285,1.4492753623188406,1.9900497512437811,0.36772658446895956,18.97036556348691,0.17304780445598097,0.5840363400389358,0.17304780445598097,0.0
2024-04-15,11.399524118537746,64.89292667099285,1.4492753623188406,2.9850746268656714,0.36772658446895956,17.975340687865025,0.17304780445598097,0.5840363400389358,0.17304780445598097,0.0
