date,CITIBANK N.A.,THE BANK OF EAST ASIA LTD,CMB INTERNATIONAL SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,CHINA GALAXY INTERNATIONAL SECURITIES,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,SINO-RICH SECURITIES & FUTURES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,82.91850774651827,17.081492253481738,0.0,0.0
2024-03-06,0.0,0.0,0.0,0.0,0.0,82.9797951530755,17.020204846924496,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,0.0,82.99289271923442,17.00710728076557,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,0.0,67.0250734131466,13.684210526315791,19.290716060537612,0.0
2024-03-11,0.0,0.0,0.0,0.0,0.0,67.1113925195604,13.576952648003257,19.311654832436346,0.0
2024-03-14,0.0,0.0,0.0,0.0,0.0,67.05074330125164,13.655053996656275,19.29420270209209,0.0
2024-03-18,0.0,0.0,0.0,0.0,0.0,66.99625265248996,13.657501467334868,19.34624588017518,0.0
2024-03-20,0.0,0.0,0.0,0.0,0.0,67.00230279496094,13.649704248882466,19.347992956156588,0.0
2024-03-22,0.0,0.0,0.0,0.0,0.0,66.77015838732902,13.948884089272859,19.28095752339813,0.0
2024-03-25,0.0,0.0,0.0,0.0,0.0,65.52592069239601,15.552415437604875,18.921663869999115,0.0
2024-03-26,0.0,0.0,57.64202224016118,14.379020112474297,0.0,18.373982440863738,4.287427454736477,5.317547751764307,0.0
2024-03-28,0.0,0.0,57.64416079070268,14.379553581982352,0.0,18.37219075587442,4.286349835747223,5.3177450356933225,0.0
2024-04-02,0.0,0.0,57.64487367614646,14.379731413948264,0.0,18.371181264605585,4.27032574262424,5.333887902675455,0.0
2024-04-03,0.0,0.0,57.649151359119344,14.380798498118999,0.0,18.37254454436102,4.263221881145233,5.334283717255407,0.0
2024-04-05,0.0,0.0,57.6741171686352,14.38702631357726,0.0,18.380501043920898,4.221761666903944,5.336593806962695,0.0
2024-04-08,0.0,0.0,57.6741171686352,14.38702631357726,0.0,18.385450354198625,4.216812356626214,5.336593806962695,0.0
2024-04-09,0.0,0.0,57.688393056468215,14.390587487705037,0.0,18.41227865444746,4.170826044598234,5.337914756781064,0.0
2024-04-10,0.0,0.0,57.696247807635416,14.39254688504438,0.0,18.413547835899394,4.1590159134593945,5.338641557961419,0.0
2024-04-11,0.0,0.0,57.68910703637954,14.390765592690007,0.0,18.42612067460493,4.118896400126626,5.3751102961988995,0.0
2024-04-12,0.0,0.0,57.667695323999105,14.385424360182967,0.0,18.47866680229566,4.095098226807622,5.373115286714652,0.0
2024-04-15,0.0,0.0,57.66698187398334,14.385246387382445,0.0,18.432662732798196,4.14206019393304,5.373048811902984,0.0
2024-04-16,0.0,0.0,57.66484162985157,14.384712495401903,0.0,18.481463768549474,4.09613270886052,5.372849397336527,0.0
2024-04-17,0.0,0.0,57.64701243827679,14.38026493623795,0.0,18.506668200891394,4.076315048792972,5.389739375800901,0.0
