date,FUTU SECURITIES INTERNATIONAL,CCB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,ELSTONE SECURITIES LTD,MERRILL LYNCH FAR EAST LTD,KINGSTON SECURITIES LTD,USMART SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,9.386566139421669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7922140853999724,0.0,13.178780224821644
2024-03-04,9.478868151859096,0.0,6.681656415812418,0.0,4.947947551375205,0.0,0.0,3.1588251554572913,3.8073047318778377,0.0,28.07460200638185
2024-03-05,9.401876552595814,0.0,6.655333249302485,0.0,4.953832415131136,5.38277621512821,0.0,3.1770169542048796,3.811187276845444,2.7431268407561187,36.12514950396409
2024-03-06,9.439676424355902,0.0,6.625640326782932,0.0,4.955663804266799,5.38277621512821,3.708086838542775,3.175063472460172,3.80767100970497,2.7431268407561187,39.837704931997884
2024-03-07,9.462727508943452,0.0,6.614017110401922,0.0,4.955395200526902,5.38277621512821,3.708086838542775,3.1751611465474077,3.801395449600098,2.7431268407561187,39.84268631044689
2024-03-08,9.416039295244943,0.0,6.643319336572534,0.0,4.955395200526902,5.38277621512821,3.708086838542775,3.1709123237526686,3.794729193146283,2.7431268407561187,39.814385243670436
2024-03-11,9.413573024542249,0.0,6.643319336572534,0.0,4.955956826528506,5.38277621512821,3.708086838542775,3.1689588420079615,3.794729193146283,2.7431268407561187,39.81052711722464
2024-03-12,9.447295003160262,0.0,6.643148406919871,0.0,4.954247530001886,5.38277621512821,3.708086838542775,3.1683483789627402,3.794729193146283,2.7431268407561187,39.84175840661815
2024-03-13,9.458565292540937,0.0,6.6419274808294295,0.0,4.954247530001886,5.38277621512821,3.708086838542775,3.170179768098403,3.7874036366036306,2.7431268407561187,39.8463136025014
2024-03-14,9.459517614891483,0.0,6.632868209238349,0.0,4.954247530001886,5.38277621512821,3.708086838542775,3.1700576754893595,3.8004675457713617,2.7431268407561187,39.85114846981954
