date,SINOMAX SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,CMB INTERNATIONAL SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,0.0,63.8145416227608,0.0,0.0,0.0,0.0,19.325605900948368,0.0,16.859852476290833
2024-03-04,0.0,52.3332181126858,0.0,0.0,0.0,17.991704113377118,15.848600069132388,0.0,13.826477704804702
2024-03-06,0.0,52.300242130750604,0.0,0.0,0.0,18.00415081286752,15.859564164648909,0.0,13.836042891732964
2024-03-12,0.0,52.31673582295989,0.0,0.0,0.0,17.997925311203318,15.854080221300137,0.0,13.831258644536653
2024-03-14,0.0,37.359931042975006,28.80187169067849,0.0,0.0,12.818618396749168,11.291712843245906,0.0,9.727866026351435
2024-03-15,0.0,37.42157706975028,28.773526879074918,0.0,0.0,12.806003198425392,11.28060031984254,0.0,9.718292532906876
2024-03-18,0.0,32.24606884827879,24.851253718657034,13.705907352316194,0.0,11.060348491287717,9.742881427964301,0.0,8.393540161495963
2024-03-28,0.0,32.65198051260326,24.77229400550731,13.662359669561534,0.0,11.025206524041517,9.711925439525524,0.0,8.176233848760855
2024-04-02,0.0,32.65911257015779,24.76967065551202,13.660912845494016,0.0,11.024038970666101,9.710896960711638,0.0,8.175367997458435
2024-04-05,0.0,32.666031140768986,24.774917911238216,13.663806800127103,0.0,11.026374324753734,9.69176993962504,0.0,8.17709988348692
2024-04-08,0.0,32.67662323906366,24.774917911238216,13.663806800127103,0.0,11.026374324753734,9.681177841330367,0.0,8.17709988348692
2024-04-09,0.0,32.70513499205929,24.764425622022234,13.658020116463737,0.0,11.021704605611435,9.677077818951826,0.0,8.173636844891478
2024-04-10,0.0,32.712259157315266,24.76180393817489,13.656574211306374,0.0,11.020537793775143,9.67605335591785,0.0,8.17277154351048
2024-04-11,40.10446164495626,19.89805550311497,14.71902334654836,8.117802529733812,0.0,6.550877855389843,5.751683342772639,0.0,4.8580957774841105
2024-04-12,41.57607026595418,19.384558688041274,14.36643940789878,7.923346231803944,0.0,6.393956145199926,5.613905779743259,0.0,4.741723481358639
2024-04-23,41.56075397556333,19.41425676920243,14.361146926996993,7.920427334684104,0.0,6.391600663105544,5.61183766193897,0.0,4.739976668508627
2024-04-24,41.53015522424688,19.47358733664642,14.35057365482545,7.914595987483895,0.0,6.386894901527701,5.6077059942327745,0.0,4.736486901036874
2024-04-25,41.547999017922905,19.500368278909892,14.295359685735331,7.917996562730174,0.0,6.389639086668303,5.610115394058433,0.0,4.738521973974957
2024-05-02,41.51996565049377,19.560817027540946,14.285714285714285,7.912654112739986,0.0,6.385327853769245,5.606330123290192,0.0,4.729190946451573
2024-05-08,41.497057381069155,19.60519862677783,14.27783227072094,7.908288376655223,0.0,6.381804806277587,5.603236880823934,0.0,4.726581657675331
2024-05-10,41.54289922670922,19.58389591260587,14.293605007978396,7.917024671658279,0.0,6.388854793175403,5.541917270160796,0.0,4.731803117712041
2024-05-13,41.56075397556333,19.549333824522623,14.299748265487814,7.920427334684104,0.0,6.391600663105544,5.544299134278872,0.0,4.733836802357708
2024-05-17,41.466552315608915,19.731683410928692,14.267336437147756,7.90247488360696,0.0,6.377113452585151,5.5317324185248715,0.0,4.7231070815976475
2024-05-20,41.456393924546795,19.959578637922586,14.018863302302792,7.900538951494365,0.0,6.375551200391964,5.530377266046056,0.0,4.758696717295444
2024-05-21,41.41074268934296,20.047718096170318,14.003425914596843,7.891838982013949,0.0,6.368530527346141,5.524287287409764,0.0,4.753456503120029
2024-05-22,41.38542430912203,20.341159207630227,13.750305698214724,7.8870139398385914,0.0,6.364636830520911,5.520909757887014,0.0,4.7505502567865
2024-05-23,41.37530562347188,20.360635696821518,13.746943765281175,7.885085574572128,0.0,6.363080684596577,5.519559902200489,0.0,4.749388753056235
2024-05-24,41.38289417374824,20.407165128079722,13.68832915571315,7.886531760102708,0.0,6.3642477226875345,5.5205722320718955,0.0,4.750259827596748
2024-05-28,41.34497923283655,20.4800879550452,13.675787930613243,7.879306132421207,0.0,6.358416809186415,5.515514292694845,0.0,4.745907647202541
2024-05-30,41.314697265625,20.538330078125,13.665771484375,7.87353515625,0.0,6.353759765625,5.511474609375,0.0,4.742431640625
2024-05-31,41.08150755598714,20.98683012684348,13.588638708502762,7.829095102263761,0.0,6.317897675547733,5.480366571584633,0.0,4.715664259270498
2024-06-03,40.95722151630665,21.256126338718463,13.517274762509832,7.805409330186968,0.0,6.298783808313669,5.463786531130877,0.0,4.701397712833545
2024-06-04,40.97209612008959,21.409115670964226,13.340596816173356,7.808244053023425,0.0,6.301071363718903,5.4657708371163976,0.0,4.703105138914109
2024-06-05,39.127167630057805,20.514450867052023,12.739884393063583,7.4566473988439315,0.0,6.017341040462427,5.219653179190751,4.433526011560693,4.491329479768786
2024-06-06,39.124906074793365,20.594185307207677,12.739148026125658,7.4562164036760885,0.0,6.0169932373851225,5.219351482573262,4.369689613317149,4.479509854921681
2024-06-07,39.16338810460542,20.573941217310807,12.751677852348994,7.463550104142559,0.0,6.022911363110391,5.224485072899792,4.316130525341356,4.483915760240685
2024-06-11,39.11360221888363,20.732693863399977,12.735467467930198,7.454062174968219,0.0,6.015254824916214,5.217843522477753,4.310643707384722,4.4204322200392925
2024-06-13,39.08649959579628,20.787619817530892,12.726642799399468,7.448897101281904,0.0,6.01108673056935,5.2142279708973325,4.307656773299457,4.4173692112253145
2024-06-14,39.09327172971412,20.77389546635865,12.728847819809413,7.450187698527289,0.0,6.012128212532486,5.215131388969102,4.308403118683223,4.418134565405717
2024-06-17,39.11586246749494,20.785900028893384,12.736203409419241,7.454492921121063,0.0,6.015602427044207,5.218145044784745,4.31089280554753,4.362900895694886
2024-06-18,39.102304892842696,20.813355669805325,12.731789035873145,7.451909190688003,0.0,6.013517416671481,5.216336433481601,4.309398648258333,4.361388712379412
