date,CHINA SECURITIES DEPOSITORY AND CLEARING,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,ICBC INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIC SECURITIES BROKERAGE (HK) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,MIB SECURITIES (HONG KONG) LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,ABCI SECURITIES CO LTD
2024-03-01,62.74575842950966,0.0,0.0,16.990651958607078,0.0,10.13139457219759,0.0,6.678720137493068,3.453474902192604,0.0
2024-03-04,63.114678999932586,0.0,0.0,16.772198637511316,0.0,10.101110928339699,0.0,6.557040858928039,3.4549705752883604,0.0
2024-03-05,63.37585021344134,0.0,0.0,16.710854213457964,0.0,9.917180150610076,0.0,6.5453331239940225,3.4507822984965983,0.0
2024-03-06,63.54267831528304,0.0,0.0,16.64130709254016,0.0,9.873889000017092,0.0,6.487297835506918,3.454827756652793,0.0
2024-03-07,63.888968972453085,0.0,0.0,16.594385517754546,0.0,9.610664656188362,0.0,6.440562120922294,3.465418732681718,0.0
2024-03-08,44.99827440690074,29.641921608485845,0.0,11.683919404702033,0.0,6.725923216873847,0.0,4.513198361563323,2.4367630014742168,0.0
2024-03-11,45.290441583002035,29.595745429290016,0.0,11.736993092243157,0.0,6.592719983175213,0.0,4.355720772298122,2.4283791399914594,0.0
2024-03-12,45.3563815970073,29.588802878518162,0.0,11.717480387718721,0.0,6.5729144893166325,0.0,4.33652294742913,2.427897700010057,0.0
2024-03-13,45.338398115221366,29.548786245769232,0.0,11.698671446565804,0.0,6.652408610974874,0.0,4.33822323033483,2.423512351133898,0.0
2024-03-14,45.37478904824428,29.540706296830045,0.0,11.701769216711893,0.0,6.631919594289239,0.0,4.333602400822105,2.4172134431024417,0.0
2024-03-15,44.331129330801076,28.886439383210437,0.0,11.443906652706499,0.0,6.440055260533494,0.0,4.315931301926425,2.355947743041301,2.2265903277807664
2024-03-18,44.37085169765366,28.870898780824987,0.0,11.442758267152211,0.0,6.439488472892683,0.0,4.296749811061808,2.3538406217875405,2.225412348627105
2024-03-19,44.39924741077656,28.883044008308968,0.0,11.47047633120907,0.0,6.325178316734478,0.0,4.323222706621223,2.37248270530119,2.226348521048508
2024-03-20,44.255402360618554,29.01449204107505,0.0,11.533785409198249,0.0,6.118688213325552,0.0,4.395159754623108,2.4459914878254865,2.236480733334004
2024-03-21,44.20592630323774,29.050873238943325,0.0,11.522343412582835,0.0,6.160656828869074,0.0,4.367959336100181,2.4529558294223808,2.239285050844468
2024-03-22,44.26061422778697,29.046863270012285,0.0,11.483517044481678,0.0,6.1881230666174565,0.0,4.332752998709464,2.4491534359906546,2.2389759564014966
2024-03-25,44.27960506267836,29.067572544131377,0.0,11.436006501796012,0.0,6.19444140688026,0.0,4.336102052266176,2.450033017569257,2.236239414678564
2024-03-26,44.26767469007027,29.06798942888817,0.0,11.418877888642204,0.0,6.213161742402887,0.0,4.315019659520601,2.4810051038338434,2.2362714866420235
