date,CHINA INTERNATIONAL CAPITAL CORPORATION,TIGER BROKERS (HK) GLOBAL LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD,OCBC BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,65.74017948221393,34.25982051778607,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,40.58289096604702,21.1890725023503,20.69753174100118,13.220037809552185,0.0,4.3104669810493155,0.0
2024-03-05,0.0,0.0,0.0,40.56708888629114,21.20074759229939,20.699766187503556,13.221465007133737,0.0,4.310932326772175,0.0
2024-03-06,0.0,0.0,0.0,40.57252821661406,21.198807289071997,20.69787173434972,13.220254971916228,0.0,4.310537788047995,0.0
2024-03-07,0.0,0.0,0.0,40.54797551174788,21.230356127084395,20.694083868139575,13.217835565817845,0.0,4.309748927210299,0.0
2024-03-08,0.0,0.0,60.25719901028047,16.115417759735475,8.437413672427832,8.224196312108651,5.253002510626748,0.0,1.7127707348208225,0.0
2024-03-11,0.0,0.0,60.25390095405092,16.07720894252394,8.441362029574844,8.229556563771968,5.252674357247688,0.0,1.7452971528306425,0.0
2024-03-12,0.0,0.0,60.25528873617114,16.065489035135354,8.443300108377038,8.228411165960106,5.25283597990748,0.0,1.754674974448882,0.0
2024-03-13,0.0,0.0,60.28412428050166,16.044538529478523,8.446780987418986,8.232348923456957,5.255349757335761,0.0,1.7368575218081173,0.0
2024-03-14,0.0,0.0,60.284180517091656,16.04492664038527,8.446322437557424,8.23235660307803,5.255354659836264,0.0,1.736859142051349,0.0
2024-03-15,35.49718047537315,0.0,38.88390796469401,10.32904354677345,5.4628257303564824,5.309953519163642,3.3897570666480656,0.0,1.1273316969911946,0.0
2024-03-18,35.50856835685819,0.0,38.89638234518414,10.296484180466713,5.475412402578876,5.3092494236970715,3.3908445375745195,0.0,1.1230587536404861,0.0
