date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD
2024-03-01,54.135504472720285,24.322043669589974,6.036225831891816,10.644027973202896,0.0,0.0,0.0,1.100886317736376,3.761311734858657,0.0
2024-03-04,48.0052710495128,21.501580184296905,5.34563821643943,9.348076523686268,5.655917634845331,0.0,3.578770915954213,1.0001985110145222,3.3324949629320955,2.232052001318434
2024-03-05,48.00393631223878,21.5133292993676,5.371583378060218,9.291576540096012,5.664671151224688,0.0,3.575798557647654,1.0072051030788078,3.3380566208234828,2.233843037462765
2024-03-06,47.998350408449625,21.509401118626055,5.359000766951357,9.313722340178051,5.665176871920906,0.0,3.575480992971917,1.0077881850766786,3.3374346647170254,2.2336446511083876
2024-03-07,48.01822008602917,21.532007888228552,5.378183824187636,9.190317157153514,5.670438638616361,0.0,3.6235478589065804,1.0158877269284636,3.3422652376252415,2.229131582324481
2024-03-08,48.06287919461233,21.513665323299936,5.379487158929932,9.208157570186387,5.6691201605414845,0.0,3.578819439462365,1.015797334820423,3.343075193280266,2.2289986248668825
2024-03-11,48.06019117329746,21.507919526050568,5.379565517405678,9.21559998302498,5.6769627895219426,0.0,3.5790955032294485,1.0111632132629471,3.3386487003653693,2.2308535938416054
2024-03-12,48.11078179146293,21.507564951485662,5.378971605482653,9.149521203049312,5.680019460380912,0.0,3.5851999999508637,1.0076228468895663,3.3380712416983287,2.242246899599778
2024-03-13,48.07686974428781,21.50749363401009,5.3848500689385865,9.160229742977947,5.687162013265845,0.0,3.582157146152287,1.0104926338362674,3.3462724613418398,2.2444725551893225
2024-03-14,48.08554159695026,21.490832097440148,5.380857766879452,9.160422652256095,5.70963077922052,0.0,3.5842095092930717,1.0087124190231291,3.3427972947856275,2.2369958841516944
2024-03-15,47.984728250192774,21.45642270520844,5.423543870078383,9.290693524645542,5.682113985561587,0.0,3.5827970983701642,1.004609119351409,3.345378013852836,2.229713432738867
2024-03-18,47.978564308435104,21.447039864658183,5.425082501726551,9.299142871645442,5.682683009912041,0.0,3.58336834765081,1.0104973575502525,3.34591140849714,2.2277103299244727
2024-03-19,45.54412388617571,20.36761821419294,5.1507305692283385,8.785670710951313,5.391085478881592,5.094183311464747,3.40067615208951,0.9793062091728437,3.174636639537033,2.111968828305968
2024-03-20,45.542690780793265,20.336404444484106,5.154191506214135,8.799672799885494,5.393554579281437,5.093494720325544,3.4024549528511248,0.991645349556097,3.1742075174331514,2.1116833491756486
2024-03-21,45.54635726647596,20.322154509937956,5.146394432377888,8.808005358365081,5.397279300750441,5.094009979760049,3.4009865497397844,1.0006376562665071,3.1740095340941368,2.110165412232198
2024-03-22,45.52417945713352,20.34296066913632,5.150917480486025,8.777105059114401,5.401320454545116,5.097220032225764,3.407923906456825,1.0095881223976577,3.1740896974695274,2.1146951210348397
2024-03-25,45.540203288581665,20.315198336013125,5.144852976537491,8.7781853778303,5.403240560114299,5.096918298212351,3.406122285213254,1.0204075869796716,3.1739018046932106,2.120969485824632
2024-03-26,45.542358233636776,20.31984748882371,5.1480103325489415,8.71453639130595,5.408619411598603,5.096559525881935,3.448436512462103,1.0168162579730549,3.1775965596978573,2.1272192860710684
2024-03-27,45.606298751446296,20.297986854271404,5.154260834830538,8.676691792453694,5.417232609434756,5.0989446953058115,3.4116928840340712,1.0336174537725198,3.178260353354947,2.1250137710959653
2024-03-28,45.62775740577526,20.267864021434978,5.159956316007645,8.679694236771399,5.422669796495024,5.100144641081771,3.409934806726346,1.0220140432125693,3.178047280511642,2.131917451983362
