date,EMPEROR SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,TIGER BROKERS (HK) GLOBAL LTD,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,TOTAL_CCASS_PCT
2024-03-04,0.0,3.641491519438512,0.0,0.0,0.0,0.0,1.1258025910845706,0.0,0.0,0.0,4.767294110523083
2024-03-05,0.0,3.6464707608410634,0.0,0.0,0.0,0.0,1.1258025910845706,1.254408056283129,0.0,0.0,6.026681408208763
2024-03-07,0.0,3.6470931660163823,0.0,0.0,1.4897350028742204,0.0,1.1258025910845706,1.2600097028609996,0.8169518547408146,0.0,8.339592317576988
2024-03-11,0.0,3.6470931660163823,3.547238929885214,0.0,1.4897350028742204,0.0,1.1258025910845706,1.2600097028609996,0.8175742599161336,0.0,11.88745365263752
2024-03-12,0.0,3.653317217769572,3.547238929885214,0.0,1.4909798132248584,0.0,1.1419851256428633,1.2600097028609996,0.8132174236889009,0.0,11.906748213072408
2024-03-13,0.0,3.655184433295529,3.547238929885214,0.0,1.4909798132248584,0.0,1.1419851256428633,1.2506736252312154,0.8138398288642199,0.0,11.8999017561439
2024-03-14,0.0,3.655184433295529,3.5627990592681873,2.5477848694727188,1.4716852527899709,0.0,1.1419851256428633,1.2494288148805774,0.8138398288642199,0.0,14.442707384214065
2024-03-15,0.0,3.655184433295529,3.6032553956639193,2.5477848694727188,1.4716852527899709,0.0,1.0735205563577788,1.2575200821597239,0.8138398288642199,0.0,14.42279041860386
2024-03-18,0.0,3.655184433295529,3.6032553956639193,2.5477848694727188,1.4716852527899709,0.0,1.0841014443382009,1.2575200821597239,0.8069933719357115,0.0,14.426524849655772
2024-03-20,0.0,3.6570516488214855,3.6032553956639193,2.5477848694727188,1.4716852527899709,0.0,1.0841014443382009,1.2575200821597239,0.8076157771110305,0.0,14.42901447035705
2024-03-21,16.60349562227741,3.6458483556657444,3.6032553956639193,2.544672843596124,1.4747972786665655,0.0,1.0841014443382009,1.2643665390882324,0.8063709667603924,0.0,31.026908446056588
2024-03-22,16.60349562227741,3.6576740539968045,3.6032553956639193,2.544672843596124,1.4747972786665655,0.0,1.0890806857407525,1.2942419875035418,0.836868820351021,0.0,31.10408668779614
2024-03-25,16.60349562227741,3.6576740539968045,3.6032553956639193,2.544672843596124,1.4747972786665655,0.0,1.0890806857407525,1.2942419875035418,0.8374912255263399,0.0,31.10470909297146
2024-03-26,16.60349562227741,3.6607860798733993,3.6032553956639193,2.544672843596124,1.4747972786665655,0.0,1.0884582805654335,1.2942419875035418,0.8318895789484695,0.0,31.101597067094865
2024-03-27,16.60349562227741,3.639624303912555,3.6032553956639193,2.544672843596124,1.4746415840119595,0.0,1.0884582805654335,1.2942419875035418,0.8318895789484695,0.0,31.080279596479414
2024-03-28,16.60349562227741,3.6427362053081147,3.6032553956639193,2.544672843596124,1.4746415840119595,0.0,1.0884582805654335,1.2942419875035418,0.8318895789484695,0.0,31.083391497874974
2024-04-03,16.60349562227741,3.646470636360028,3.5893048060643205,2.544672843596124,1.4746415840119595,0.0,1.0884582805654335,1.304458146051227,0.8194414754420905,0.0,31.070943394368594
2024-04-05,16.60349562227741,3.6458482311847096,3.5893048060643205,2.544672843596124,1.4746415840119595,0.0,1.0884582805654335,1.304458146051227,0.8175742599161336,0.0,31.068453773667322
2024-04-10,16.60349562227741,3.6458482311847096,3.5893048060643205,2.544672843596124,1.4746415840119595,1.1333998242558074,1.0996615737211746,1.3025909305252703,0.8200638806174094,0.0,32.21367929625419
2024-04-11,16.60349562227741,3.6458482311847096,3.5893048060643205,2.544672843596124,1.4746415840119595,1.1333998242558074,1.0996615737211746,1.2901428270188913,0.8200638806174094,0.0,32.20123119274781
2024-04-12,16.510134845979568,3.6458482311847096,3.588682400889001,2.6380336198939665,1.4746415840119595,1.1333998242558074,1.1127320824028726,1.2895204218435723,0.8051261564097545,0.0,32.198119166871216
