date,SORRENTO SECURITIES LTD,GRANSING SECURITIES CO LTD,YUEN META (INTERNATIONAL) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,LUK FOOK SECURITIES (HK) LTD,PHILLIP SECURITIES (HONG KONG) LTD,VALUABLE CAPITAL LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-20,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,0.0,0.0,0.0,69.48343627175744,0.0,0.0,0.0,17.630544637843908,12.886019090398653
2024-04-02,70.77932731747335,0.0,0.0,20.303527481542247,0.0,0.0,0.0,5.151763740771123,3.7653814602132893
2024-06-06,70.76191257278766,0.0,0.0,20.323136225703273,0.0,0.0,0.0,5.150496186336422,3.76445501517264
2024-06-19,70.76191257278766,0.0,0.0,20.405150496186337,0.0,0.0,0.0,5.068481915853359,3.76445501517264
2024-06-20,47.1269390430413,32.92549705046974,0.4752020974437404,13.589687568276162,0.0,0.0,0.0,3.3755735197727765,2.507100720996286
2024-07-04,47.017697181559974,32.92549705046974,0.4752020974437404,13.698929429757484,0.0,0.0,0.0,3.3755735197727765,2.507100720996286
2024-07-09,46.90845532007865,32.92549705046974,0.4752020974437404,13.808171291238802,0.0,0.0,0.0,3.3755735197727765,2.507100720996286
2024-07-11,46.82652392396767,32.92549705046974,0.4752020974437404,13.890102687349792,0.0,0.0,0.0,3.3755735197727765,2.507100720996286
2024-07-12,46.736934083337886,32.920102670525914,0.47512424225875155,13.991589754792203,0.0,0.0,0.0,3.3695592813063184,2.506689967778931
2024-07-15,46.69906623709933,32.91650739911538,0.47507235297329764,14.044667722383005,0.0,0.0,0.0,3.3582700813629662,2.5064162070660188
2024-07-16,46.71692341308861,32.92909428602644,0.475254015077024,14.028187479514914,0.0,0.0,0.0,3.343166175024582,2.5073746312684366
2024-07-17,46.673948661933366,32.92190060076461,0.4751501911523758,14.079737848170398,0.0,0.0,0.0,3.342435827416712,2.5068268705625343
2024-07-18,46.63025669033315,32.92190060076461,0.4751501911523758,14.123429819770617,0.0,0.0,0.0,3.342435827416712,2.5068268705625343
2024-07-19,46.57564172583288,32.92190060076461,0.4751501911523758,14.17804478427089,0.0,0.0,0.0,3.342435827416712,2.5068268705625343
2024-07-22,46.52432698083329,32.91650739911538,0.47507235297329764,14.235788783923988,0.0,0.0,0.0,3.3418882760880253,2.5064162070660188
2024-07-23,46.46679772826562,32.918304936653556,0.4750982961992136,14.291175185670598,0.0,0.0,0.0,3.3420707732634334,2.506553079947575
2024-07-24,46.42311052861511,32.918304936653556,0.4750982961992136,14.345784185233725,0.0,0.0,0.0,3.3420707732634334,2.49563128003495
2024-07-25,46.445937824400374,32.93449161339671,0.47533191280118015,14.314593236081516,0.0,0.0,0.0,3.3437141452220946,2.485931268098126
2024-07-26,46.42057554742532,32.91650739911538,0.47507235297329764,14.361382624365204,0.0,0.0,0.0,3.3418882760880253,2.4845738000327637
2024-07-29,46.387811936875444,32.91650739911538,0.47507235297329764,14.399606836673401,0.0,0.0,0.0,3.3364276743297108,2.4845738000327637
2024-07-30,46.36249522458113,32.8985428150412,0.4748130764612782,14.446324291873601,0.0,0.0,0.0,3.334606778365988,2.4832178136767995
2024-07-31,46.34478996181124,32.885979268957996,0.47463175122749596,14.489907255864704,0.0,0.0,0.0,3.3224222585924714,2.4822695035460995
2024-08-01,46.32389061732438,32.90213416298237,0.4748649091206812,14.507941706238741,0.0,0.0,0.0,3.307679711806124,2.4834888925277006
2024-08-02,46.27900627900628,32.91291291291291,0.475020475020475,14.539994539994542,0.0,0.0,0.0,3.3087633087633086,2.4843024843024843
2024-08-05,46.256275922287706,32.89674743505785,0.47478716437459073,14.581969002401221,0.0,0.0,0.0,3.307138179436804,2.483082296441825
2024-08-06,46.22188250709762,32.91111596418432,0.4749945402926403,14.599257479799082,0.0,0.0,0.0,3.3085826599694257,2.484166848656912
2024-08-07,46.167285433500766,32.91111596418432,0.4749945402926403,14.653854553395936,0.0,0.0,0.0,3.3085826599694257,2.484166848656912
2024-08-08,46.10722865254422,32.91111596418432,0.4749945402926403,14.713911334352478,0.0,0.0,0.0,3.3085826599694257,2.484166848656912
2024-08-09,46.05643796735986,32.90213416298237,0.5403635172752579,14.709895748048687,0.0,0.0,0.0,3.307679711806124,2.4834888925277006
2024-08-12,45.99934504966707,32.90033839100535,0.6003711385219954,14.709092893788888,0.0,0.0,0.0,3.307499181312084,2.4833533457046175
2024-08-13,45.99934504966707,32.82938543827093,0.6713240912564131,14.709092893788888,0.0,0.0,0.0,3.307499181312084,2.4833533457046175
2024-08-14,45.99934504966707,32.785722082742055,0.7149874467852855,14.709092893788888,0.0,0.0,0.0,3.307499181312084,2.4833533457046175
2024-08-15,45.99934504966707,32.70385329112543,0.7968562384019212,14.709092893788888,0.0,0.0,0.0,3.307499181312084,2.4833533457046175
2024-08-16,45.928392096932654,32.70385329112543,0.8678091911363388,14.709092893788888,0.0,0.0,0.0,3.307499181312084,2.4833533457046175
2024-08-19,44.44503171247357,31.612050739957713,0.8985200845665962,14.244186046511627,0.0,0.0,3.192389006342495,3.2029598308668077,2.404862579281184
2024-08-20,44.37632135306554,31.612050739957713,0.8985200845665962,14.244186046511627,0.0,0.0,3.2610993657505283,3.2029598308668077,2.404862579281184
2024-08-21,44.37632135306554,31.543340380549683,0.96723044397463,14.244186046511627,0.0,0.0,3.2610993657505283,3.2029598308668077,2.404862579281184
