date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,CMB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,TRADEGO MARKETS LIMITED,CHINA SECURITIES DEPOSITORY AND CLEARING,VICTORY SECURITIES CO LTD,AAA SECURITIES CO. LTD
2024-12-30,54.542749625925346,2.841769807364421,2.64180771110911,0.26899906105030097,1.1387218415045808,0.0,0.6874284281479826,0.0,0.2508002635259412,0.060703508689559184
2025-01-03,87.13098494437831,4.621570355841243,4.217332634146838,0.3253772689086102,1.7588533689512371,0.0,1.4282261323760976,0.0,0.3926218827305488,0.12503341266712067
2025-01-06,87.07072712318814,4.656947311824248,4.214416022152493,0.324891395772055,1.7449857817096446,0.0,1.4707350686659422,0.0,0.39235035430446685,0.12494694238300648
2025-01-07,87.04072875451084,4.721315062779299,4.2128010598630015,0.2928363985385749,1.7439282544728323,0.0,1.4712713969383904,0.0,0.392215178327787,0.12490389456927449
2025-01-08,87.02648889649487,4.754468460242141,4.211720770307516,0.2717355898549239,1.7452724293904778,0.0,1.473279381462389,0.0,0.3921510119480816,0.12488346029959686
2025-01-09,87.0223482984027,4.767081952416204,4.211487794470688,0.24962794353208068,1.7456782129641257,0.0,1.4870918065298677,0.0,0.3921323539538031,0.12455163773052733
2025-01-10,87.01806631346447,4.775939012038936,4.211280565779942,0.24782340429618396,1.743441608480419,0.0,1.487018633318137,0.0,0.3918849535267003,0.12454550909521442
2025-01-13,86.9985078227494,4.777146095547717,4.210203706746355,0.27083048374357693,1.7346443253269592,0.0,1.4923531780154011,0.0,0.3917968720678764,0.12451751580271275
2025-01-14,87.01123018982659,4.777844689210183,4.210265466111868,0.26132951863442844,1.754839350088,0.0,1.468100894191268,0.0,0.39185416711523857,0.12453572482242158
2025-01-15,87.00575866243983,4.777544243991679,4.209968130112478,0.2777669280162438,1.7559996933134072,0.0,1.456604922335452,0.0,0.39182952614875294,0.12452789364215314
2025-01-16,86.99456260381201,4.7769294609442685,4.209426383787514,0.2908599869960351,1.7547963978787922,0.0,1.457134192598582,0.0,0.39177910481556394,0.12451186916722812
2025-01-17,86.97724981817785,4.775978804336872,4.208588665952698,0.32213558821166277,1.7457506680318597,0.0,1.4540430859785494,0.0,0.3917662792471213,0.12448709006339356
2025-01-20,86.95210047333487,4.774597837036064,4.206883332093598,0.3263080353845396,1.748306693396669,0.0,1.4766763865294448,0.0,0.39165300059925384,0.12347424162557122
2025-01-21,86.98203777157954,4.776241714051889,4.208331747029038,0.4219569426330608,1.761807530618409,0.0,1.3349060090926572,0.0,0.3918529912982447,0.122865293697172
2025-01-22,86.97098944362926,4.775635042994525,4.207764642197614,0.4372107039675316,1.7533438304027105,0.0,1.3404034305573318,0.0,0.3918032187191345,0.1228496875318849
2025-01-23,86.97659824396739,4.775943025962354,4.208068573880587,0.44863873116516617,1.7556065868459603,0.0,1.320458741717632,0.0,0.3918284862944454,0.12285761016647115
2025-01-24,86.97368044442268,4.775782807643082,4.208578803093569,0.4449432872208908,1.7535283606627194,0.0,1.3288826063522654,0.0,0.3917502019363508,0.12285348866843324
2025-01-27,54.35795649743847,3.3236358534943937,2.630333019433261,0.28207628034152304,1.0944572705050317,0.0,0.8213213173815613,0.0,0.24484120168200207,0.0767825916814526
2025-02-03,86.51811341169426,5.290020490842986,4.186501921560837,0.44306626948465183,1.7418810581419895,0.0,1.3085086452612489,0.0,0.3896982193577711,0.12220998365626144
2025-02-04,85.99542462733318,5.258061467806428,4.161306283890338,0.46657099731664836,1.7477492833042851,0.0,1.8603005757782767,0.0,0.3876659395713624,0.12292082499949247
2025-02-05,86.0143157783634,5.258894433033162,4.1621560028006215,0.4598126358852118,1.7604054576492438,0.0,1.8820326511808623,0.0,0.33943521330407717,0.12294782778341837
2025-02-06,85.99412305012105,5.257659854519335,4.16114669166618,0.46021993870681416,1.7603142150085775,0.0,1.904261757973441,0.0,0.3393555274639224,0.12291896454069005
2025-02-07,85.9808049180887,5.256845587152682,4.1605022441262784,0.46266011056138034,1.7595586199620237,0.0,1.9174578197917298,0.0,0.339270772554162,0.12289992776304795
2025-02-10,85.99456890511237,5.257687113985514,4.160717421270543,0.46179706113498015,1.7563301453435252,0.0,1.9374409236381764,0.0,0.30950492357572784,0.1219535059391615
2025-02-11,85.99963702281961,5.257996977474578,4.160737198833978,0.4579596659401605,1.755145451443577,0.0,1.9370398258312413,0.0,0.30952316434841404,0.12196069330844284
