date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA MERCHANTS BANK CO LTD
2024-03-04,41.440903679382195,58.55909632061781,0.0,0.0,0.0
2024-03-08,37.317370845882344,52.73223602224345,0.0,9.950393131874202,0.0
2024-03-12,37.29194836677923,52.764085719662155,0.0,9.943965913558614,0.0
2024-03-13,37.294014868332646,52.76234691479955,0.0,9.943638216867804,0.0
2024-03-15,26.06595517557928,36.83494369114288,30.15715530977459,6.941945823503243,0.0
2024-03-18,26.067656091354515,36.83409627183893,30.156461518689248,6.941786118117313,0.0
2024-03-21,26.113551252600143,36.8112306801593,30.137741218603697,6.937476848636864,0.0
2024-03-28,26.093971556824968,36.867087831298356,30.108251963548117,6.9306886483285615,0.0
2024-04-24,26.7262654770769,35.33728787558297,30.83781758848594,7.098629058854189,0.0
2024-05-27,26.731441119659742,35.33211223300013,30.83781758848594,7.098629058854189,0.0
2024-06-05,26.730434958369358,35.33454630773299,30.83665686474498,7.098361869152674,0.0
2024-06-14,57.91236462904749,20.29693366069429,17.7132479146717,4.077453795586526,0.0
2024-07-23,57.134126885862926,20.02417947517891,17.475213806241104,5.366479832717062,0.0
2024-08-02,55.55654472325546,19.487607634201048,16.9926898386735,5.21830109399231,2.7448567098776757
2024-11-18,55.55164777009439,19.494704285302458,16.99119204202983,5.217841134213225,2.744614768360091
2024-11-27,55.55242550763116,19.493926547765685,16.99119204202983,5.217841134213225,2.744614768360091
