date,UBS SECURITIES HONG KONG LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,UOB KAY HIAN (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CITIBANK N.A.
2024-03-01,0.0,74.10388021456131,0.0,0.0,25.896119785438685,0.0,0.0,0.0,0.0
2024-03-04,0.0,66.71246278450951,0.0,0.0,23.31355808388342,0.0,9.973979131607056,0.0,0.0
2024-03-05,0.0,44.31775088104114,19.844416149374645,0.0,15.475706315884565,0.0,6.626893003403994,7.468898006166637,6.266335644129015
2024-03-06,0.0,38.24672369188807,17.127992534579505,13.688506314614237,13.344213551762941,0.0,5.723357945082589,6.447310434230778,5.42189552784188
2024-03-07,0.0,38.24244665044162,17.14359918305831,13.680628055045164,13.345711694433465,0.0,5.7066071028054495,6.444289854061286,5.436717460154699
2024-03-08,0.0,38.237059641950445,17.14025156196519,13.678809776277454,13.357872734840912,0.0,5.705354200762993,6.444188365040153,5.436463719162855
2024-03-11,0.0,38.2514287845091,17.15200009660092,13.675467949979325,13.34131894138004,0.0,5.701407973802938,6.443174898503515,5.435201355224162
2024-03-12,0.0,38.23516625753457,17.144520668629532,13.66973488382184,13.33540471299168,0.0,5.73425478132122,6.447447427313303,5.433471268387855
2024-03-13,0.0,38.233859752048616,17.160958890651422,13.669376402628158,13.30726248262464,0.0,5.739678710842229,6.454928519774798,5.43393524143014
2024-03-14,0.0,38.258285159609244,17.172066140380995,13.681115710703942,13.316721492655265,0.0,5.742621033127244,6.459168693939271,5.370021769584036
2024-03-15,0.0,38.26035131186321,17.17313763986767,13.682101328669097,13.303879667038712,0.0,5.743034744302341,6.466534622705907,5.37096068555306
2024-03-18,69.28010288438324,11.754301913733647,5.276007105607024,4.202839519798963,4.0862165860717,0.0,1.7631284508297578,1.9871649013762431,1.6502386381994174
2024-03-19,69.2799912588019,11.754070972141296,5.275438917373102,4.20283274809417,4.08621000227227,0.0,1.7630832094775288,1.9881157122590494,1.6502571795806875
2024-03-20,69.28334605831222,11.754428135689334,5.268519851607664,4.203036265170155,4.086407872033302,0.0,1.7631685846425704,1.9907561412626156,1.650337091282138
2024-03-21,69.94016628562436,10.162031644856983,5.623242086491117,4.248135790631467,4.153793257274692,0.0,2.18648717498347,1.982472783956742,1.703670976181166
2024-03-22,70.00381039656332,9.956013782841824,5.676080657202385,4.243091256685226,4.227908235349771,0.0,2.1468706509537667,1.9897638558544348,1.7564611645492705
2024-03-25,67.99416257976827,9.68550835716945,5.470664181511029,4.135546493834501,4.1169971144144,2.867004396730617,2.082389359182899,1.9144215877441404,1.7333059296446969
2024-03-26,67.97654529201384,9.679754893243356,5.454399428838455,4.1361801262341835,4.152487206703914,2.8662615558817253,2.091623247212469,1.9089764599160675,1.7337717899559975
2024-03-27,68.00214850840119,9.683192727899748,5.448798542386069,4.141719583968417,4.163412300646011,2.867341126997362,2.0478939699549956,1.9049317278231424,1.7405615119230573
2024-03-28,68.00210931612767,9.6825999898939,5.452118319651517,4.1367706733213865,4.16613829953347,2.8672272047883656,2.0484782547192255,1.8999052745115572,1.7446526674529081
2024-04-02,67.89732844228112,9.679186881871187,5.483964567621933,4.157500733907294,4.212058047355673,2.8648861948346647,2.048042666354657,1.8992624550115338,1.757770010761937
2024-04-03,67.85303216344019,9.672664612079666,5.536739218836118,4.153775486458368,4.174626910289801,2.86301714047501,2.080787785572332,1.9036274800071153,1.7617292028413973
2024-04-05,67.91211612909686,9.672569870289276,5.5070422994024515,4.152032746717603,4.138874482446479,2.8655101522242097,2.0821634058782603,1.910540917009521,1.7591499969353437
2024-04-08,67.92379962617905,9.6740261485467,5.519853728714044,4.152747056111072,4.119577705152104,2.8660031302288838,2.0721120435393217,1.9123863679179411,1.759494193610888
2024-04-09,67.92625536500275,9.67416812293759,5.513612008283057,4.152897195859243,4.125316020526378,2.8661067486247105,2.068467635563075,1.9124555089476751,1.7607213942555329
2024-04-10,67.9373563905981,9.675541331707285,5.457625147203591,4.153575893924055,4.151406280175055,2.86657514960169,2.0771599401239724,1.9155943737425802,1.765165492923674
2024-04-11,67.95928112474783,9.66806171279085,5.436872542507833,4.15482486618613,4.133599861215825,2.8737367846043185,2.113544833816754,1.9180835343722946,1.7419947397581654
