date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,GUOYUAN SECURITIES BROKERAGE (HONG KONG),BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,CHINA MERCHANTS BANK CO LTD,BOCI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,45.79253719836559,25.931019196669492,0.0,0.0,0.0,18.76002235756688,5.409182021432426,4.107239225965616,0.0
2024-03-04,0.0,45.944148295240936,25.917061085994657,0.0,0.0,0.0,18.716104840031235,5.410694145885347,4.0119916328478205,0.0
2024-03-05,0.0,45.86393078159437,26.03399324369845,0.0,0.0,0.0,18.694262918298797,5.402153932032761,4.00565912437562,0.0
2024-03-06,0.0,45.849931682158456,26.03977830379308,0.0,0.0,0.0,18.704559013143967,5.400958374227816,4.004772626676674,0.0
2024-03-07,0.0,32.23269590495236,18.842975937339038,15.093531228553095,14.404431706030026,0.0,12.81867270229187,3.7942688613236917,2.8134236595099242,0.0
2024-03-08,0.0,32.09111823227405,18.975103562075603,15.055152656188438,14.400051347951646,0.0,12.87289106639236,3.7931150319607956,2.8125681031571053,0.0
2024-03-11,39.14070968665375,19.40623294860299,11.72068602919129,9.152377623618408,8.754126294546365,0.0,7.8101189294623365,2.3059228913270795,1.7098255965977742,0.0
2024-03-12,39.166937190197594,19.33167380077714,11.764716087145565,9.137955794363267,8.759992281143223,0.0,7.819463288686916,2.307468049840767,1.711793507845529,0.0
2024-03-13,39.211109236789255,19.324139108328232,11.738911907197561,9.123869071954015,8.760676558078556,0.0,7.820485222912679,2.308881672071386,1.7119272226683142,0.0
2024-03-14,39.14401529889815,19.30320648761084,11.608147395225227,9.090982512239625,8.74486100398621,0.0,8.095237129859877,2.30471347310463,1.7088366990754413,0.0
2024-03-15,39.14610373761814,19.295207448042824,11.612460369310147,9.093519567400588,8.745327565890557,0.0,8.093617005838368,2.3048364357802513,1.7089278701191182,0.0
2024-03-18,39.16314086583175,19.41035691973702,11.468882937592937,9.097477239914335,8.74913369862879,0.0,8.09549716589902,2.3058395443943542,1.709671628001797,0.0
2024-03-19,38.84210869322179,19.337574598622652,11.429843485408648,9.018423051923321,8.677414389665595,0.0,8.02547094977662,2.2869378765949593,1.6956569298684845,0.6865700249179311
2024-03-20,37.434395430295254,18.346554308567335,11.14798830965973,8.690757909924681,8.362139069157712,3.7776980601226535,7.742908328030458,2.2038468727950495,1.6340488565382099,0.659662854908917
2024-03-21,37.34083238788507,18.533627269444693,11.144324792686893,8.667764250038068,8.340014855864277,3.769268716077081,7.7165516813879345,2.1980160228323142,1.629725555390626,0.6598744683930344
2024-03-22,37.313523021939574,18.575217498999237,11.159640249251378,8.661425046257747,8.333915352903984,3.76651204644409,7.705432773391788,2.196408495091688,1.6285336491384952,0.6593918665820131
2024-03-25,37.32578538742625,18.54650268928201,11.163307648530605,8.66427145557402,8.336654132512981,3.7677498375606326,7.70796501439312,2.199086436663169,1.6290688351299476,0.6596085629272554
2024-03-26,37.347527087320906,18.691574736575784,11.075078045711443,8.70846374029837,8.341510106215697,3.769944494294472,7.5747409913941715,2.201150280503584,1.6300177428449092,0.6599927748406621
2024-03-27,37.30138538049833,18.756841359956894,11.102838074501134,8.697704704503568,8.331204430209931,3.7652868452569233,7.557172240412764,2.198430827869466,1.6280039066776553,0.6611322301133321
2024-03-28,37.234565806684934,18.811832895005892,11.182468136672615,8.682124132479732,8.316280385869478,3.7526878632674716,7.540512586814666,2.194492684299783,1.625087593353067,0.6599479155523623
2024-04-02,37.192471913421095,18.88685391777688,11.173724587310996,8.685173317184201,8.306878782511662,3.7484454278060504,7.531987993466862,2.192011797553291,1.6232504223745159,0.6592018405944539
2024-04-03,37.17377795749067,18.91320716335861,11.191876019880699,8.674184138885197,8.302703517521447,3.7465613563789586,7.525474774256197,2.19091003233484,1.6224345322145246,0.6588705076788571
2024-04-05,37.1228635618287,19.01531692922499,11.217791868247378,8.653354398792215,8.291331869139663,3.7414299460743976,7.493767143308198,2.187909291856602,1.6202123939695694,0.6560225975582838
2024-04-08,37.10698140277761,19.058131958006285,11.215715130022307,8.638762122270574,8.287784614460032,3.7398292617580307,7.490561108260185,2.1869732454413042,1.6195192235492781,0.6557419334543907
2024-04-09,37.10569988081831,19.05427831717697,11.213447261489847,8.651791811044273,8.28610878677423,3.739073051297869,7.488268773013744,2.186531029519522,1.619191749407663,0.6556093394575696
2024-04-10,37.07828809135916,19.108742393598817,11.221437139215688,8.644766151553677,8.27938007899793,3.7368138273861033,7.4763598618544505,2.181258612018132,1.6178768899970613,0.655076954018983
2024-04-11,37.02311385896867,19.1968969820978,11.228280688671608,8.62135271476296,8.271827347006694,3.7330167940881585,7.475362442407077,2.1792687937536055,1.6164010076932693,0.6544793705501565
2024-04-12,36.89336169554935,19.465014561881876,11.220091028005157,8.576761399422633,8.246123166980933,3.7214166806320734,7.452133226670729,2.168627069677655,1.6113781438504202,0.6450930273291668
