date,KINGSWAY FINANCIAL SERVICES GROUP LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIBANK N.A.,EVERBRIGHT SECURITIES INVESTMENT,MIB SECURITIES (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,59.846290933392744,40.15370906660726
2024-04-19,0.0,0.0,0.0,0.0,0.0,0.0,59.95982591228658,40.040174087713424
2024-04-30,0.0,0.0,0.0,0.0,4.272578619333127,0.0,3.8199398061473566,2.5508922435244212
2024-05-02,0.0,0.0,0.0,0.0,28.43268008723895,29.457267035915457,25.291450269091364,16.818602607754222
2024-05-07,0.0,0.0,0.0,0.0,28.4505361656697,29.475766567754697,25.24453236619409,16.829164900381517
2024-05-09,0.0,0.0,0.0,0.0,28.984546099509544,28.955242296184338,25.569881859403438,16.49032974490268
2024-05-10,66.44438751614047,0.0,0.0,0.0,9.725941969357047,9.716108898670207,8.580130469322112,5.533431146510166
2024-05-13,66.46261760861407,0.0,0.0,0.0,9.728610438856462,9.718774670307626,8.58248456690264,5.507512715319209
2024-05-14,66.57051439314314,0.0,0.0,0.0,9.706300857623189,9.696487644389812,8.531814179060152,5.494882925783702
2024-05-16,50.072544697050624,0.0,24.796496100843925,0.0,7.300307853667537,7.292927134824367,6.40491012032514,4.132814093288402
2024-05-17,50.09313880692976,0.0,24.79803738372217,0.0,7.3007616209843,7.293380443375684,6.381610767195715,4.133070977792368
2024-05-20,50.09703117624319,0.0,24.799964256783927,0.0,7.301328909462821,7.293947158317193,6.374336370859178,4.1333921283336865
2024-05-22,50.111827697903934,0.0,24.807289106175105,0.0,7.303485409934497,7.296101478535105,6.346683351760777,4.134612955690582
2024-05-23,50.092749603264785,0.0,24.797844712884135,0.0,7.300704896984812,7.293323776724997,6.382338144658303,4.133038865482968
2024-05-24,50.083605057863245,0.0,24.793317809916473,0.0,7.317627364197615,7.291992363877177,6.381173034310117,4.132284369835372
2024-05-29,50.09936688819428,0.0,24.80073199302975,0.0,7.428719070477641,7.294287229557909,6.243309976124749,4.1335848426156705
2024-05-30,50.10034016578954,0.0,24.80121379546148,0.0,7.428863387787057,7.29442893526748,6.241488570157494,4.133665145536951
2024-06-03,50.11293915657854,0.0,24.79495182363235,0.0,7.426987700022723,7.292587190388421,6.239912678512816,4.132621450865154
2024-06-05,50.12843687565408,0.0,24.787249120940356,0.0,7.424680461091296,7.290321703793305,6.2379742116616415,4.131337626859325
2024-06-11,50.14172990025551,0.0,24.76907048079516,0.0,7.419235298796896,7.284975078431639,6.233399364010112,4.151589877710669
2024-06-12,50.14211793557449,0.0,24.76907048079516,0.0,7.419235298796896,7.284975078431639,6.233011328691138,4.151589877710669
2024-06-13,50.15101344863506,0.0,24.765041696006147,0.0,7.41779611535604,7.283561938791543,6.231802249004398,4.150784552206814
2024-06-18,50.160681280873206,0.0,24.760238704309597,0.0,7.416357490152574,7.282149347286842,6.230593638301298,4.149979539076485
2024-06-19,50.164740652252746,0.0,24.75822200330063,0.0,7.415753433955386,7.281556222232134,6.230086161591284,4.149641526667818
2024-06-24,50.20352123737809,0.0,24.75764586335086,0.0,7.415580864543478,7.28138677567674,6.192320297243786,4.1495449618070435
2024-06-26,50.21973910464311,0.0,24.749582718638955,0.0,7.413165735820673,7.27901535168919,6.190303563708832,4.148193525499235
2024-07-04,50.20085924737372,0.0,24.740278238019663,0.0,7.4479732885299965,7.276278842632157,6.187976350349687,4.146634033094783
2024-07-11,36.33727026253118,25.479931861498994,17.907944010981655,2.136306570849787,5.391123226791905,5.266844328448312,4.479090047299763,3.001489691598407
2024-08-09,36.33727026253118,23.93696585497584,17.907944010981655,3.679272577372942,5.391123226791905,5.266844328448312,4.479090047299763,3.001489691598407
2024-08-12,36.28123086931244,23.884007885867106,17.868324605937577,3.6711325814906055,5.371638142493689,5.255192000373971,4.46918054106588,3.1992933734587328
2024-08-16,36.280723086832054,23.88367361163012,17.868074525607575,3.671081201293094,5.3715629624715575,5.255118450101147,4.469117991600879,3.200648170463569
2024-08-19,36.29489714143518,23.883606757905536,17.868024510381588,3.671070925426176,5.371547926719658,5.255103740293635,4.469105481917982,3.1866435159202435
2024-08-20,36.32876994517273,23.881400794938056,17.866374164988972,3.670731854087639,5.343062988527109,5.254618362839598,4.468692701667041,3.186349187778856
2024-08-21,36.3330718399627,23.879997212478806,17.865324103914087,3.6705161140275284,5.342748960486887,5.2543095329586595,4.468430063024287,3.185602173147047
2024-08-22,36.34569687731612,23.872848186849023,17.85997570882146,3.669417260726156,5.341149485875891,5.252736534721528,4.46709233585618,3.191083609833647
2024-08-23,36.399199323614724,23.86390123611479,17.8183218630689,3.6680420542489856,5.339147755670083,5.250767939494507,4.465418180567236,3.1952016472207765
2024-08-26,36.43919728922861,23.848893445475298,17.80711608236179,3.665735255932048,5.335790014162623,5.247465779250345,4.462609919650102,3.1931922139391853
2024-08-27,36.47247736280166,23.83630148141547,17.797714112990302,3.6637997864017295,5.332972773344188,5.24469517269585,4.4602537087068255,3.1917856016439745
2024-08-28,36.51038951210664,23.82731535923118,17.791004496830045,3.6624185590093403,5.3309622791832485,5.2427179585849295,4.45857222364797,3.17661961140664
2024-08-29,36.62128352711172,23.806639756902545,17.775566763772098,3.659240579931737,5.326336459847263,5.238168711219095,4.454703400624484,3.1180608005910586
2024-08-30,36.646030639716834,23.797344119067002,17.76862604334096,3.657811777902912,5.324256716749264,5.236123394460486,4.4529639989323595,3.1168433098301844
2024-09-04,36.67173866759382,23.808964801169285,17.777302791200334,3.65959795486654,5.326856649515993,5.2386802901002225,4.4551384633929985,3.0617203821608063
2024-09-05,32.731820570527184,25.290220867874968,18.88330373786208,3.887276970633052,5.658262856987036,5.564600674545553,4.732311407787062,3.252202913783072
2024-09-09,26.933287659501588,27.470243863491046,20.511048967799304,4.222361161102637,6.146006447994612,6.04427056336568,5.140237765776949,3.5325435709681843
2024-09-10,26.933287659501588,25.404297117719366,20.511048967799304,6.28830790687432,6.146006447994612,6.04427056336568,5.140237765776949,3.5325435709681843
2024-09-12,26.976780701765673,25.38917518143898,20.498839742954477,6.2845647845577055,6.142348030780596,6.040672704550808,5.1371780334962285,3.530440820455531
2024-09-13,27.07743856318733,25.35417781893451,20.47058339668571,6.275901911881607,6.133881194850496,6.032346021588434,5.130096760449608,3.5255743324223014
2024-09-16,27.080484469622974,25.353118798901924,20.469728359774216,6.275639773393241,6.133624988433184,6.032094056199299,5.129882481158943,3.5254270725162193
2024-09-17,27.11680864469909,25.340824352524294,20.459802007924566,6.272596537675722,6.130650619712755,6.029168922707558,5.127394855648709,3.5227540591073083
2024-09-19,27.132253360226706,25.3354543650679,20.45546636048806,6.2712673084344885,6.129351470305878,6.027891278340625,5.126308306700033,3.522007550436311
2024-09-20,27.15213464074274,25.328541824218746,20.449885278547793,6.269556252030255,6.12767913430563,6.026246624801147,5.124909641609413,3.521046603744272
2024-09-23,27.160551677743783,25.325615296822708,20.447522444164004,6.268831850749679,6.126971125886309,6.025550336164985,5.124317495856511,3.520639772612022
2024-09-24,27.188127223354396,25.316027529811556,20.43978142469213,6.2664585974836635,6.1246515782287085,6.023269184372225,5.122377532634864,3.519306929422454
2024-09-25,27.25195236336022,25.304986223138968,20.430866839069843,6.263725550561336,6.121980378876506,6.020642201834862,5.1201434640724095,3.485702979085853
2024-09-26,27.374722346904214,25.26261548736002,20.3966573416633,6.253237551952904,6.111729718757984,6.010561222627678,5.111570282330538,3.478906048403363
2024-09-27,27.389135251440244,25.257601975851134,20.392609507567247,6.251996560953765,6.110516810803164,6.009368392143457,5.110555861774924,3.4782156394660646
2024-09-30,20.27798184705074,18.69986728914378,15.097992748299644,4.62876507808612,4.524018295139465,4.449131454842761,3.7836813043581294,2.5730194089627223
2024-10-09,27.379670178119685,25.248873512816132,20.385562277254397,6.2498360106002755,6.10840515269093,6.044729268700071,5.108789767829407,3.4741338319891
2024-10-10,27.379845397804033,25.249035096196,20.38569273725498,6.2498760072213395,6.1084442442072175,6.044767952714434,5.108822462179803,3.473516102422195
2024-10-22,27.379845397804033,25.233036027981733,20.38569273725498,6.2658750754356065,6.1084442442072175,6.044767952714434,5.108822462179803,3.473516102422195
2024-11-12,27.378443703121132,25.231744237910604,20.384649104002058,6.265554297737655,6.108131526085785,6.044458494462366,5.11368035882153,3.4733382778588715
2024-11-18,27.35691069959032,25.21189960234056,20.368616683536874,6.2606264718802525,6.1033275124192645,6.043221405958561,5.109658475824237,3.5457391484499343
2024-11-26,27.358397663152186,25.213269975495837,20.369723803823465,6.260966763353233,6.103659254029886,6.043549880548606,5.109936207328739,3.5404964522680418
2024-11-27,27.35524899040663,25.210368185084874,20.367379456213445,6.260246189887954,6.102956785055716,6.0546830043043585,5.109348105749631,3.5397692832973995
2024-12-02,27.35498663372572,25.210765781059084,20.367184118270266,6.260186149585905,6.102898253273155,6.0552643171947,5.1092991033950526,3.5394156434961133
