date,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,GOLDEN EAGLE BROKERAGE LTD,BNP PARIBAS,HANTEC SECURITIES CO LTD,CITIBANK N.A.,CCB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,TOTAL_CCASS_PCT
2024-03-01,37.22183868787223,0.0,0.0,3.087014433057274,6.8216229632438825,5.138568411814633,0.0,1.4513408833572004,2.143377043661202,55.86376242300643
2024-03-04,37.24118922068426,0.0,0.0,3.0949074135463923,6.874633238657898,5.096913843813995,0.0,1.4511371935381263,2.130595507514307,55.889376417754974
2024-03-05,37.243350471509544,0.0,0.0,3.1026476266712053,6.899839853768308,5.095182480351866,0.0,1.4481836911615529,2.1285586093235667,55.917762732786045
2024-03-06,37.24701688825288,0.0,0.0,3.1008653407543076,6.923467872780896,5.096302774356774,0.0,1.4475726217043308,2.1194944123747725,55.934719910223954
2024-03-07,37.24630397388612,0.0,0.0,3.0998468916589377,6.952137214815565,5.096862921359227,0.0,1.4455357235135906,2.116235375269588,55.95692210050303
2024-03-08,37.2447253777883,0.0,0.0,3.099286744656484,6.9741866377303285,5.097321223452143,0.0,1.4455357235135906,2.1188833429175506,55.97993905005839
2024-03-11,37.24009143440436,0.0,0.0,3.0954166380940773,6.998120191471526,5.090548536967932,0.0,1.4454338786040535,2.1006021816556566,55.97021286119761
2024-03-12,37.23988774458529,0.0,0.0,3.095365715639309,7.0207297613887425,5.0929418923420515,0.0,1.4454338786040535,2.093982262535751,55.9883412550952
2024-03-13,37.23958220985668,0.0,0.0,3.092870515355652,7.0564773246362344,5.093960341437422,0.0,1.4454848010588222,2.084561608403577,56.01293680074838
2024-03-14,37.22909218417436,0.0,0.0,3.098930287473104,7.088762160959468,5.094113108801728,0.0,1.445077421420674,2.060729899571916,56.01670506240125
2024-03-15,37.220893668956634,0.0,0.0,3.0993885895660207,7.1154455272581645,5.0971684560878385,0.0,1.4452301887849794,2.050138028980067,56.028264459633704
2024-03-18,37.3621016360297,0.0,0.0,3.0950601809106977,7.142841807923621,5.098848897095198,0.0,1.445179266330211,2.049119579884697,56.19315136817412
2024-03-19,37.33986166128919,0.0,0.0,3.097606303649123,7.166367982026671,5.099459966552421,0.0,1.4468597073375717,2.044791171229374,56.19494679208435
2024-03-20,37.335787864907715,0.0,0.0,3.1004579611161596,7.188060947758054,5.0996636563714945,0.0,1.4424294537727116,2.037458337742709,56.203858221668845
2024-03-21,37.33166314607146,0.0,0.0,3.095874940186994,7.2043561332839765,5.099459966552421,0.0,1.4424803762274803,2.037458337742709,56.21129290006505
2024-03-22,37.32407570031096,0.0,0.0,3.094703723727318,7.215813685606891,5.0987470521856615,0.0,1.4423785313179431,2.0355232844615054,56.21124197761027
2024-03-25,37.32030743865809,0.0,0.0,3.0904771599815324,7.229155368756239,5.0987470521856615,0.0,1.4423785313179431,2.0331808515421543,56.21424640244162
