date,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,CMB WING LUNG BANK LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,2.0754615642833167,0.0,0.0,0.0,2.0754615642833167
2024-03-22,3.905337361530715,0.0,2.0754615642833167,0.0,0.0,0.0,5.980798925814032
2024-04-16,3.90802282645183,0.0,2.0746559248069825,0.0,0.0,0.0,5.9826787512588115
2024-05-08,3.9050688150386037,0.0,2.0759986572675393,0.0,0.0,0.0,5.981067472306143
2024-05-10,3.9050688150386037,0.0,2.0759986572675393,0.0,1.6366565961732125,0.0,7.617724068479355
2024-05-30,3.9050688150386037,0.0,2.0759986572675393,1.8486740516951996,1.6366565961732125,0.0,9.466398120174556
2024-06-11,3.9050688150386037,2.908378650553877,2.0759986572675393,1.8486740516951996,1.6366565961732125,0.0,12.374776770728433
2024-06-24,3.910171198388721,2.908378650553877,2.0759986572675393,1.8486740516951996,1.6366565961732125,0.0,12.37987915407855
2024-07-05,3.9099026518966093,2.908378650553877,2.0759986572675393,1.8486740516951996,1.6366565961732125,0.0,12.37961060758644
2024-07-15,3.9099026518966093,2.908378650553877,2.0746559248069825,1.8486740516951996,1.6366565961732125,1.5088284659281639,13.887096341054045
2024-07-25,3.9099026518966093,2.908378650553877,2.0746559248069825,1.8486740516951996,1.6366565961732125,1.5093655589123867,13.887633434038268
2024-07-26,3.915273581738839,2.908378650553877,2.0746559248069825,1.8486740516951996,1.6366565961732125,1.5093655589123867,13.893004363880495
2024-08-29,3.915273581738839,2.908378650553877,2.0746559248069825,1.8384692849949646,1.6366565961732125,1.5093655589123867,13.882799597180263
2024-09-03,3.915273581738839,2.9124068479355487,2.0746559248069825,1.8384692849949646,1.6366565961732125,1.5093655589123867,13.886827794561935
2024-09-05,3.915273581738839,2.9124068479355487,2.0746559248069825,1.8382007385028531,1.6366565961732125,1.5093655589123867,13.88655924806982
2024-09-13,3.9198388721047333,2.9124068479355487,2.0746559248069825,1.8382007385028531,1.6366565961732125,1.5090970124202752,13.890855991943605
2024-09-17,3.9198388721047333,2.9124068479355487,2.0746559248069825,1.8382007385028531,1.6366565961732125,1.5093655589123867,13.891124538435717
2024-09-26,3.9198388721047333,2.9124068479355487,2.0746559248069825,1.8384692849949646,1.6366565961732125,1.5093655589123867,13.891393084927827
