date,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS BANK CO LTD,LONG BRIDGE HK LTD,REALINK FINANCIAL TRADE LTD,EVERBRIGHT SECURITIES INVESTMENT,HAITONG INTERNATIONAL SECURITIES CO LTD,HANG SENG BANK LTD,FUTU SECURITIES INTERNATIONAL
2024-03-04,0.0,0.0,0.0,64.01236541946489,0.0,0.0,0.0,35.98763458053512
2024-03-05,0.0,0.0,0.0,41.15832762165867,35.702535983550376,0.0,0.0,23.139136394790953
2024-03-11,58.91833698893964,0.0,0.0,16.90852545451799,14.66719551916473,0.0,0.0,9.50594203737764
2024-03-13,58.88517590665116,0.0,0.0,16.899008807704295,14.658940362919513,0.0,0.0,9.556874922725026
2024-03-21,58.88351883237411,0.0,0.0,16.89853325655968,14.658527849029038,0.0,0.0,9.559420062037175
2024-04-08,58.93493153998217,0.0,0.0,16.913287798519004,14.671326584926808,0.0,0.0,9.480454076572016
2024-04-10,58.9864341055497,0.0,0.0,16.928068128130732,14.684147690163693,0.0,0.0,9.40135007615587
2024-04-11,58.986940788467045,0.0,0.0,16.92902258490895,14.684975627775307,0.0,0.0,9.399060998848698
2024-04-12,58.98860376832623,0.0,0.0,16.929499853660616,14.685389631593363,0.0,0.0,9.396506746419787
2024-04-16,59.05353320127524,0.0,0.0,16.94813434838311,14.701554008447564,0.0,0.0,9.296778441894084
2024-04-18,59.05519993809876,0.0,0.0,16.948612695368922,14.701968947573144,0.0,0.0,9.29421841895918
2024-05-17,51.14097494432692,13.401402420222885,0.0,14.67726090341755,12.731698925212658,0.0,0.0,8.048662806819982
2024-05-21,51.063228475345255,13.42272727712266,0.0,14.700615958256712,12.751958122657655,0.0,0.0,8.061470166617712
2024-05-22,50.99830800888549,13.405661969228664,0.0,14.681925975782988,12.73574561329785,0.0,0.0,8.178358432805013
2024-05-23,51.00454318729935,13.40730097839186,0.0,14.683721024118752,12.737302716841729,0.0,0.0,8.167132093348314
2024-05-27,50.60719533830515,13.380471737157752,0.0,14.654337549084861,12.711814203694097,0.0,0.0,8.646181171758146
2024-05-28,51.0901127063503,13.347248259560088,0.0,14.727494431942102,12.680250991072132,0.0,0.0,8.154893611075378
2024-05-30,51.09633188770045,13.34887301537006,0.0,14.72928720463047,12.681794553540515,0.0,0.0,8.143713338758499
2024-06-05,51.086381924175086,13.346273595906844,0.0,14.726418977792525,12.679325033937397,0.0,0.0,8.161600468188155
2024-06-06,51.07519284615356,13.343350458841027,0.0,14.723193557539341,12.676547973755772,0.0,0.0,8.181715163710292
2024-06-13,42.88105611864219,11.543073969488775,15.241320691172087,12.273391478981914,10.567288630415998,0.0,0.0,7.493869111299039
2024-06-17,42.975212769721956,11.568419828161797,15.274787024425235,12.3003409420701,10.590491895412093,0.0,0.0,7.290747540208824
2024-06-18,42.96504719869545,11.568419828161797,15.274787024425235,12.3003409420701,10.590491895412093,0.0,0.0,7.300913111235327
2024-06-21,42.96068000025655,11.567243951762073,15.273234412932943,12.299090669272502,10.589415420866192,0.0,0.0,7.310335544909738
2024-06-28,42.590110083353075,12.315938962319363,15.141490660105609,12.193001263628236,10.498073319378426,0.0,0.0,7.261385711215294
2024-07-05,42.588953037124696,12.316187179320753,15.141795823635546,12.193247002927599,10.498284898884275,0.0,0.0,7.26153205810713
2024-07-30,42.59272259227461,12.314946194355665,15.140270128979564,12.192018405474027,10.497227086630447,0.0,0.0,7.262815592285684
