date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,REALINK FINANCIAL TRADE LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,CMB WING LUNG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-15,0.0,0.0,72.12986198243414,0.0,27.87013801756587,0.0,0.0,0.0,0.0
2024-03-20,59.26034784608897,0.0,29.38545487073978,0.0,11.354197283171253,0.0,0.0,0.0,0.0
2024-03-28,59.12057931104822,0.0,29.341645630944186,0.0,11.537775058007599,0.0,0.0,0.0,0.0
2024-04-02,54.03015332991564,0.0,26.815258423824396,0.0,10.544344502959408,0.0,0.0,8.610243743300556,0.0
2024-04-09,40.868250939679825,24.360290650791622,20.282983533019884,0.0,7.9757115348177265,0.0,0.0,6.512763341690938,0.0
2024-04-10,36.21416213302923,21.59078926299263,17.97702783451605,11.35720116071533,7.088486969291035,0.0,0.0,5.77233263945573,0.0
2024-04-11,36.204264423959174,21.58879270963888,17.97211452488882,11.354097118917378,7.109976221990559,0.0,0.0,5.770755000605188,0.0
2024-04-15,36.19578497847208,21.583736371833755,17.967905253748356,11.351437861807565,7.131732109189278,0.0,0.0,5.769403424948962,0.0
2024-04-16,36.14921893578783,21.5559687964165,17.944789461578345,11.336834185155297,7.251207559968656,0.0,0.0,5.761981061093373,0.0
2024-04-18,36.1323155216285,21.54588920192184,17.936398458475075,11.331533069138718,7.294576996364402,0.0,0.0,5.759286752471467,0.0
2024-04-24,36.11542790819049,21.535819029480155,17.928015298988505,11.326236908420286,7.337905892525384,0.0,0.0,5.75659496239518,0.0
2024-04-26,35.051920510775346,20.90164399200118,17.40008089544453,10.992708069509598,7.197426466418941,0.0,0.0,5.587077897776887,2.8691421680735165
2024-04-30,35.04397219944142,20.859111334509954,17.39613528395799,10.990215382522232,7.256263251183867,0.0,0.0,5.585810981900914,2.8684915664836224
2024-05-07,32.77938623934615,19.51116908642918,16.29318542557065,10.212847189080843,6.829775274940876,6.465661996825498,0.0,5.224848786937171,2.68312600086963
