date,GRANSING SECURITIES CO LTD,ASTRUM CAPITAL MANAGEMENT LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CIS SECURITIES ASSET MANAGEMENT LTD,SORRENTO SECURITIES LTD,KINGSTON SECURITIES LTD,LUK FOOK SECURITIES (HK) LTD,SUNCORP SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,64.92268146258236,0.0,35.07731853741763
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,64.92427229057493,0.0,35.07572770942507
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,64.95610523036139,0.0,35.0438947696386
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,65.03582431716865,0.0,34.96417568283136
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,64.12294412889177,0.0,35.87705587110824
2024-06-04,0.0,0.0,0.0,0.0,0.0,0.0,64.11130745037707,0.0,35.88869254962293
2024-06-13,0.0,0.0,0.0,0.0,0.0,0.0,64.11518587390685,0.0,35.884814126093154
2024-06-18,0.0,0.0,0.0,0.0,0.0,0.0,64.11596161492369,0.0,35.88403838507631
2024-06-24,0.0,0.0,0.0,0.0,0.0,0.0,64.10045036033884,0.0,35.89954963966117
2024-06-25,0.0,76.48861412895846,0.0,0.0,0.0,0.0,15.052696111090851,0.0,8.458689759950685
2024-06-26,0.0,76.47558012004241,0.0,0.0,0.0,0.0,15.050131062978044,0.0,8.474288816979552
2024-06-27,0.0,76.46689324832316,0.0,0.0,0.0,0.0,15.04842151650979,0.0,8.484685235167055
