date,ASTRUM CAPITAL MANAGEMENT LTD,BLACK MARBLE SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-13,0.0,0.0,0.0,3.1340348704170755,0.0,0.0,3.1340348704170755
2024-03-14,0.0,0.0,0.0,3.133746382103734,0.0,0.0,3.133746382103734
2024-03-15,0.0,0.0,0.0,3.133746382103734,2.0972542797501026,0.0,5.2310006618538365
2024-03-19,0.0,0.0,4.574424464429585,3.133746382103734,2.0969945363707434,2.4262151138147696,12.231380496718831
2024-03-20,0.0,0.0,4.574424464429585,3.1330970236553353,2.0969945363707434,2.4262151138147696,12.230731138270432
2024-04-03,0.0,0.0,4.574424464429585,3.133385511968677,2.095494604936069,2.4262151138147696,12.2295196951491
2024-04-05,0.0,0.0,4.574424464429585,3.131653889439614,2.095494604936069,2.4262151138147696,12.227788072620037
2024-04-09,0.0,0.0,4.574424464429585,3.1316178716910095,2.095494604936069,2.4262151138147696,12.227752054871432
2024-04-10,0.0,0.0,4.5619567822203315,3.1316178716910095,2.095494604936069,2.4262151138147696,12.21528437266218
2024-04-15,0.0,0.0,4.5619567822203315,3.1315676546376667,2.095494604936069,2.4262151138147696,12.215234155608837
2024-04-16,0.0,0.0,4.5619567822203315,3.1315676546376667,2.114196128249949,2.4262151138147696,12.233935678922716
2024-04-17,0.0,0.0,4.5619567822203315,3.1315676546376667,2.132897651563829,2.4262151138147696,12.252637202236597
2024-04-18,0.0,0.0,4.5619567822203315,3.1315676546376667,3.0643374099467975,2.4262151138147696,13.184076960619565
2024-04-24,0.0,0.0,4.5619567822203315,3.1315676546376667,3.064005631070229,2.4262151138147696,13.183745181742998
2024-05-02,0.0,0.0,4.5619567822203315,3.1315389097036843,3.064005631070229,2.4262151138147696,13.183716436809014
2024-05-07,0.0,0.0,4.508969132831004,3.1242373501476375,3.0827071543841087,2.4507175726010106,13.16663120996376
2024-05-08,0.0,0.0,4.508969132831004,3.1242373501476375,3.1421883882574213,2.450573501606592,13.225968372842656
2024-05-10,0.0,0.0,4.512086053383318,3.1240208973315045,3.1421883882574213,2.450573501606592,13.228868840578837
2024-05-16,0.0,0.0,4.552606020563391,3.1240208973315045,3.1421883882574213,2.450573501606592,13.269388807758911
2024-05-17,0.0,0.0,4.552606020563391,3.1396055000930714,3.1390714677051084,2.450573501606592,13.281856489968163
2024-05-20,0.0,0.0,4.555722941115705,3.139410865720805,3.1203699443912285,2.450573501606592,13.266077252834329
2024-05-24,0.0,0.0,4.552606020563391,3.139410865720805,3.1203699443912285,2.450573501606592,13.262960332282017
2024-05-27,0.0,0.0,4.552606020563391,3.166164433794828,3.1281622457720113,2.450573501606592,13.297506201736823
2024-05-29,0.0,0.0,4.552606020563391,3.1661284160462233,3.1280181747775937,2.450573501606592,13.297326112993801
2024-05-31,0.0,0.0,4.552606020563391,3.1591226176181397,3.1311350953299066,2.450573501606592,13.29343723511803
2024-06-05,0.0,0.0,4.549489100011078,3.1591226176181397,3.1311350953299066,2.450573501606592,13.290320314565719
2024-06-11,0.0,0.0,4.555722941115705,3.1589785466237217,3.1311350953299066,2.450573501606592,13.296410084675925
2024-06-12,0.0,0.0,4.558839861668018,3.1776800699376015,3.1124335720160268,2.450573501606592,13.29952700522824
2024-06-17,0.0,0.0,4.558839861668018,3.1763813530408047,3.1124335720160268,2.450573501606592,13.298228288331442
