date,SOUTH CHINA SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,KGI ASIA LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,GET NICE SECURITIES LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,80.62253205958979,0.0,0.0,0.0,0.0,19.377467940410213,0.0,0.0
2024-03-04,0.0,49.41644134104943,0.0,27.073838077864444,0.0,11.59743998804964,11.91228059303649,0.0,0.0
2024-03-05,0.0,43.97380811480719,0.0,24.08997408775882,11.157311055292832,10.31926201201877,10.459644730122388,0.0,0.0
2024-03-06,0.0,44.01071338190922,0.0,24.078486521116847,11.166674891682915,10.327922511010694,10.416202694280331,0.0,0.0
2024-03-07,0.0,44.05232075493405,0.0,24.05188256440471,11.260554533658606,10.328499460203972,10.306742686798653,0.0,0.0
2024-03-08,0.0,40.25491637659899,0.0,21.995321333481932,10.297718471632988,9.48799995031813,9.302656457619108,0.0,8.661387410348844
2024-03-11,0.0,40.28992331790184,0.0,21.99957057005541,10.299707869345786,9.529070208424944,9.219155167919125,0.0,8.662572866352894
2024-03-12,0.0,32.638725680211955,18.979218799658433,17.834839846344437,8.34138232802992,7.719139534049045,7.469471016965391,0.0,7.01722279474082
2024-03-13,0.0,32.65007051494948,18.98525326041752,17.80733332029472,8.344034478514427,7.721593841842418,7.4722606565454415,0.0,7.019453927435987
2024-03-14,0.0,32.7335102609452,19.033223865785462,17.579310592984935,8.36511759916891,7.761892323229611,7.489755166959874,0.0,7.037190190926005
2024-03-15,0.0,32.73721418463167,19.032960093066425,17.5762952611228,8.365001670841174,7.761784754724274,7.489651369878558,0.0,7.037092665735099
2024-03-18,0.0,32.74094263432919,19.031905075296322,17.575320987875635,8.364537989660393,7.761354510516126,7.489236210321218,0.0,7.0367025920011175
2024-03-19,0.0,32.746461345355456,19.032696327658293,17.576051682684646,8.364885745726587,7.753362179653586,7.489547575674154,0.0,7.036995143247271
2024-03-20,0.0,32.760257599904754,19.0342831187648,17.50128975510725,8.365583141727646,7.809446610367021,7.491557943576541,0.0,7.037581830551981
2024-03-21,0.0,32.75624465528967,19.030228272944385,17.497561480647285,8.363801033642673,7.795312078289908,7.452549336955491,0.0,7.104303142230591
2024-03-22,0.0,32.7672375466105,19.03260796788133,17.48589123352253,8.364846911531677,7.790743553721074,7.45348126450098,0.0,7.1051915222319035
2024-03-25,0.0,32.7672175609794,19.032613625520074,17.4858964313838,8.364849398068577,7.790745869599839,7.453483480125055,0.0,7.105193634323263
2024-03-26,0.0,32.77281011944723,19.056879124944928,17.50792416042669,8.375514105094712,7.710484903176725,7.4629862474621484,0.0,7.113401339447571
