date,ABN AMRO CLEARING HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,DBS BANK LTD,FUTU SECURITIES INTERNATIONAL,HAFOO SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,PHILLIP SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-10-03,68000.0,22400.0,81800.0,35000.0,82800.0,0.0,0.0,72800.0,35200.0,58800.0
2024-10-04,71800.0,24600.0,73000.0,0.0,99000.0,0.0,0.0,70800.0,0.0,0.0
2024-10-07,24600.0,24400.0,98200.0,0.0,98400.0,0.0,0.0,76600.0,37200.0,0.0
2024-10-08,20400.0,26000.0,86400.0,0.0,98200.0,15400.0,0.0,77800.0,36800.0,57600.0
2024-10-09,7800.0,27000.0,95800.0,45000.0,100400.0,20600.0,0.0,83000.0,0.0,60800.0
2024-10-10,24800.0,86200.0,130000.0,0.0,95000.0,25600.0,0.0,133200.0,34800.0,59600.0
2024-10-14,53600.0,82800.0,151200.0,0.0,95800.0,0.0,0.0,82600.0,35800.0,0.0
2024-10-15,14600.0,81400.0,156800.0,43000.0,97600.0,0.0,0.0,100600.0,45800.0,0.0
2024-10-16,15800.0,80800.0,160400.0,0.0,96600.0,0.0,0.0,100800.0,0.0,0.0
2024-10-22,0.0,0.0,163400.0,0.0,91000.0,30200.0,33600.0,0.0,45200.0,0.0
2025-03-13,385600.0,78400.0,0.0,0.0,89000.0,0.0,0.0,97600.0,39800.0,0.0
2025-04-09,484600.0,0.0,23000.0,0.0,86200.0,0.0,0.0,98400.0,0.0,73000.0
