date,CMB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,FUTU SECURITIES INTERNATIONAL,UOB KAY HIAN (HONG KONG) LTD
2024-03-01,25.50124399629805,4.234461103094594,4.8566565860732975,0.0,17.97979460637784,1.0685263353112844,4.146095876851767,0.0,2.6635604609601207,0.0
2024-03-04,25.503630360378732,0.0,4.858492250750743,0.0,17.98371069102306,1.0687710906016104,4.141506715158156,0.0,2.6670482238472655,0.0
2024-03-05,0.0,0.0,4.860205537783024,3.138113433931959,17.980345305781075,1.0685263353112844,4.138936784609734,0.0,2.6650289927020765,0.0
2024-03-06,25.50393630449164,4.234583480739756,4.860817426008839,3.137562734528726,17.974960689393903,0.0,4.150134339142145,0.0,2.6660080138633804,0.0
2024-03-07,25.49169853997534,4.218001309820174,4.861368125412072,3.142396651512663,17.97104460474869,1.0682203911983772,4.131288181787047,0.0,2.669373399105362,0.0
2024-03-08,25.4677125215234,4.214819491045937,4.863507898537747,3.140804518349093,17.984444956894034,1.051947835721057,4.112931535012603,0.0,2.661418852169769,0.0
2024-03-11,25.479950286039692,4.218980330981478,4.8607544015215804,3.142273050091049,17.97361453529711,0.0,4.102162302238261,0.0,2.6740849384441363,0.0
2024-03-12,25.48215308365263,4.222590471513786,4.863078964891451,3.1401920182350525,17.955869776748482,1.0679805310138577,4.08441754368963,0.0,2.672799973169925,0.0
2024-03-13,25.476034201394484,4.232441871949404,4.862711831955962,0.0,17.957521874958182,0.0,4.048499704834298,0.0,2.6709031196698994,0.0
2024-03-14,25.47236287203959,4.234583480739756,4.87271681633626,0.0,17.95737624556044,1.0691431186429057,4.040973479656775,0.0,2.6734730502183215,0.0
2024-03-15,25.455841889942587,4.232931382530056,4.874491292191124,0.0,17.956947923802367,1.0693266851106502,0.0,0.0,2.680632142460355,0.0
2024-03-18,25.377887329973774,4.2340327813365235,4.902148639997955,0.0,18.01183429765796,1.0687147968848354,4.0516815236085355,0.0,2.68620032531527,0.0
2024-03-19,25.307520184005067,4.248595721110917,4.911082208094852,3.134073135976904,18.012507374706356,0.0,0.0,0.0,0.0,2.2121582790119874
2024-03-20,25.3021355676179,4.249024042868987,4.910898641627107,3.138968241783423,18.010295398770033,0.0,0.0,0.0,2.686261514137852,0.0
2024-03-21,0.0,4.250676141078688,4.911755285143248,3.1395801300092376,18.012253441092643,0.0,0.0,0.0,2.6808768977506814,0.0
2024-03-22,0.0,4.1742513016744125,4.921117174998215,3.1401920182350525,18.010723720528105,1.0692654962880688,0.0,0.0,2.6889538223314373,0.0
2024-03-25,25.305378575214714,4.069801981527816,4.9331713730467674,0.0,18.012314629915224,1.0690819298203245,0.0,0.0,2.701069209202571,0.0
2024-03-26,25.315780675053567,4.075982052608547,4.934211583030653,3.151389572767464,18.00686882470547,1.0697550068687207,0.0,0.0,2.6967859916218675,0.0
2024-03-27,25.3170044515052,4.045815963075874,4.9339056389177465,3.1513283839448825,18.00491078238286,1.0695402341014597,0.0,0.0,2.6866286470733405,0.0
