date,UBS SECURITIES HONG KONG LTD,SHANGHAI COMMERCIAL BANK LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT
2024-03-01,0.0,0.0,0.0,25.583110037304746,47.20445947201933,0.0,0.0,18.474537273709164,8.73789321696676,0.0
2024-03-05,0.0,0.0,0.0,25.583110037304746,47.20172973343234,0.0,0.0,18.474537273709164,8.740622955553755,0.0
2024-03-08,0.0,0.0,0.0,25.581946170211555,47.199582358078125,0.0,0.0,18.478246158328183,8.740225313382139,0.0
2024-03-11,0.0,0.0,0.0,25.323669433565616,47.39231218652369,0.0,0.0,18.515710389468733,8.768307990441961,0.0
2024-03-12,0.0,27.621423534416707,0.0,18.327740382084205,34.299689313982334,0.0,0.0,13.405175745824266,6.345971023692494,0.0
2024-03-13,0.0,27.62470846132676,0.0,18.329920041199408,34.30376846552547,0.0,0.0,13.394877302367506,6.346725729580848,0.0
2024-03-19,0.0,27.63146326540499,0.0,18.309950042603877,34.31215643586202,0.0,0.0,13.398152622791464,6.348277633337646,0.0
2024-03-26,0.0,27.631098056406913,0.0,18.309708037377963,34.31302464147616,0.0,0.0,13.397975537493867,6.348193727245098,0.0
2024-04-02,0.0,27.614126493127095,0.0,18.298461854980253,34.35337087225864,0.0,0.0,13.3897462376958,6.344294541938219,0.0
2024-04-03,0.0,27.60154815433882,0.0,18.29012683657677,33.228009968680254,0.0,0.0,13.383647157773474,7.496667882630686,0.0
2024-04-05,0.0,27.618504255170883,0.0,18.301362772805348,33.1869907986903,0.0,0.0,13.391868960023078,7.501273213310386,0.0
2024-04-08,0.0,27.620693656750245,0.0,18.30281357666457,33.18962163088157,0.0,0.0,13.385003273991252,7.501867861712368,0.0
2024-04-09,0.0,27.620876122550612,0.0,18.302273874704376,33.18984088572542,0.0,0.0,13.385091697018048,7.501917420001549,0.0
2024-04-11,0.0,27.631280659699186,0.0,18.276125102101865,33.20234320212258,0.0,0.0,13.385507710837944,7.5047433252384295,0.0
2024-04-12,0.0,27.613214634044812,0.0,18.260873565122555,33.220260441201795,0.0,0.0,13.405814824168575,7.499836535462268,0.0
2024-04-16,0.0,27.613214634044812,0.0,18.260873565122555,33.22224172947287,0.0,0.0,13.403833535897494,7.499836535462268,0.0
2024-04-17,0.0,27.613214634044812,0.0,18.258892276851473,33.22422301774395,0.0,0.0,13.403833535897494,7.499836535462268,0.0
2024-04-22,0.0,27.61193813249766,0.0,18.258048206193653,33.24514069331192,0.0,0.0,13.385383134396916,7.499489833599853,0.0
2024-04-23,0.0,27.61868669204537,0.0,18.23939099616744,33.25194492814982,0.0,0.0,13.388654619894167,7.5013227637432065,0.0
2024-04-24,88.05606022761265,3.898678252262961,0.0,2.574968308250022,2.521445519586777,0.0,0.0,1.8899543332983788,1.0588933589892178,0.0
2024-04-25,88.05630655265199,3.8957985466384106,0.0,2.575162002453638,2.5239702024990067,0.0,0.0,1.8898663746553368,1.0588963211016227,0.0
2024-04-26,88.05753819852083,3.8958530372748412,0.0,2.5749182807876374,2.521301346933328,0.0,0.0,1.8899860551073626,1.0604030813760053,0.0
2024-04-30,88.05704553603881,3.8958312408373517,0.0,2.57490387468843,2.521287240809027,0.0,0.0,1.8905349589714584,1.0603971486549153,0.0
2024-05-03,86.98420920233018,3.848366676477684,0.0,2.5433485081594496,2.4905693289918642,0.0,1.2187108543914849,1.8675017697270968,1.0472936599222418,0.0
2024-05-06,86.98589178388896,3.8484411174694526,0.0,2.5457005065462726,2.4906175053914916,0.0,1.2187344285600366,1.8635770759926378,1.0470375821511553,0.0
2024-05-08,86.98420920233018,3.848366676477684,0.0,2.5455591544073064,2.4904772187315367,0.0,1.2187108543914849,1.8656595645205494,1.0470173291412597,0.0
2024-05-09,87.00512591145171,3.849292076238204,0.0,2.5461712737893487,2.4476817278463465,0.0,1.223242003260283,1.8812179066338426,1.0472691007802695,0.0
2024-05-10,87.02677447483605,3.850249854790034,0.0,2.5468048106026178,2.4478299818796767,0.0,1.2235463696038122,1.8572648266363467,1.0475296816514676,0.0
2024-05-13,86.99534750043686,3.848859458508578,0.0,2.549569994583136,2.446946025296909,0.0,1.2231045244283962,1.8890210973955328,1.0471513993505746,0.0
2024-05-14,86.99566806922567,3.848873641154551,0.0,2.549579389482847,2.4474156540103627,0.0,1.2231090314410955,1.8890280582414007,1.0463261564440733,0.0
