date,CMBC SECURITIES CO LTD,SHANGHAI COMMERCIAL BANK LTD,FUTU SECURITIES INTERNATIONAL,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CIS SECURITIES ASSET MANAGEMENT LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,INNOVAX SECURITIES LTD
2024-03-01,0.0,0.0,37.3091703980538,0.0,0.0,0.0,0.0,62.6908296019462,0.0,0.0
2024-03-04,0.0,0.0,25.611080278937337,0.0,0.0,22.57075983881476,0.0,42.90471249668219,8.913447385565716,0.0
2024-03-05,0.0,0.0,25.590655694186353,0.0,0.0,22.57402804257065,0.0,42.925404831430846,8.909911431812148,0.0
2024-03-06,0.0,0.0,25.579879800149648,0.0,0.0,22.577297192923172,0.0,42.95575776592407,8.887065241003114,0.0
2024-03-07,0.0,0.0,25.67329716696805,0.0,0.0,22.56298975286317,0.0,42.958408679927665,8.80530440024111,0.0
2024-03-08,0.0,0.0,15.015242831654515,0.0,41.65999353760132,13.163625124682149,0.0,25.03055590677287,5.130582599289136,0.0
2024-03-11,0.0,0.0,14.968434964779325,0.0,41.69396678992731,13.208104270067347,0.0,25.00878759332424,5.120706381901776,0.0
2024-03-12,0.0,0.0,14.952588326192314,0.0,41.68293882138091,13.224696214090049,0.0,24.987005689400856,5.1527709489358715,0.0
2024-03-13,0.0,0.0,14.94996561451769,0.0,41.64432779890809,13.212446141106792,0.0,25.045262522631262,5.14799792283617,0.0
2024-03-14,0.0,0.0,14.96719077126277,0.0,41.692309854009466,13.222048925796345,0.0,25.074119349716874,5.044331099214546,0.0
2024-03-15,0.0,0.0,14.960995150748472,0.0,41.7063743059948,13.21807576077026,0.0,25.068522032468906,5.04603275001757,0.0
2024-03-18,0.0,0.0,15.013977271130965,0.0,41.68176773849158,13.207467655611277,0.0,25.0481127172096,5.048674617556577,0.0
