date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,15.153497144247495,9.24036579878008,6.225997997383096,1.770166250100739,4.906443280132928,2.6459277169774786,1.743676542995156,0.5205207496070278,0.920184869421839,0.15402147341705155,43.280801823062895
2024-03-04,14.98316391100223,9.297602167948119,6.223246248865402,1.7622412143697797,5.020525710459255,2.637837576335458,1.7441718577283407,0.5205207496070278,0.9184237503705147,0.15402147341705155,43.26175466010317
2024-03-05,14.970525185095429,9.324789443302937,6.22775911643442,1.7558571578087292,5.122211018398637,2.62639030250185,1.74373157796551,0.5205207496070278,0.917323050963437,0.15754371151970006,43.36665131359768
2024-03-06,14.968287077956047,9.234091812159738,6.226768486968051,1.7595995357927934,5.012471287512994,2.626316940886368,1.7430161233509094,0.5205207496070278,0.9250279468129806,0.16326734843650392,43.17936730948341
2024-03-07,14.992062185148924,9.200410410303162,6.226658417027343,1.780292684645853,5.0771993470554255,2.6290686894040625,1.743126193291617,0.5205207496070278,0.9262387161607661,0.15490203294271368,43.250479425586896
2024-03-08,14.964434630031276,9.212518103781015,6.22974037536716,1.747051562552108,5.151715926424998,2.612227988475774,1.7432362632323248,0.520850959429151,0.9253581566351039,0.15270063412855836,43.25983460005747
2024-03-11,14.970268336888786,9.215159782358,6.22974037536716,1.742648764923797,5.145111729982533,2.624115542072213,1.7421355638252471,0.520850959429151,0.924367527168734,0.15479196300200593,43.26919054501763
2024-03-12,14.975991973805591,9.18610131801115,6.227538976553005,1.7604800953184552,5.168220473754365,2.6247759617164594,1.742685913528786,0.520850959429151,0.9256883664572273,0.1488481862037865,43.28118222477798
2024-03-13,14.963333930624199,9.178506492102317,6.229190025663621,1.7494731012476787,5.192418469659442,2.6266471507084916,1.7420254938845394,0.5204106796663199,0.9321824929589854,0.1466467873896312,43.28083462390522
2024-03-14,14.959151272877303,9.178616562043024,6.229190025663621,1.7556370179273135,5.204457424459324,2.6267572206491994,1.7420254938845394,0.5204106796663199,0.9332831923660632,0.14620650762680013,43.29573539716351
