date,UPBEST SECURITIES CO LTD,UOB KAY HIAN (HONG KONG) LTD,CGS INTERNATIONAL SECURITIES HK LTD,PHILLIP SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,DEUTSCHE BANK AG,OCBC BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-05,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,97.96840176971251,0.0,0.0,0.0,0.0,0.0,2.031598230287479,0.0
2024-03-22,0.0,97.9683301110849,0.0,0.0,0.0,0.0,0.0,2.031669888915098,0.0
2024-03-26,0.0,97.96825844740201,0.0,0.0,0.0,0.0,0.0,2.031741552597988,0.0
2024-04-22,0.0,97.96790005313977,0.0,0.0,0.0,0.0,0.0,2.032099946860234,0.0
2024-04-24,0.0,95.80143042884835,0.0,0.0,0.0,0.0,0.0,1.987161933429213,2.2114076377224396
2024-04-26,0.0,95.80172010461203,0.0,0.0,0.0,0.0,0.0,1.9870248313422119,2.21125506404576
2024-05-03,0.0,95.80258889212232,0.0,0.0,0.0,0.0,0.0,1.9866136385682414,2.210797469309449
2024-05-09,0.0,50.68306757511847,31.016141786292252,16.129071833346902,0.0,0.0,0.0,1.0278636251599067,1.1438551800824655
2024-05-20,0.0,52.205076275732395,31.01392803014673,14.609431893839615,0.0,0.0,0.0,1.0277902620887474,1.143773538192512
2024-05-27,0.0,51.67069083771531,31.01448143955658,15.14322517328099,0.0,0.0,0.0,1.0278086018747248,1.1437939475723933
2024-05-28,0.0,51.19704210978323,31.017248782881712,15.613912791313709,0.0,0.0,0.0,1.0279003106230864,1.1438960053982612
2024-06-07,0.0,51.2013962851232,31.01448143955658,15.612519725873097,0.0,0.0,0.0,1.0278086018747248,1.1437939475723933
2024-07-18,0.0,48.77822035275906,29.54667879291422,14.882135636187074,4.724136722024546,0.0,0.0,0.9791661575696791,1.089662338545424
2024-08-06,49.76875274849606,24.501908470277815,14.841665279076418,7.475482347717308,2.372992797339242,0.0,0.0,0.4918473736118761,0.5473509834812718
2024-08-15,49.770897284281624,24.500862403886796,14.841031639976263,7.475163194992934,2.37289148653668,0.0,0.0,0.4918263750432269,0.54732761528248
2024-10-10,49.792761094349444,24.4901976264344,14.83457161024363,7.471909393123402,2.371858610256432,0.0,0.0,0.49161229201428747,0.5470893735783998
2024-11-18,49.75496676033755,24.471608765548446,14.82331168526581,7.466237969544879,2.370058292005851,0.0,0.0,0.4912391422077617,0.6225773850896981
2024-11-21,49.24656016544971,24.221552779301902,14.671844004558308,7.389946397670198,2.345840543620479,0.0,1.0218207909509138,0.4862195585193939,0.6162157599290929
