date,GF SECURITIES (HONG KONG) BROKERAGE LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,BOCOM INTERNATIONAL SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,FUTU SECURITIES INTERNATIONAL,CENTRAL WEALTH SECURITIES INVESTMENT LTD,BOCI SECURITIES LTD,CHINA MERCHANTS BANK CO LTD
2024-03-01,93.17351036658872,0.0,0.0,0.0,2.9155132417591023,0.0,1.9644092509559212,1.9465671406962541,0.0,0.0
2024-03-04,71.75818158232637,22.98400867224292,0.0,0.0,2.243984921040361,0.0,1.5146699417758611,1.4991548826144878,0.0,0.0
2024-03-05,71.75943257644177,22.984256438095034,0.0,0.0,2.2424336196477808,0.0,1.5146963477290523,1.4991810180863585,0.0,0.0
2024-03-06,71.0617724024473,22.76045258488787,0.0,0.0,2.210699203371257,0.0,1.5007271559761828,1.484545557413674,0.0,0.9818030959037118
2024-03-07,71.06310679718683,22.760516535350774,0.0,0.0,2.2092263645991737,0.0,1.5007553365626602,1.4845734341428272,0.0,0.9818215321577223
2024-03-08,71.06409686437807,22.760621627868495,0.0,0.0,2.2075913345301768,0.0,1.5012608445531601,1.4845941175539017,0.0,0.9818352111161922
2024-03-11,71.06571116352347,22.76113866043014,0.0,0.0,2.206005923181331,0.0,1.5006588965391787,1.484627841742641,0.0,0.9818575145832336
2024-03-12,71.0695857807207,22.762379634422214,0.0,0.0,2.204641998719101,0.0,1.4967727530521981,1.4847087860471855,0.0,0.981911047038604
2024-03-13,71.07104963495199,22.762848482036507,0.0,0.0,2.2031123075235652,0.0,1.4963189362543459,1.484739367303778,0.0,0.9819312719298168
2024-03-14,71.07511860537223,22.76472725477846,0.0,0.0,2.2017238332881743,0.0,1.4916184451292094,1.4848243718252865,0.0,0.9819874896066446
2024-03-15,71.07669034302033,22.764655104898427,0.0,0.0,2.200136709768323,0.0,1.491651430411722,1.4848572068653372,0.0,0.9820092050358646
2024-03-18,71.07776691576841,22.764999912840196,0.0,0.0,2.1986553708500995,0.0,1.4916740239127961,1.4848796974567813,0.0,0.9820240791717225
2024-03-19,69.73389380481503,22.33458021085411,1.888092715241775,0.0,2.155718071548651,0.0,1.467453370941803,1.4568049564371663,0.0,0.9634568701614625
2024-03-20,69.73530315179084,22.335031600721482,1.887536451970552,0.0,2.154335025859791,0.0,1.4674830287001415,1.456834398987233,0.0,0.9634763419699648
2024-03-21,69.72649566768582,22.33250788696615,1.8745195930371525,0.0,2.1525176331730123,0.0,1.493954160488134,1.4566504025717477,0.0,0.9633546560779714
2024-03-22,69.71742110574831,22.331532797528737,1.874275633492259,0.0,2.1504843974127814,0.0,1.5065959589750106,1.4564608266555503,0.0,0.9632292801873481
2024-03-25,69.71632320251504,22.32913092391831,1.8742461175800893,0.0,2.1497077061457204,0.0,1.5109400480447088,1.45643789045072,0.0,0.9632141113454099
2024-03-26,69.7151288906268,22.3284749642448,1.874206021981084,0.0,2.1477006998664074,0.0,1.511888233499886,1.4564067329900836,0.0,0.9661944567909413
2024-03-27,69.05809604511862,22.119658195015035,1.857131144365159,0.0,2.1257231045992984,0.0,1.4992581662258269,1.442680773141469,0.938745270563727,0.9587073009708603
2024-03-28,69.05821799791788,22.11925577086536,1.8571344239566134,0.0,2.1238726162618446,0.0,1.5002026511653679,1.4426833208363636,0.9387469283362417,0.9598862906603254
