date,MORGAN STANLEY HONG KONG SECURITIES LTD,ABCI SECURITIES CO LTD,THE BANK OF EAST ASIA LTD,CHINA GALAXY INTERNATIONAL SECURITIES,THE HONGKONG AND SHANGHAI BANKING,EMPEROR SECURITIES LTD,FIRST FIDELITY CAPITAL (INTERNATIONAL)
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-07,54.54814396561692,28.30349191856545,0.0,17.14836411581763,0.0,0.0,0.0
2024-03-21,54.54810300799132,28.303470666809826,0.0,17.148426325198844,0.0,0.0,0.0
2024-05-07,54.54761835040385,28.303258151008876,0.0,17.149123498587283,0.0,0.0,0.0
2024-05-10,46.00525860507648,23.870862743061668,15.66037162329035,14.4635070285715,0.0,0.0,0.0
2024-05-14,45.8428618304811,23.786599525468223,15.605091120197889,14.412893129385631,0.0,0.35255439446716136,0.0
2024-05-20,45.84257255179116,23.78644942671622,15.60499264858998,14.414064225451654,0.0,0.35192114745098535,0.0
2024-07-22,45.11815222218083,23.410567651877045,15.358397108924601,14.186288152339063,1.580234898012982,0.3463599666654772,0.0
2024-07-30,45.117872017327905,23.41042226128938,15.358301726086626,14.186821095673915,1.580225084014283,0.34635781560789297,0.0
2024-08-13,45.117675876001684,23.410320488952514,15.358234958804964,14.187194152069635,1.580218214287724,0.3463563098834813,0.0
2024-08-15,45.11739567706537,23.41017510143482,15.358139577981028,14.187727084151216,1.580208400496251,0.34635415887131743,0.0
2024-08-27,45.11747973638084,23.410218717500513,15.358168192103813,14.187753517650064,1.5802113446208939,0.3461684917438815,0.0
2024-08-29,45.117311618063134,23.410131485531647,15.358110963964863,14.188073274218937,1.5802054563825785,0.3461672018388422,0.0
2024-09-03,44.993664614856485,23.345974458017164,15.316021036008049,14.155383283771705,1.5758747978808811,0.34521850752216515,0.2678633019435529
2024-09-04,44.992614980236034,23.345526236740756,15.315726982465305,14.169603723640883,1.5696512902953583,0.3452118796437547,0.2616649069779088
2024-09-05,44.993172288365805,23.34581540978774,15.315916693135922,14.175972566624642,1.568432067238941,0.34521615566521074,0.25547481918173565
2024-09-09,44.99537686150492,23.347087856304757,15.316751475922857,14.183000820772298,1.5684556168113304,0.3452349714181491,0.2440923972656845
2024-09-10,44.995370662103895,23.347116777155826,15.316770449316502,14.183018389749508,1.568457559711943,0.34523539907273515,0.24403076288959033
2024-09-11,44.996661933594524,23.347883205817705,15.317273261376416,14.1834839835061,1.5685090483321518,0.3452467323053338,0.24094183506776973
2024-09-13,44.996733149021736,23.347984436006666,15.317339672984396,14.183545479306432,1.5685158489686786,0.3452482292030029,0.24063318450908977
2024-09-16,44.99669908050318,23.34799889753389,15.317349160403976,14.183554264464297,1.568516820492996,0.34524844304658675,0.24063333355507527
2024-09-17,44.996643339487555,23.347969974497357,15.31733018557657,14.183660572169984,1.5685148774455642,0.3452480153596841,0.24063303546328893
2024-09-19,44.9965318578706,23.347912128639265,15.317292236062787,14.183873186791212,1.5685109913651418,0.34524715998905764,0.240632439281932
2024-09-23,44.99649778933288,23.347926590076916,15.317301723423604,14.183881972124848,1.5685119628834423,0.34524737383131693,0.24063258832699427
2024-09-26,44.996302697859306,23.34782536038956,15.3172353121447,14.184254045369322,1.5685051622806132,0.34524587694106507,0.24063154501543552
2024-10-02,44.996832235794884,23.348100128726074,15.317415572670114,14.184420972431203,1.5685236211969193,0.34524993995909053,0.23945752922171584
2024-10-03,44.99672075308847,23.34804228222305,15.31737762273323,14.184385829565354,1.56876749186153,0.3452490845789275,0.23945693594943193
2024-10-04,44.99760643319995,23.348533986635495,15.31770020319086,14.184684549475824,1.5667564931949005,0.34525635544541927,0.23946197885755133
2024-10-17,44.9978851523573,23.348678609521773,15.31779508238181,14.184772410667524,1.5661467889715046,0.34525849399384634,0.23946346210624503
2024-10-25,44.99771792044855,23.348591835575014,15.317738154726197,14.185091337751777,1.5661409684820302,0.345257210861611,0.23946257215482383
2024-10-29,44.99905581052395,23.349286045209077,15.31819358781929,14.185636979531735,1.563090408777985,0.34526747618654785,0.23946969195141624
2024-11-06,44.99902174154485,23.349300508348758,15.318203076296713,14.185645766474883,1.5630913769958086,0.3452676900539751,0.23946984028501397
2024-11-14,44.99899386802733,23.349286045209077,15.31819358781929,14.185698922028358,1.563090408777985,0.34526747618654785,0.23946969195141624
2024-11-18,44.99380999422923,23.34659621279885,15.316428935422689,14.184064732758147,1.5744303182411021,0.3452277014522864,0.2394421050976927
2024-11-21,44.99383786132508,23.34661067260642,15.316438421714096,14.184073517715264,1.574369357971582,0.34522791527044144,0.2394422533971164
2025-03-25,44.992110166655934,23.345714198406423,15.315850293866612,14.183528870950992,1.578148751894175,0.3452146590456515,0.23943305918020968
2025-03-26,44.99194297743899,23.34562744649233,15.315793380665427,14.183476165419362,1.5785144842899237,0.3452133762392148,0.23943216945475498
