date,CHINA SECURITIES DEPOSITORY AND CLEARING,CMB INTERNATIONAL SECURITIES LTD,SINOLINK SECURITIES (HONG KONG) CO LTD,DBS BANK LTD,TIGER BROKERS (HK) GLOBAL LTD,VALUABLE CAPITAL LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD
2024-03-04,0.0,0.0,0.0,0.0,70.9220602519307,0.0,0.0,29.077939748069305,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,61.278681659072085,0.0,0.0,25.258821246947647,0.0,13.462497093980266
2024-03-06,0.0,0.0,0.0,0.0,41.32925736221357,0.0,32.4996422960958,17.03575037382838,0.0,9.13534996786225
2024-03-07,0.0,0.0,0.0,0.0,41.3369186975533,0.0,32.50566685772461,17.04076207650573,0.0,9.116652368216362
2024-03-08,0.0,0.0,0.0,0.0,28.17512747314067,31.845540158588314,22.15649476157165,11.627349812176767,0.0,6.195487794522597
2024-03-11,0.0,0.0,31.541210119482372,0.0,19.77358192060735,20.627318799734805,15.549646213991316,8.16018860073705,0.0,4.348054345447109
2024-03-12,0.0,0.0,31.573463205090647,0.0,19.769900149028125,20.623478065343974,15.546750924421248,8.139162903133137,0.0,4.347244752982868
2024-03-13,0.0,0.0,31.61410598854124,0.0,19.76814740631778,20.629628789028644,15.509909739943797,8.133121880155413,0.0,4.345086196013124
2024-03-14,0.0,0.0,31.69692896353849,0.0,19.760975001081178,20.626536244922903,15.453073057020164,8.12803393971362,0.0,4.334452793723648
2024-03-15,0.0,0.0,30.749304498272263,0.0,19.054407940706984,19.864403630747837,14.78112784322404,7.800001502679893,3.6004551754003105,4.150299408968676
2024-03-18,0.0,0.0,31.027230114926667,0.0,19.036885539811127,19.88439033952099,14.556439192405701,7.744829597493701,3.6002092680331472,4.1500159478086625
2024-03-19,0.0,0.0,31.15229097638062,0.0,19.018375710300933,19.84885123664689,14.542285763413156,7.698918377484347,3.5932971063936634,4.145980829380394
2024-03-20,0.0,0.0,31.218073061049324,0.0,19.01740250578071,19.84612980852877,14.53898301846756,7.697671546636956,3.5359713874585426,4.145768672078141
2024-03-21,0.0,0.0,31.536614444850326,0.0,19.04908272101098,19.892859107710528,14.047215256010146,7.764314640344693,3.557238912844913,4.152674917228415
