date,THE HONGKONG AND SHANGHAI BANKING,REALINK FINANCIAL TRADE LTD,BANK OF CHINA (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,HANG SENG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-15,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-20,0.0,81.67366526694661,0.0,18.32633473305339,0.0,0.0
2024-04-23,0.0,72.13245033112582,0.0,16.185430463576157,0.0,11.682119205298013
2024-05-06,91.90433388886045,5.839602336591526,0.0,1.3103184089817932,0.0,0.9457453655662369
2024-05-27,91.89790024691781,5.839602336591526,0.0,1.3103184089817932,0.0,0.9521790075088644
2024-06-06,91.89987108313488,5.837582979006308,0.0,1.3103465099826799,0.0,0.9521994278761208
2024-06-14,91.9057840990158,5.837958580413081,0.0,1.3039966263376757,0.0,0.9522606942334342
2024-07-02,91.89987108313488,5.84401675892439,0.0,1.3039127300645978,0.0,0.9521994278761208
2024-08-16,91.89790024691781,5.846035978534154,0.0,1.3038847670391656,0.0,0.9521790075088644
2024-09-04,90.76592737227233,5.774026127012827,1.2317722946922927,1.287823875724064,0.0,0.9404503302984941
2024-09-05,90.76016011399145,5.780013236315031,1.2316940279993562,1.2877420475190688,0.0,0.9403905741751095
2024-09-09,90.75054964535542,5.785754516206808,1.2357991506450954,1.2876056902832134,0.0,0.9402909975094518
2024-09-10,90.7524715762569,5.783759230553323,1.235825322614135,1.2876329594201466,0.0,0.9403109111555018
2024-09-19,90.80054631974977,5.733849607937174,1.2364799823094,1.288315063424169,0.0,0.9408090265794918
2024-10-03,90.80230036275839,5.732756345318892,1.2362442249325338,1.2880694227471863,0.0,0.9406296442430111
2024-10-07,89.82403979571049,5.6709943695681195,1.2229255207624776,1.2741923786760594,1.0773521850654615,0.9304957502173855
2024-10-14,89.82592228757869,5.6794962400005895,1.2229511502860826,1.263740307276884,1.077374763728503,0.9305152511292478
2024-10-15,89.86170463096563,5.681758679166801,1.2234383154260617,1.224408512410853,1.0778039382114404,0.9308859238192102
2024-10-17,89.86358870190678,5.704940777483628,1.223463966448239,1.1992745772585944,1.0778265358139294,0.930905441088839
2024-10-28,89.8654728518537,5.705060391712466,1.2234896185460549,1.1972030443468644,1.0778491343640162,0.9309249591768962
2024-10-29,89.8673570808114,5.705180010957259,1.2235152717195767,1.19513142456657,1.0778717338617603,0.9309444780834336
2024-11-01,89.86924138878484,5.7052996352183225,1.2235409259688728,1.1930597179122473,1.0778943343072216,0.9309639978085025
2024-11-18,89.88430066770967,5.69681876010781,1.2217221437051529,1.1912862456822284,1.0762920543541832,0.9295801284409657
2024-11-20,89.89559325651042,5.697534478328372,1.2218756344226105,1.1788724407566606,1.0764272740033216,0.9296969159786098
2024-12-16,89.89538167469749,5.697653782183093,1.2219012199585524,1.1788971258247267,1.076449813914858,0.9297163834212765
2024-12-18,89.89517008402352,5.697773091034259,1.2219268065660165,1.1789218119266034,1.0764723547703652,0.9297358516792396
2024-12-19,89.902488873441,5.700463929178374,1.2220547556785244,1.1685741632922604,1.0765850732095483,0.9298332052002932
2025-01-15,89.90437166781193,5.713148888607723,1.2074205091929813,1.168598636306125,1.0766076197301293,0.9298526783511103
2025-02-03,89.91190363397496,5.724099713314341,1.2075216639004898,1.149846594441849,1.0766978152569124,0.9299305791114406
2025-02-06,89.9345071064819,5.725538727785923,1.207825229742479,1.1249960837252253,1.076968492536358,0.9301643597281192
2025-02-19,89.93429623353371,5.7256586783183225,1.2078505337856862,1.1250196524906475,1.0769910551195836,0.9301838467520437
2025-03-03,89.93052812882222,5.725418782279261,1.207799926759471,1.1291623577199128,1.0769459308984688,0.9301448735206703
2025-03-13,89.9286441948722,5.727393718798313,1.2077746248365957,1.129138703157385,1.076923370205857,0.9301253881296455
2025-03-14,89.94183339034156,5.7303288991936565,1.2079517605618422,1.1125428319823882,1.07708131490704,0.9302618030135222
2025-03-28,89.97388040591765,5.696739839417539,1.208382163717156,1.1129392401511087,1.0774650878453318,0.9305932629512095
2025-04-03,89.9757662356899,5.694763266940854,1.2084074911016178,1.1129625670760375,1.0774876712410022,0.930612767950585
2025-04-08,89.99253246813484,5.698053539250674,1.208660823352594,1.0922317490616633,1.0777135572762713,0.9308078629239512
2025-04-14,89.99043605402916,5.700149953356359,1.208660823352594,1.0922317490616633,1.0777135572762713,0.9308078629239512
2025-04-17,89.98100418170866,5.710033494146728,1.208534143951265,1.0921172725589008,1.0776006024211109,0.9307103052133434
2025-04-30,74.62903724421362,4.7375637018682974,1.002341999403658,0.9057874086874801,0.8937474773016586,0.7719186361943209
2025-05-02,89.9772319863463,5.713986330388161,1.2084834796256718,1.092071488676534,1.077555427108478,0.9306712878548581
