date,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,MORGAN STANLEY HONG KONG SECURITIES LTD,DEUTSCHE BANK AG
2024-03-01,82.23423845376557,6.28236599411574,7.039820622137795,0.7491022719860876,1.26558502798465,1.0636761559400938,0.29452176681491404,0.6563238782477328,0.41436582900741536,0.0
2024-03-04,82.08110152231455,6.243877497897946,6.988975361754064,0.7478973013369046,1.2922635402271179,1.0759869128822737,0.2991648600833939,0.6612891319066695,0.44610563008153326,0.16333824151554088
2024-03-05,584.1116618948363,44.82774492242801,49.562064318588945,5.328525659710925,9.833008353378702,7.782320976048367,2.0839373403600217,4.754774561864706,3.558435360734279,1.1639818983792927
2024-03-06,81.94309034431912,6.279949605191547,6.949815397430275,0.747794326446858,1.3509105885860424,1.0964820697918944,0.2954144504038161,0.6687009869612667,0.5037926070953699,0.1640496237738149
2024-03-07,82.08818748555038,6.277374786943929,6.928543994286665,0.7493604114385752,1.276445779137152,1.036199625172378,0.3306825313920674,0.6693784491496922,0.4787484540500304,0.16507848287912885
2024-03-08,82.11552689870813,6.282347105704572,6.831611129179042,0.7500002028879038,1.2899582163488224,1.066626738327198,0.36458609440863715,0.6539772848797227,0.4808664533437798,0.16449987621219958
2024-03-11,81.81422628039182,6.2172999864243685,6.7501710689763,0.750084773858475,1.2729956863897343,1.0331352743211486,0.3361600530187492,0.6507963459401845,0.9596226428044025,0.21550788787480954
2024-03-12,81.06768951578404,6.166652282952169,6.634287759522578,0.7484602873927338,1.896871265358139,1.3359691967424603,0.3473939202789409,0.6455640158359809,0.9425418770488285,0.21456987908413422
2024-03-13,80.78702892589995,6.156504212250262,6.420991452879998,0.7422146488262819,2.074558623723906,1.6665669012446371,0.34017847769408566,0.6430249594810051,0.9549677388201172,0.21396405917975392
2024-03-14,80.91523406448337,6.167040036663244,6.386991779077497,0.7338341498056843,2.069539961667386,1.625528330290513,0.3793584740620709,0.6629035208275497,0.9036243086880764,0.15594537443461384
2024-03-15,81.600889238845,6.274409169612224,6.769081029661904,0.736436581213536,1.1935499013628172,1.289171020127477,0.3627489055760359,0.6682412482914838,0.9021506913073503,0.20332221400217548
2024-03-18,81.89208426363489,6.3718723342521075,6.96615665238462,0.7252836653799346,1.1231732419493863,1.0241523387098581,0.3341625859268432,0.6712939998391554,0.667040278502024,0.2247806394211794
2024-03-19,81.83457849921498,6.383038730194629,7.236735067568661,0.7241304874822655,1.1508593045559539,1.0065637269416114,0.33153930384972696,0.672386399480768,0.43524141075656714,0.2249270699548356
2024-03-20,81.64772837293768,6.450443450230238,7.215240050935979,0.7233068187507636,1.148065755602534,0.996887703049209,0.3449419654201421,0.6710764865482335,0.5785576747935393,0.22375172173168656
2024-03-21,81.60735088645946,6.440299750657312,7.247744998680959,0.7229724903271728,1.1748825712621278,0.9942174041399915,0.3394562669131531,0.6705123116070988,0.6001637013812273,0.2023996185714968
2024-03-22,81.51794175953708,6.407831557113639,7.379829914645186,0.7228398760525786,1.1649875998585202,1.0040646698810756,0.3280799345306995,0.6714801670672609,0.6010043482115128,0.2019401731024461
2024-03-25,81.37889442688088,6.308661579142479,7.573169900325091,0.7191357466338757,1.1835693307502886,1.0282282375460856,0.3123809805654693,0.6715619077683729,0.6220189647820147,0.2023789256054458
2024-03-26,81.29004483588596,6.366135680630489,7.590817382891759,0.7230678759767915,1.188979686861282,1.0280357474075474,0.312855569048951,0.6713440823753415,0.6264058562132335,0.20231328270863858
2024-03-27,81.31086070281238,6.358891869091328,7.561069746777564,0.7446015761894003,1.1918034349081905,1.0379193463172764,0.28667350938313674,0.6721301184470926,0.6354245237300127,0.2006251723436219
2024-03-28,81.21327901956604,6.348593226811738,7.645650062645501,0.748331692189652,1.190292101979775,1.0604926891954283,0.28611027042300824,0.6713076548831427,0.6354782642135656,0.20046501809214334
2024-04-02,81.13850296464217,6.366415971481422,7.696479533096512,0.7357770780246117,1.177563051547809,1.0759050491494002,0.28652319560386647,0.6804963963706459,0.642491333576984,0.1998454265065784
2024-04-03,81.11627504304776,6.4292430982800965,7.718680966421172,0.7335910816743849,1.149848581754418,1.0536675014003687,0.3091335115427378,0.6790139677561041,0.6111361752498727,0.19941007287308568
2024-04-05,81.10292407929524,6.421631999557908,7.731816383413974,0.7329524492873002,1.1507205716452735,1.018736789278997,0.38987602976563995,0.6868962886274887,0.5613867319566558,0.20305867717153003
2024-04-08,81.2530206415581,6.425934339909683,7.786658583770491,0.7336093970769821,1.1663782859365106,1.0320766409768332,0.3375742673350715,0.6848981242791488,0.3768156154830751,0.20303410367411365
2024-04-09,81.2139466094615,6.423274239365931,7.866036622065457,0.7354885998542391,1.1591534118855924,1.0176819460066249,0.3612132153146521,0.6850857896609798,0.38044570879922357,0.15767385758581015
2024-04-10,81.25815934723128,6.4199892940818275,7.876524665375907,0.7346550197344394,1.168472831266472,1.0243022234808272,0.3457177588632613,0.6842188892395598,0.3304856319974454,0.1574743387289737
2024-04-11,81.35919187162808,6.434990593792427,7.759245410643347,0.7274468871235663,1.1609439487340065,1.0179226276690343,0.33658096108352625,0.6893439549950119,0.35683910858627255,0.15749463574471603
2024-04-12,81.41411534293326,6.418698130567691,7.746843866765888,0.7348469122589235,1.1617574337364254,1.0199450761140607,0.34556612591702446,0.6974925142807412,0.2983704633764037,0.1623641340495818
2024-04-15,81.3881370106395,6.429179133675768,7.812343051611452,0.7054498371240497,1.1743265549218345,1.0320573001309432,0.382171994079767,0.698050530507399,0.21567395984070237,0.16261062746858557
2024-04-16,81.35110219836584,6.442404086345334,7.869154158158281,0.7075591113909205,1.1803718706894832,1.0276980321844253,0.36127347763909173,0.6846594084485617,0.21341096690668335,0.16236668987137176
2024-04-17,81.20848480402606,6.48091854940349,7.958682979473062,0.7097593570142885,1.1891049892501722,1.0271852481313803,0.3676907413179257,0.6844519163333418,0.2120059828540508,0.1617154321962277
2024-04-18,81.22621562650623,6.526458518505297,8.02507695160839,0.7117035500742884,1.2122544804377353,0.9022374096485594,0.3577057302901339,0.6855389395303203,0.19086895000715481,0.1619398433918941
2024-04-19,81.19731378755506,6.547074412075828,7.979633571645128,0.6993757160155923,1.1607638868299652,0.9409731941346922,0.43161792204695476,0.6851872032263197,0.19427202011331446,0.163788286357147
2024-04-22,81.37674019193757,6.439061944747132,7.9140445833458415,0.6973696007836009,1.1484942364079889,0.941443299142041,0.4501273073331241,0.6789729844141003,0.18989487781916153,0.16385097406943974
2024-04-23,81.36171066279266,6.441285652342775,7.9735349053284414,0.6971259713918112,1.1435374646341916,0.9243340771307837,0.42416170860547375,0.6772286585726113,0.19349286523283085,0.16358803396841468
2024-04-24,81.30661752788848,6.445872773489919,7.922375908939348,0.7045703076264175,1.1602924120626557,0.9621926254955443,0.43423798972582023,0.6768463857479964,0.22388248843439812,0.16311158058942088
2024-04-25,81.30822172830977,6.402149091746255,7.956662184082622,0.6986151943386993,1.1356526271484593,0.9497256582799054,0.45129039610704474,0.6763651176215708,0.25876247667164576,0.16255552569403017
2024-04-26,81.25213423332622,6.392810384746869,8.011506776390263,0.6998336586400425,1.1521228721055377,0.9501419840011077,0.44827380527054,0.6750341567797067,0.2561261569700059,0.1620159717697096
2024-04-29,81.22016131700998,6.397100475848666,8.050091059646997,0.7002142804707052,1.1512665881025943,0.9495567088707014,0.45772429849004925,0.6752010769712433,0.24227145042579798,0.15641274416325812
2024-04-30,581.8658566665189,45.916549619131544,58.050856526655494,5.02674256000989,8.358414438408474,6.865336948104408,3.457159448250926,4.907529764138663,1.539467825838181,1.1392920912220184
2024-05-02,81.04423038410866,6.47543970101286,8.14499121276933,0.6990900281862457,1.1469481159291255,0.9660812074102296,0.48181806999565224,0.6815538305375102,0.20068338125058083,0.1591640687998079
