date,HANG SENG BANK LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CHINA CITIC BANK INTERNATIONAL LTD,KGI ASIA LTD,HANG SENG SECURITIES LTD,SINOPAC SECURITIES (ASIA) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,THE BANK OF EAST ASIA LTD
2024-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-18,0.0,0.0,0.0,0.0,43.424838724231336,0.0,30.887387910442314,25.68777336532635,0.0
2024-03-19,0.0,0.0,49.122896752006284,0.0,22.103644064314185,0.0,15.708960881252276,13.064498302427257,0.0
2024-03-21,0.0,0.0,49.138619375866384,0.0,22.110718713908145,0.0,15.681982091513316,13.068679818712155,0.0
2024-03-27,0.0,0.0,49.13873171652432,0.0,22.110769263409118,0.0,15.682017943643642,13.06848107642292,0.0
2024-04-03,0.0,0.0,49.13966247863292,0.0,22.111188074914896,0.0,15.680420833176392,13.068728613275784,0.0
2024-04-05,53.466209284746036,0.0,22.866547695989222,0.0,10.289173983437092,0.0,7.296694213781385,6.081374822046266,0.0
2024-04-09,53.484417522689185,0.0,22.874335035824174,0.0,10.29267802329021,0.0,7.265123547514726,6.083445870681706,0.0
2024-04-10,53.49694288200121,0.0,22.879691909444904,0.0,10.295088435453154,0.0,7.247664184846073,6.080612588254663,0.0
2024-04-11,53.5037773691673,0.0,22.882614898167162,0.0,10.296403681633503,0.0,7.2485901081827535,6.068613942849275,0.0
2024-04-15,53.52201120853592,0.0,22.890413187276888,0.0,10.29991264829038,0.0,7.216980857540289,6.070682098356514,0.0
2024-04-16,53.55052647611033,0.0,22.902608660544523,0.0,10.305400199272247,0.0,7.167548249208383,6.073916414864525,0.0
2024-05-03,53.54710303980096,0.0,22.90114451766438,0.0,10.311134293218997,0.0,7.167090034386976,6.073528114928688,0.0
2024-05-13,53.53455418401152,0.0,22.89577759501776,0.0,10.308717861144698,0.0,7.18884558666787,6.072104773158159,0.0
2024-05-17,53.54524886122132,0.0,22.90035151843187,0.0,10.295061892428,0.0,7.186019921393279,6.073317806525539,0.0
2024-05-22,54.14596368032078,0.0,22.60422291624406,0.0,10.161934578413284,0.0,7.093096193436388,5.994782631585487,0.0
2024-06-04,54.14601492970594,0.0,22.60424431123729,0.0,10.16194419672763,0.0,7.093008256656367,5.994788305672772,0.0
2024-06-06,54.14487607735619,0.0,22.603768876493262,0.0,10.16173046070215,0.0,7.094962368071453,5.994662217376947,0.0
2024-06-12,53.79787825989389,0.0,22.458908290694534,0.0,10.096607063125877,0.0,7.049492941690634,6.597113444595062,0.0
