date,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIC SECURITIES BROKERAGE (HK) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,SHANGHAI PUDONG DEVELOPMENT BANK CO.,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,TIGER BROKERS (HK) GLOBAL LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG)
2024-11-28,40.970946119081326,16.432014930595802,4.9273679329780435,0.0472974524409679,2.3531399206676897,1.255032400817311,0.10632760626264101,0.005133056854058532,0.2647190749021614,1.0194617559078392
2024-12-02,57.10182282472967,23.978992224923363,7.011576798675128,1.0608387307314977,3.5029140169385435,1.7491575025500563,1.4624857646211689,1.5309599408822578,1.0214916294471406,1.5797605665011685
2024-12-03,56.9069898620147,23.99953606617601,6.814505469014626,1.3266164780407734,3.500892506061918,1.7431893298785286,1.6186758063157767,1.5450880592613077,0.991015610851188,1.5534908123851743
2024-12-04,56.79563393424002,24.016106290641442,6.73662162688453,1.3809458068351863,3.52097978537017,1.7397782468887901,1.7611252192432536,1.5519757162941632,0.9766239852167133,1.520209388385735
2024-12-05,56.86239513297018,24.151959961471764,6.742250416103292,1.3377894936836963,3.561756394461404,1.7418232928411153,1.6838134022819897,1.5649948983736048,0.844705423931128,1.5085115838818246
2024-12-06,56.82162614171965,24.248800447118644,6.483169457418629,1.4336984086112925,3.546490353204277,1.7405744467729931,1.8519345998093022,1.557262414035142,0.8369808762455001,1.47946285506457
2024-12-09,56.826393960569476,24.273719271442616,6.397770779326491,1.4803497993855226,3.5582300055996225,1.7407204958078473,1.8731942583430343,1.5571388133694504,0.8164553771602393,1.4760272389956988
2024-12-10,56.82581600051921,24.317714619456144,6.33261369791471,1.5103380926146184,3.5614992699079058,1.740702791589171,1.8853799590466995,1.5558516479307827,0.8019539299842603,1.4681299910364993
2024-12-11,56.72960531104424,24.44686617307993,6.075671947728737,1.510573155394026,3.5808528823968286,1.9766145456315376,1.9090943877866695,1.5529636304319698,0.7615055396037773,1.45625242690229
2024-12-12,56.59155834919161,24.493981241774783,5.620542066483899,1.4684082374942053,3.5739116854618405,2.4182270508828525,2.0254867204200977,1.5461460076115912,0.859673386151548,1.4020652545275762
2024-12-13,56.60381312883956,24.4997919051252,5.594279135356139,1.5155815984231773,3.574179063661075,2.4187507127241545,1.9854017630413243,1.5452144605581224,0.8590997295874694,1.4038885026837686
2024-12-16,56.59478277670953,24.497149463240124,5.564011743123819,1.5545907560093357,3.5766476360768626,2.418364834645571,1.9977466157611419,1.5449679430547254,0.853898033761766,1.3978401976171257
2024-12-17,56.587904442141856,24.497716980244675,5.5326981740462875,1.6037760392846638,3.5769725460963757,2.418070914930303,1.9952250062461558,1.544780172983223,0.8474642253687669,1.3953914986576859
2024-12-18,56.56828172173011,24.553006584680304,5.567227947610854,1.608282172271851,3.4496817321204056,2.4172324118974156,2.037815512899067,1.5442444968571865,0.8529919610569937,1.4012354588758211
2024-12-19,56.551248209999564,24.593690380104146,5.5275960075043225,1.5900852969172423,3.4291591253695843,2.416504548943295,2.07262709532927,1.5440325400682706,0.891702830416353,1.3833539653479574
2024-12-20,56.40509695394329,24.530130355279166,5.513562851013732,1.5874901736188032,3.4202967937809254,2.410259325605655,2.092256524530982,1.7525487703670857,0.9085794316419223,1.3797788202184413
2024-12-23,56.37891542888662,24.546241214126116,5.533707565779785,1.6001234085403528,3.41845693033743,2.4091405567649957,2.085987776323534,1.7537534189141626,0.9000851839306289,1.3735885163963772
2024-12-27,56.41634539769858,24.66300600217459,5.3664839111189195,1.6021954646912737,3.4282994494993204,2.410739985473714,2.0845958952923485,1.754917736022331,0.9009351841000718,1.3724809739288568
2024-12-30,56.42047569906637,24.66481160738894,5.303006444404992,1.6462394089291132,3.4411730383549672,2.4109164783427435,2.0855058667632886,1.756308475374918,0.9025158544581475,1.3690471269165128
2025-01-02,56.41107658073139,24.661712322469842,5.2478548784245485,1.7042718550874199,3.4403473614990423,2.41051484242963,2.1018174966399505,1.7562683009031794,0.8995889945988692,1.3665473672161275
2025-01-03,56.39100713391014,24.675647202712796,5.20309341957299,1.8394137543614322,3.406069447205072,2.4096572502265676,2.082650360562313,1.7505970682797827,0.8975027056603038,1.3443616575086024
2025-01-06,56.30548095582799,24.68609066586248,5.072004666889254,2.025829004890547,3.4157678955734405,2.406002611205661,2.0827668677316438,1.7444148774856543,0.9253662398909313,1.3362762146423903
2025-01-07,56.2023998752175,24.640896683701456,5.129863259180753,2.1453435690019607,3.409514489336371,2.4015978295591047,2.083480420722218,1.7414727716960003,0.9219117950956732,1.32351930648896
2025-01-08,56.22063809275906,24.650150679989085,5.085241310296759,2.1719502089093354,3.4106209094733346,2.402377171077618,2.0745973329714253,1.7417863384860133,0.923217195586896,1.3194207604504822
2025-01-09,56.21088129493575,24.6609636249529,4.951810829659078,2.3151878650452975,3.4100290140449907,2.4019602510790428,2.0870645197333926,1.728656838289661,0.9228054619067024,1.3106403003531826
