date,HSBC BROKING SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD,DBS VICKERS (HONG KONG) LTD
2024-03-01,0.0,455.59246326530615,135.9176469387755,102.5876275510204,87.9898469387755,74.3180081632653,78.11278571428572,32.749758163265305,40.40524285714286,0.0
2024-03-04,0.0,455.8700142857143,135.89753367346938,102.58150510204082,88.01433673469387,74.44147755102041,78.21482653061224,32.72832959183673,40.39095714285714,0.0
2024-03-05,0.0,455.70572857142855,135.90488367346939,102.6468112244898,88.40719387755101,74.7976,0.0,32.82220714285714,40.3715693877551,0.0
2024-03-06,0.0,455.3308867346939,135.3571693877551,102.63558673469389,88.54392857142858,75.43943673469387,78.20768367346939,32.88139081632654,0.0,0.0
2024-03-07,0.0,455.6359887755102,134.92676122448978,102.72436224489796,88.6898469387755,75.49351836734694,78.45564285714286,32.9089418367347,0.0,0.0
2024-03-08,543.3302897959184,455.5533357142857,132.01961836734694,102.93864795918368,89.03882653061224,76.01902857142858,78.53523469387756,33.04669693877551,40.622589795918365,57.63799183673469
2024-03-11,543.3262081632653,455.2415489795918,130.8879693877551,102.9876275510204,88.49392857142857,76.00984489795918,78.53829591836735,33.17016632653061,42.19605918367347,0.0
2024-03-12,543.336412244898,454.64563061224493,130.4696020408163,103.03660714285714,88.59392857142858,76.16494693877551,78.52094897959184,32.99567653061224,42.832793877551026,0.0
2024-03-13,0.0,451.9738102040816,131.63855408163266,102.71211734693877,89.01943877551021,75.96800816326531,0.0,33.12935,42.828201020408166,57.64105306122449
2024-03-14,543.3282489795919,451.2145959183673,132.8861806122449,102.76619897959182,89.12760204081633,75.98943673469388,78.51074489795919,33.07424795918367,42.69539387755102,0.0
2024-03-15,543.3262081632653,452.17004897959185,133.07374795918366,102.80191326530613,89.19086734693877,75.96392653061224,0.0,33.06404387755102,42.49644897959184,57.647175510204086
2024-03-18,0.0,454.1566173469388,131.26130612244899,102.93660714285716,89.21943877551021,75.42004897959184,78.56176530612244,33.178329591836736,42.46277755102041,0.0
2024-03-19,543.336412244898,455.8022102040816,130.42612346938776,102.97640306122449,89.35005102040816,74.74147755102041,78.51074489795919,33.26608469387755,42.46339693877551,0.0
2024-03-20,0.0,454.9170520408163,131.189693877551,103.12130102040817,89.58474489795918,74.73229387755103,78.50054081632653,33.28853367346939,0.0,57.67778775510204
2024-03-21,543.3466163265306,454.95868367346935,128.97356836734696,103.28048469387755,89.81739795918368,74.76902857142858,78.56074489795918,33.32322755102041,41.903192857142855,57.67064489795919
2024-03-22,0.0,454.9933775510204,128.67652551020407,103.36619897959183,89.93780612244898,74.77004897959183,78.61176530612245,33.34261530612245,42.5695193877551,0.0
2024-03-25,543.3568204081632,455.2392959183673,127.76632142857143,103.42742346938776,90.07964285714286,74.68637551020409,0.0,33.678329591836736,44.070539795918364,0.0
2024-03-26,0.0,454.8884510204082,127.37941122448979,103.57232142857143,90.31535714285714,74.85882448979592,78.46482653061224,34.0058806122449,44.11135612244898,57.71452244897959
2024-03-27,543.3680448979592,452.8588591836734,126.95732551020409,103.66517857142856,90.20719387755102,75.46290612244898,78.30462244897959,34.2997581632653,42.94844387755102,57.74819591836735
2024-03-28,0.0,450.7822846938775,127.00289897959183,103.49170918367348,90.3429081632653,75.60474285714285,79.01127551020409,34.49771734693878,42.57557857142857,57.79207346938775
2024-04-02,0.0,449.70295306122455,127.46453163265305,103.45599489795919,90.32249999999999,75.63637551020408,0.0,34.59465612244898,42.56133469387755,57.80635918367347
2024-04-03,0.0,449.67453877551026,129.0940775510204,103.35599489795919,89.60005102040817,75.90270204081632,79.03168367346939,34.572207142857145,42.521142857142856,0.0
2024-04-05,543.3670244897959,450.36025306122445,129.3012204081633,103.14783163265307,89.47658163265307,75.74555918367348,79.01841836734694,34.64465612244898,42.634408163265306,57.82676734693878
2024-04-08,0.0,451.2409387755102,129.5266387755102,103.0998724489796,89.43780612244898,75.73025306122449,0.0,34.602819387755105,0.0,57.831053061224495
2024-04-09,0.0,451.2086653061225,129.58378163265309,102.83252551020408,89.44801020408163,75.71800816326531,78.33013265306123,34.62220714285714,42.90685714285714,57.88411428571428
2024-04-10,0.0,451.6178489795918,129.33888367346938,102.63660714285714,89.3786224489796,75.00780408163266,0.0,34.476288775510206,43.24971428571428,0.0
2024-04-11,0.0,453.6497908163265,129.0184755102041,102.50905612244898,89.1755612244898,74.66163877551021,0.0,34.509962244897956,42.99328265306123,0.0
2024-04-12,0.0,455.4627418367347,129.01949591836734,102.51517857142858,89.1725,74.53000612244898,0.0,34.64465612244898,41.258588775510205,0.0
2024-04-15,0.0,454.3186530612245,129.03276122448978,102.5610969387755,89.36433673469388,74.5351081632653,78.34135714285713,34.79873775510204,40.78460714285714,57.86880816326531
2024-04-16,543.3476367346939,453.47048673469385,128.21504183673468,102.39170918367347,89.80413265306122,74.58306734693878,78.35564285714285,35.01200306122449,0.0,57.85962448979591
2024-04-17,543.3323306122448,453.9827316326531,127.85279693877551,102.39885204081634,89.31841836734694,74.54021020408163,0.0,35.22929285714286,0.0,57.8749306122449
2024-04-18,543.3394734693877,454.1048408163265,128.2474867346939,102.37232142857142,89.09188775510204,74.50551632653061,78.08625510204081,35.27623163265306,37.67236224489796,0.0
