date,CHINA CITIC BANK INTERNATIONAL LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHIYU BANKING CORPORATION LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,DEUTSCHE BANK AG,"INDUSTRIAL BANK CO., LTD.",BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.
2024-03-01,0.0,0.0,35.797829877384565,31.164558829953688,0.0,14.807553853963215,0.0,0.0,10.448757209834573,7.781300228863951
2024-03-04,0.0,0.0,35.49777078159146,31.147014179502268,0.0,14.981318035850741,0.0,0.0,10.462327881969165,7.911569121086362
2024-03-05,0.0,0.0,35.227409469218166,31.195487746147855,0.0,15.174215263523353,0.0,0.0,10.48009494540209,7.922792575708537
2024-03-06,0.0,0.0,34.97386388281962,31.14674401246062,0.0,15.277433858280032,0.0,0.0,10.475162068072292,8.126796178367439
2024-03-07,0.0,0.0,34.95194284408914,31.085673649203933,0.0,15.368006759547667,0.0,0.0,10.478319154864634,8.116057592294625
2024-03-08,0.0,0.0,34.712931645030885,31.129802133317764,0.0,15.372612805024618,0.0,0.0,10.484022467139251,8.300630949487479
2024-03-11,0.0,0.0,34.72038551592727,31.11931564258134,0.0,15.45986722989801,0.0,0.0,10.506086912388914,8.19434469920446
2024-03-12,0.0,0.0,34.70446858563291,31.00174805217062,0.0,15.444005108228795,0.0,0.0,10.49393448970919,8.35584376425849
2024-03-13,0.0,0.0,34.61128922626157,31.030462342409177,0.0,15.521878064399578,0.0,0.0,10.497101784328118,8.339268582601553
2024-03-14,0.0,0.0,34.562488649153586,31.04067943185148,0.0,15.436763585880172,0.0,0.0,10.495885341554942,8.464182991559813
2024-03-15,0.0,1.0922322278492649,34.21696047036604,30.659255291395688,0.0,15.354094912799798,0.0,0.0,10.371842729280079,8.305614368309131
2024-03-18,72.96991086614278,0.2952886626366342,9.249410357125399,8.29655160338042,0.0,4.1528990653056175,0.0,0.0,2.8030949825372717,2.232844462871869
2024-03-19,72.95817198446385,0.2952411586910946,9.253344807044051,8.295779405688098,0.0,4.162738339652147,0.0,0.0,2.80264404049905,2.2320802639617057
2024-03-20,72.96023381384549,0.29524950233347347,9.291474388015812,8.292706297551508,0.0,4.136080572126664,0.0,0.0,2.802093234820261,2.2221621913067957
2024-03-21,72.96097419662144,0.2952524984538901,9.318119349947601,8.279020100203729,0.0,4.130947412638702,0.0,0.0,2.802121669783517,2.2135647723511322
2024-03-22,72.9135429474295,0.295060557556953,9.378013001259507,8.274245106901402,0.0,4.060736632312921,0.0,0.0,2.8030882936667023,2.2753134608730146
