date,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,SOOCHOW SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,3.1501730870977065,3.222677903600217,0.0,0.0,0.0,0.0,0.0,0.0,6.372850990697924
2024-03-04,0.0,3.1501730870977065,3.2252395914166683,0.401287713330274,0.9780216680671358,0.0,0.0,0.0,0.0,7.754722059911785
2024-03-05,0.0,3.1501730870977065,3.2252344680410348,0.4243429036783316,0.9549664777190782,2.3993829481530575,0.0,0.0,0.0,10.15409988468921
2024-03-06,0.0,3.1245562089331984,3.2179763525610907,0.426477643525374,0.9643593330460646,2.3993829481530575,0.0,0.0,0.0,10.132752486218784
2024-03-08,0.0,3.1219945211167475,3.2179763525610907,0.42605069555596553,0.9622245931990221,2.3993829481530575,0.0,0.0,0.0,10.127629110585884
2024-03-11,0.0,3.126264000810832,3.219257196469317,0.4269045914947825,0.9627333443993693,2.3980984324922954,0.0,0.0,0.0,10.133257565666595
2024-03-12,0.0,3.12412926096379,3.214987716775232,0.4089727767796265,0.9588908126746931,2.3882786291959004,0.0,0.6100868739382701,0.0,10.705346070327511
2024-03-13,68.28023448610946,3.118577912686353,3.582695459973966,0.4546562095063333,1.02002720020617,2.4079182357886904,0.0,0.570487449775634,0.0,79.43459695404663
2024-03-14,68.28023448610946,3.1610165408455555,3.709492175720772,0.43330881103590957,0.9811749349899989,2.4059235348756136,0.0,0.5950369580166214,0.7766948654301329,80.34288230702408
2024-03-15,68.28023448610946,3.169384721045962,3.7346821059158724,0.502047434110674,0.9820288309288159,2.411473858477924,0.0,0.5724087156379721,0.7766948654301329,80.42895501765682
2024-03-18,68.28023448610946,3.201832766721006,3.7338282099770552,0.44056692651585366,0.9820288309288159,2.400800159242712,0.0,0.5724087156379721,0.7766948654301329,80.38839496056302
2024-03-19,68.28023448610946,3.1702386169847787,3.7410009358631173,0.44184777042407913,1.0170385644203108,2.400800159242712,0.0,0.5723233260440905,0.7771218133995413,80.4006056724881
2024-03-20,68.28236922595651,3.1783506284035394,3.7299002886584978,0.43458965494413504,1.043509338523636,2.400800159242712,0.0,0.5723233260440905,0.7775487613689499,80.41939138314208
2024-03-21,68.28920039346706,3.169384721045962,3.7299002886584978,0.43458965494413504,1.043509338523636,2.400800159242712,0.0,0.5723233260440905,0.7775487613689499,80.41725664329503
2024-03-22,68.28920039346706,3.171092512923596,3.7363045081996247,0.4205003719536553,1.043509338523636,2.400800159242712,0.0,0.5728356636073807,0.7775487613689499,80.4117917092866
2024-03-25,68.28023448610946,3.1702386169847787,3.7593596985476827,0.4153769963207537,1.0571716735447074,2.3982384714262612,0.0,0.5717255988869187,0.7775487613689499,80.42989430318951
2024-03-26,68.2815153300177,3.1702386169847787,3.7589327505782735,0.4153769963207537,1.0588794654223412,2.3982384714262612,0.0,0.5717255988869187,0.7775487613689499,80.43245599100598
2024-03-27,68.28023448610946,3.247089251478304,3.7486859993124706,0.4098266727184435,1.0413745986765939,2.3896995120380917,0.0,0.5717255988869187,0.7775487613689499,80.46618488058924
2024-03-28,68.28920039346706,3.2808181410615735,3.7508207391595128,0.40000686942204855,1.037959014921326,2.3892725640686834,0.0,0.5717255988869187,0.7775487613689499,80.49735208235606
2024-04-02,68.28023448610946,3.3440064405340273,3.732972179298391,0.34407668542953845,1.0294200555331565,2.3628017899653577,0.0,0.5631866394987491,0.7775487613689499,80.43424703773765
2024-04-03,68.28023448610946,3.3205222528663083,3.7242843004584922,0.30992084787686053,1.0294200555331565,2.348712506974878,0.0,0.5377166314357172,0.7775487613689499,80.32835984262383
2024-04-05,68.28578480971179,3.232997919137571,3.7259920923361265,0.34407668542953845,1.0123421367568175,2.348712506974878,0.0,0.5377166314357172,0.7775487613689499,80.26517154315138
2024-04-08,68.296458508947,3.1036326844068034,3.811381686217821,0.37695167907399096,0.9991067497051549,2.35383588260778,0.0,0.5377166314357172,0.7775487613689499,80.2566325837632
2024-04-09,68.31054779193747,3.1036325136276157,3.801134934952018,0.39573738972796385,0.9991067497051549,2.35383588260778,0.0,0.5364357875274918,0.7775487613689499,80.27797981145444
2024-04-10,68.31054779193747,3.066009858563341,3.800599029860816,0.3880523262786113,0.9991067497051549,2.35383588260778,0.0,0.5364357875274918,0.7775487613689499,80.23213618784962
2024-04-11,68.31054779193747,3.066009858563341,3.800599029860816,0.35560428060356725,0.9991067497051549,2.35383588260778,0.0,0.5364357875274918,0.7779757093383582,80.20011509014398
2024-04-12,68.31054779193747,3.0655687359213477,3.8031607176772666,0.3329760382249181,0.9995336976745632,2.35383588260778,0.0,0.5362445148371968,0.7779757093383582,80.1798430882189
2024-04-15,68.30542441630458,3.08264563002256,3.5162516822347722,0.2902812412840707,1.001241489552197,2.351274194791329,0.0,0.5375253587454223,0.7779757093383582,79.86261972227328
2024-04-17,68.30542441630458,3.082639481971801,3.5162516822347722,0.2902812412840707,1.001241489552197,2.351274194791329,0.0,0.5375253587454223,0.7779757093383582,79.86261357422252
2024-04-19,68.30542441630458,3.081785586032984,3.5162516822347722,0.28729260549821134,1.0114882408180006,2.351274194791329,0.0,0.5373545795576589,0.7784026573077668,79.8692739625453
2024-04-22,68.30542441630458,3.0816981470888494,3.5162516822347722,0.28729260549821134,1.0114882408180006,2.351274194791329,0.0,0.5373375016388825,0.7784026573077668,79.86916944568239
2024-04-24,68.30542441630458,3.0816981470888494,3.38816729141223,0.27918059407945034,1.0114882408180006,2.351274194791329,0.0,0.5373375016388825,0.906487048130309,79.86105743426363
2024-04-25,68.30542441630458,3.0816981470888494,3.38816729141223,0.27918059407945034,1.0114882408180006,2.351249602588291,0.0,0.5373375016388825,0.9060601001609006,79.86060589409118
2024-04-26,68.30542441630458,3.0791364592723984,3.3838978117181453,0.27918059407945034,1.0140499286344515,2.351249602588291,0.0,0.5373375016388825,0.9060601001609006,79.85633641439709
2024-04-30,68.30542441630458,3.0791364592723984,3.375785800299384,0.27918059407945034,1.0140499286344515,2.351249602588291,0.0,0.5373375016388825,0.9060601001609006,79.84822440297833
2024-05-02,68.30542441630458,3.0791364592723984,3.375785800299384,0.2813153339264927,1.0140499286344515,2.351249602588291,0.0,0.5373375016388825,0.9060601001609006,79.85035914282538
2024-05-03,71.09810191865759,3.200583376335623,3.5144274734098806,0.3092598941049025,1.0555095117665365,2.4473807945642747,0.0,0.5593066258310058,0.94310450299013,83.12767409765995
2024-05-06,71.09810191865759,3.200583376335623,3.5133609042873597,0.3137039321154067,1.0555095117665365,2.440714737548518,0.0,0.5593066258310058,0.94310450299013,83.12438550953217
2024-05-07,71.09810191865759,3.2014721839377236,3.5133609042873597,0.31903677772801164,1.0555096895280567,2.440714737548518,0.0,0.5593066258310058,0.94310450299013,83.1306073405084
2024-05-08,71.09810191865759,3.174230230933333,3.517804942297864,0.31903677772801164,1.0737302453711237,2.4405376870741797,0.0,0.5593066258310058,0.94310450299013,83.12585293088324
2024-05-09,71.09810191865759,3.1751190385354335,3.517804942297864,0.31903677772801164,1.0737302453711237,2.440532354228567,0.0,0.5593066258310058,0.94310450299013,83.12673640563973
2024-05-10,71.09810191865759,3.1809425059443988,3.518693749899965,0.32481402714166707,1.084840340397384,2.4227562021865507,0.0,0.5593066258310058,0.94310450299013,83.13255987304869
2024-05-13,71.09810191865759,3.1827201211486003,3.527581825920973,0.36703238824145656,1.1106157608583083,2.404980050144534,0.0,0.5593066258310058,0.94310450299013,83.1934431937926
2024-05-14,71.07499292100297,3.191608197169608,3.5320258639314774,0.367476792042507,1.0981724544288967,2.4045356463434837,0.0,0.5593066258310058,0.9426600991890797,83.17077859993903
2024-05-16,71.09276907304499,3.2091621473111003,3.5320258639314774,0.36792119584355737,1.0981724544288967,2.3658725156520974,0.0,0.5593066258310058,0.9426600991890797,83.1678899752322
2024-05-17,71.0963243034534,3.20898438579068,3.5320258639314774,0.36792119584355737,1.0981724544288967,2.276991755442014,0.0,0.5770827778730223,0.9426600991890797,83.10016283595212
2024-05-20,71.07188209439562,3.2085399819896296,3.535505723455222,0.3950298277076328,1.1088381456541068,2.2578823919968465,0.0,0.5770827778730223,0.9426600991890797,83.09742104226116
2024-05-21,71.07188209439562,3.226316134031646,3.535505723455222,0.39680744291183434,1.1088381456541068,2.238328624750628,0.0,0.5770827778730223,0.9426600991890797,83.09742104226116
2024-05-22,71.07188209439562,3.226316134031646,3.535505723455222,0.4101395569433468,1.1110601646593588,2.2036651282686956,0.0,0.5770827778730223,0.9426600991890797,83.078311678816
2024-05-23,71.07188209439562,3.226316134031646,3.535505723455222,0.41102836454544767,1.1110601646593588,2.2023319168655444,0.0,0.5770827778730223,0.9426600991890797,83.07786727501494
2024-05-24,71.07188209439562,3.226132684142572,3.535505723455222,0.41280597974964933,1.1110601646593588,2.1828225899994314,0.0,0.5770827778730223,0.9426600991890797,83.05995211346395
2024-05-27,71.07188209439562,3.226132684142572,3.535505723455222,0.4150279987549015,1.1110601646593588,2.1828225899994314,0.0,0.5770827778730223,0.9426600991890797,83.06217413246921
2024-05-28,71.07543732480403,3.2172446081215638,3.535505723455222,0.45058030283893463,1.1110601646593588,2.1774897443868264,0.0,0.5770827778730223,0.9426600991890797,83.08706074532803
2024-05-29,71.07543732480403,3.2172446081215638,3.534012526683693,0.45013589903788426,1.1110601646593588,2.173934513978423,0.0,0.5770827778730223,0.9426600991890797,83.08156791434705
2024-05-30,71.07188209439562,3.217300603000496,3.534012526683693,0.45013589903788426,1.1301695281045265,2.155713958135356,0.0,0.5761939702709216,0.9426600991890797,83.07806867881757
2024-05-31,71.07188209439562,3.217300603000496,3.5335574571914172,0.45013589903788426,1.1301695281045265,2.1468258821143476,0.0,0.5761939702709216,0.9426600991890797,83.06872553330429
2024-06-04,71.07188209439562,3.217089066791196,3.5335574571914172,0.45013589903788426,1.1301695281045265,2.1446038631090953,0.0,0.5761939702709216,0.94310450299013,83.06673638189079
2024-06-05,71.07188209439562,3.215755855388045,3.5335574571914172,0.4514691104410355,1.1301695281045265,2.1446038631090953,0.0,0.5757495664698712,0.94310450299013,83.06629197808975
2024-06-06,71.07188209439562,3.2152581231308686,3.5335574571914172,0.4519135142420859,1.1301695281045265,2.1446038631090953,0.0,0.5757495664698712,0.94310450299013,83.06623864963362
2024-06-07,71.07188209439562,3.2161469307329695,3.533290814910787,0.45635755225259006,1.1301695281045265,2.143715055506995,1.3193460045584737,0.5757495664698712,0.94310450299013,84.38976204992196
2024-06-11,71.07188209439562,3.2148137193298183,3.533290281626226,0.47013407008515296,1.1452792573402406,2.1166064236429194,1.3193460045584737,0.5757495664698712,0.94310450299013,84.39020592043846
2024-06-13,71.07188209439562,3.2148137193298183,3.533290281626226,0.47013407008515296,1.1470568725444423,2.1166064236429194,1.3193460045584737,0.5757495664698712,0.94310450299013,84.39198353564265
2024-06-14,71.07188209439562,3.2148137193298183,3.533290281626226,0.47057847388620333,1.1470568725444423,2.1166064236429194,1.3193460045584737,0.5757495664698712,0.94310450299013,84.3924279394437
2024-06-19,71.07188209439562,3.2148137193298183,3.533290281626226,0.4843549917187663,1.1470568725444423,2.102385502009306,1.3193460045584737,0.5757495664698712,0.9426600991890797,84.3915391318416
2024-06-20,71.07188209439562,3.2148137193298183,3.533290281626226,0.48479939551981666,1.1470568725444423,2.102385502009306,1.3193460045584737,0.5757495664698712,0.9426600991890797,84.39198353564265
2024-06-21,71.07188209439562,3.2148137193298183,3.5509997730980847,0.48479939551981666,1.1483900839475936,2.0846093499672893,1.3193460045584737,0.5757495664698712,0.9426600991890797,84.39325008647565
