date,HSBC BROKING SECURITIES (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,EAST ASIA SECURITIES CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CELESTIAL SECURITIES LTD,HING WONG SECURITIES LTD
2024-03-06,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-18,0.0,28.492534260584986,34.05604418081407,37.45142155860094,0.0,0.0
2024-03-28,0.0,28.198808790306018,34.195933456561924,37.60525775313206,0.0,0.0
2024-04-02,0.0,27.997553017944536,34.66557911908646,37.336867862969,0.0,0.0
2024-04-05,0.0,28.202521350142334,34.56689711264742,37.23058153721025,0.0,0.0
2024-04-10,0.0,28.348214285714285,34.49675324675325,37.155032467532465,0.0,0.0
2024-05-03,0.0,28.493317132442286,34.42689347914135,37.07978938841636,0.0,0.0
2024-05-09,21.07609041706463,22.71569563833174,27.061445399554284,29.146768545049344,0.0,0.0
2024-05-23,21.1603004634809,22.40690426722071,27.16957008150871,29.263225187789676,0.0,0.0
2024-05-28,21.228154561487894,22.15808882475549,27.256693923360594,29.357062690396024,0.0,0.0
2024-06-17,26.921512810085403,26.73851159007727,31.049206994713295,15.290768605124033,0.0,0.0
2024-06-18,27.31023102310231,27.124587458745875,30.053630363036305,15.51155115511551,0.0,0.0
2024-07-23,27.961985216473074,27.771911298838436,28.3843717001056,15.881731784582891,0.0,0.0
2024-08-01,28.260405549626466,27.00106723585913,28.687299893276414,16.05122732123799,0.0,0.0
2024-08-02,28.351177730192717,26.76659528907923,28.779443254817988,16.102783725910065,0.0,0.0
2024-08-12,28.497632371932845,26.904864399483426,28.4115368058545,16.18596642272923,0.0,0.0
2024-08-13,28.565264293419634,26.968716289104638,28.241639697950376,16.224379719525352,0.0,0.0
2024-08-14,29.124505059392874,27.496700395952484,26.836779586449627,16.542014958205016,0.0,0.0
2024-08-20,29.317980513728966,27.679362267493357,26.350752878653676,16.651904340124005,0.0,0.0
2024-08-28,29.37000887311446,27.7284826974268,26.22005323868678,16.68145519077196,0.0,0.0
2024-09-25,29.37000887311446,27.7284826974268,26.22005323868678,16.68145519077196,0.0,0.0
