date,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,EAST ASIA SECURITIES CO LTD,REALINK FINANCIAL TRADE LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,CENTRAL CHINA INTERNATIONAL SECURITIES,TOTAL_CCASS_PCT
2024-03-08,0.0,0.0,0.0,1.433,0.0,0.0,0.0,1.433
2024-03-12,0.0,0.0,0.0,1.448,0.0,0.0,0.0,1.448
2024-03-13,0.0,0.0,0.0,1.448,1.694,0.0,0.0,3.1419999999999995
2024-03-20,6.451999999999999,0.0,0.0,1.448,1.694,0.0,0.0,9.594
2024-03-21,6.461,0.0,0.0,1.448,1.694,0.0,0.0,9.603
2024-03-26,6.461,0.0,0.0,1.4489999999999998,1.694,0.0,0.0,9.604
2024-04-11,6.461,0.0,0.0,1.4489999999999998,1.6820000000000002,0.0,0.0,9.592
2024-04-17,6.461,0.0,0.0,1.452,1.6820000000000002,0.0,0.0,9.594999999999999
2024-05-02,6.461,0.0,0.0,1.463,1.6820000000000002,0.0,0.0,9.606
2024-05-22,6.461,0.0,0.0,1.471,1.6920000000000002,0.0,0.0,9.624
2024-07-02,6.461,0.0,0.0,1.482,1.6920000000000002,0.0,0.0,9.635
2024-07-05,6.461,0.0,0.0,1.482,1.7049999999999998,0.0,0.0,9.648
2024-07-15,6.461,0.0,0.0,1.486,1.7049999999999998,0.0,0.0,9.652
2024-07-17,6.461,0.0,0.0,1.4869999999999999,1.7049999999999998,0.0,0.0,9.653
2024-07-31,6.461,0.0,0.0,1.488,1.7049999999999998,1.318,0.0,10.972
2024-08-20,6.461,0.0,0.0,1.489,1.7049999999999998,1.318,0.0,10.972999999999999
2024-08-28,6.461,3.1932500000000004,0.0,1.48,1.7069999999999999,1.318,0.0,14.15925
2024-08-29,6.461,3.1932500000000004,0.0,1.4789999999999999,1.7069999999999999,1.318,0.0,14.15825
2024-08-30,6.461,3.19225,0.0,1.4789999999999999,1.7069999999999999,1.318,0.0,14.15725
2024-09-02,6.461,3.19125,0.0,1.48,1.706,1.318,0.0,14.15625
2024-09-04,6.461,3.19125,0.0,1.4789999999999999,1.714,1.318,0.0,14.16325
2024-09-05,6.461,3.19125,0.0,1.4789999999999999,1.7149999999999999,1.318,0.0,14.164250000000001
2024-09-11,6.461,3.19125,0.0,1.484,1.7160000000000002,1.318,1.204,15.37425
2024-09-23,6.461,3.19125,0.0,1.5230000000000001,1.687,1.318,1.204,15.38425
2024-09-25,6.461,3.19125,0.0,1.524,1.687,1.318,1.204,15.385250000000001
2024-09-30,6.461,3.19125,0.0,1.524,1.6969999999999998,1.318,1.204,15.395249999999999
2024-10-09,6.468,3.19125,0.0,1.524,1.691,1.318,1.204,15.39625
2024-10-28,6.468,3.19125,0.0,1.525,1.691,1.318,1.204,15.397250000000001
2024-11-01,6.468,3.19125,0.0,1.524,1.6920000000000002,1.318,1.204,15.397250000000001
2024-11-08,6.468,3.19125,0.0,1.543,1.6920000000000002,1.318,1.204,15.416250000000002
2024-11-11,6.468,3.19125,0.0,1.5559999999999998,1.6920000000000002,1.318,1.204,15.42925
2024-11-13,6.468,3.19125,0.0,1.557,1.6920000000000002,1.318,1.204,15.430250000000001
2024-11-18,6.468,3.2642499999999997,0.0,1.557,1.6920000000000002,1.318,1.204,15.50325
2024-11-21,6.478000000000001,3.25825,0.0,1.557,1.6920000000000002,1.318,1.204,15.50725
2024-11-26,6.478000000000001,3.25825,0.0,1.569,1.7000000000000002,1.318,1.204,15.52725
2024-12-02,6.478000000000001,3.2572499999999995,2.41,1.662,1.7000000000000002,1.318,1.204,18.02925
2024-12-03,6.5040000000000004,3.2572499999999995,2.41,1.66,1.7049999999999998,1.318,1.204,18.05825
2024-12-04,6.5040000000000004,3.2572499999999995,2.41,1.659,1.7049999999999998,1.318,1.204,18.05725
2024-12-05,6.5040000000000004,3.2572499999999995,2.41,1.678,1.7049999999999998,1.318,1.204,18.076249999999998
2024-12-11,6.5040000000000004,3.25625,2.41,1.678,1.7049999999999998,1.318,1.204,18.07525
2024-12-12,6.5040000000000004,3.25625,2.41,1.6809999999999998,1.7049999999999998,1.318,1.204,18.07825
2024-12-23,6.5040000000000004,3.2552499999999998,2.41,1.693,1.7049999999999998,1.318,1.204,18.08925
2024-12-27,6.517,3.2542500000000003,2.41,1.7080000000000002,1.7049999999999998,1.318,1.204,18.11625
2025-01-03,6.517,3.254250625,2.41,1.783,1.7049999999999998,1.318,1.204,18.191250625
2025-02-06,6.525,3.254250625,2.41,1.78,1.7049999999999998,1.318,1.204,18.196250624999998
2025-02-10,6.525,3.259250625,2.41,1.78,1.7049999999999998,1.318,1.204,18.201250625
2025-02-17,6.517,3.259250625,2.41,1.788,1.7049999999999998,1.318,1.204,18.201250625
2025-02-19,6.517,3.259250625,2.41,1.788,1.72,1.318,1.204,18.216250625
2025-02-24,6.561999999999999,3.259250625,2.41,1.788,1.72,1.318,1.204,18.261250625
2025-02-28,6.702,3.259250625,2.41,1.788,1.72,1.318,1.204,18.401250625000003
2025-03-05,6.702,3.259250625,2.41,1.7930000000000001,1.72,1.318,1.204,18.406250625000002
2025-03-10,6.702,3.259250625,2.41,1.797,1.72,1.318,1.204,18.410250625
2025-03-18,6.702,3.259250625,2.41,1.8079999999999998,1.72,1.318,1.204,18.421250625
2025-03-24,6.703,3.2582506249999996,2.41,1.8079999999999998,1.72,1.318,1.204,18.421250625
2025-03-31,6.703,3.25825,2.41,1.8079999999999998,1.72,1.318,1.204,18.42125
2025-04-22,6.703,3.25825,2.41,1.8079999999999998,1.738,1.318,1.204,18.439249999999998
2025-04-25,6.703,3.2572499999999995,2.41,1.8079999999999998,1.738,1.318,1.204,18.43825
2025-04-28,6.703,3.2572499999999995,2.41,1.83,1.738,1.318,1.204,18.460250000000002
2025-04-29,6.7,3.2572499999999995,2.41,1.83,1.733,1.318,1.204,18.45225
2025-04-30,6.7,3.2572499999999995,2.41,1.825,1.733,1.318,1.204,18.44725
2025-05-02,6.7,3.2572499999999995,2.41,1.821,1.733,1.318,1.204,18.44325
